"timestamp","rssi","rx"
"19:38:11 ",-23,-86
"19:38:22 ",-23,-84
"19:38:52 ",-21,-83
"19:39:08 ",-22,-81
"19:39:23 ",-21,-79
"19:39:33 ",-22,-83
"19:40:47 ",-21,-79
"19:40:53 ",-23,-79
"19:41:18 ",-23,-79
"19:41:44 ",-21,-79
"19:42:04 ",-22,-81
"19:42:20 ",-22,-81
"19:42:30 ",-21,-82
"19:42:35 ",-20,-81
"19:44:33 ",-19,-81
"19:44:43 ",-22,-79
"19:44:53 ",-22,-79
"19:45:26 ",-23,-83
"19:46:43 ",-25,-81
"19:46:59 ",-19,-85
"19:47:09 ",-22,-79
"19:47:24 ",-22,-80
"19:49:07 ",-23,-80
"19:49:12 ",-20,-79
"19:49:22 ",-22,-79
"19:50:54 ",-19,-83
"19:52:11 ",-20,-79
"19:52:52 ",-22,-80
"19:53:56 ",-21,-81
"19:54:11 ",-22,-79
"19:54:57 ",-19,-79
"19:55:33 ",-21,-79
"19:55:54 ",-22,-81
"19:56:35 ",-21,-81
