"rssi","echo_time","01"
-37,137.22,10
-35,204.82,10
-33,33.53,10
-34,124.85,10
-35,101.07,10
-34,168.54,10
-34,204.86,10
-33,131.04,10
-36,262.38,10
-35,117.26,10
-34,48.53,10
-35,136.09,10
-33,28.64,10
-35,148.6,10
-38,243.13,10
-35,191.09,10
-34,173.61,10
-33,141.15,10
-34,127.34,10
-35,123.61,10
-36,197.35,10
-34,48.56,10
-34,19.9,10
-35,141.14,10
-34,21.12,10
-35,26.06,10
-33,216.12,10
-36,28.51,10
-34,78.59,10
-37,126.07,10
-36,137.31,10
-34,128.48,10
-36,158.73,10
-35,129.88,10
-34,129.86,10
-33,134.9,10
-38,193.55,10
-35,101.01,10
-32,81.03,10
-37,191.13,10
-37,142.29,10
-36,129.82,10
-33,41.15,10
-35,187.32,10
-34,143.57,10
-35,247.37,10
-37,333.63,10
-36,257.35,10
-34,107.37,10
-32,22.26,10
-33,123.57,10
-35,106.01,10
-34,178.53,10
-34,262.4,10
-35,26.08,10
-35,151.13,10
-37,135.61,10
-33,26.11,10
-35,159.88,10
-35,141.21,10
-35,127.34,10
-34,84.85,10
-37,291.16,10
-35,66.17,10
-35,130.97,10
-34,37.36,10
-34,108.63,10
-34,11.12,10
-37,126.05,10
-37,166.09,10
-36,339.79,10
-33,166.12,10
-34,143.6,10
-35,149.84,10
-33,91.06,10
-36,678.64,10
-32,41.16,10
-35,129.79,10
-32,169.8,10
-37,156.1,10
-34,127.31,10
-33,171.08,10
-36,133.62,10
-36,87.35,10
-35,94.89,10
-34,197.36,10
-35,202.34,10
-36,188.65,10
-34,229.03,10
-36,133.56,10
-35,131.08,10
-35,96.38,10
-36,132.37,10
-35,184.88,10
-35,136.11,10
-33,116.05,10
-33,113.59,10
-33,39.89,10
-34,108.58,10
-35,141,10
-36,79.86,10
-36,77.35,10
-36,308.58,10
-35,13.59,10
-36,183.53,10
-34,49.82,10
-36,262.3,10
-34,21.09,10
-33,74.84,10
-36,191.08,10
-34,244.79,10
-33,148.63,10
-34,14.86,10
-33,159.87,10
-34,124.82,10
-33,79.83,10
-34,117.33,10
-36,158.55,10
-36,226.08,10
-35,163.6,10
-35,89.9,10
-35,29.83,10
-36,221.01,10
-34,136.1,10
-34,132.3,10
-37,207.42,10
-31,159.81,10
-35,279.8,10
-34,154.89,10
-35,28.55,10
-33,48.6,10
-34,74.85,10
-36,81.11,10
-34,174.84,10
-36,129.83,10
-33,21.2,10
-35,198.6,10
-34,246.04,10
-36,168.62,10
-35,388.61,10
-34,126.04,10
-34,126.05,10
-34,128.57,10
-34,161.08,10
-35,131.05,10
-33,133.62,10
-34,207.34,10
-36,113.54,10
-34,97.35,10
-32,196.07,10
-34,141.02,10
-36,9.77,10
-35,211.06,10
-34,202.44,10
-34,148.54,10
-34,109.82,10
-35,127.36,10
-35,106.09,10
-36,179.84,10
-33,172.34,10
-34,99.81,10
-34,122.28,10
-34,156.08,10
-36,79.81,10
-34,131.12,10
-38,266.08,10
-35,191.11,10
-34,139.82,10
-33,143.58,10
-33,84.86,10
-34,16.06,10
-36,158.62,10
-34,147.34,10
-32,53.56,10
-33,94.9,10
-32,56.11,10
-34,99.88,10
-33,22.3,10
-33,88.59,10
-36,273.6,10
-35,136.05,10
-35,21.04,10
-33,133.55,10
-33,148.55,10
-35,174.85,10
-33,141.07,10
-34,24.83,10
-35,142.45,10
-34,164.85,10
-34,159.87,10
-32,76.04,10
-34,123.6,10
-34,194.85,10
-35,124.83,10
-36,242.36,10
-33,148.56,10
-37,281.1,10
-37,242.33,10
-34,82.27,10
-35,139.79,10
-37,192.38,10
-34,107.3,10
-32,128.61,10
-38,143.55,10
-34,38.59,10
-34,133.68,10
-36,127.31,10
-33,9.81,10
-37,7.25,10
-34,136.07,10
-32,134.81,10
-36,13.52,10
-34,48.62,10
-38,326.08,10
-35,88.64,10
-34,28.55,10
-34,212.33,10
-37,129.83,10
-37,106.13,10
-33,142.32,10
-35,93.53,10
-35,212.32,10
-33,169.82,10
-35,136.13,10
-36,172.38,10
-33,112.46,10
-37,36.12,10
-34,17.39,10
-34,93.61,10
-34,286.17,10
-34,242.32,10
-33,130.12,10
-35,94.85,10
-34,121.09,10
-34,126,10
-36,571.08,10
-33,137.3,10
-39,246.09,10
-35,61.11,10
-33,184.84,10
-35,151.22,10
-33,109.82,10
-35,137.31,10
-35,162.29,10
-35,119.86,10
-34,172.31,10
-34,121.06,10
-34,127.33,10
-34,153.58,10
-34,81.1,10
-35,99.8,10
-34,117.36,10
-34,158.58,10
-33,127.66,10
-33,134.88,10
-33,118.61,10
-35,168.52,10
-33,87.23,10
-37,227.31,10
-33,16.06,10
-33,87.36,10
-36,248.86,10
-34,208.65,10
-32,126.1,10
-34,131.63,10
-38,319.58,10
-33,124.83,10
-36,634.79,10
-36,19.82,10
-36,242.33,10
-36,18.55,10
-35,143.56,10
-36,138.53,10
-34,82.38,10
-34,156.09,10
-37,144.89,10
-36,27.36,10
-33,112.44,10
-33,88.67,10
-33,34.83,10
-35,239.8,10
-37,133.61,10
-34,48.51,10
-35,130.77,10
-33,189.91,10
-35,15.43,10
-33,81.1,10
-34,116.09,10
-33,224.52,10
-34,28.61,10
-34,31.13,10
-33,103.55,10
-34,132.98,10
-35,8.52,10
-33,112.33,10
-35,158,10
-34,61.11,10
-34,22.36,10
-37,136.06,10
-36,142.34,10
-35,247.41,10
-36,174.83,10
-35,238.57,10
-34,162.36,10
-33,184.82,10
-36,203.59,10
-35,202.36,10
-36,191.1,10
-35,182.33,10
-35,152.21,10
-33,192.32,10
-35,22.42,10
-33,116.12,10
-36,13.61,10
-35,19.73,10
-34,103.62,10
-33,152.75,10
-34,133.63,10
-36,99.9,10
-35,93.88,10
-35,423.86,10
-35,121.06,10
-35,126.07,10
-33,125.96,10
-35,201.16,10
-32,173.26,10
-35,93.59,10
-37,264.78,10
-34,117.31,10
-36,229.89,10
-35,158.62,10
-35,128.58,10
-35,131.07,10
-35,143.53,10
-37,197.33,10
-36,182.4,10
-35,164.81,10
-35,157.32,10
-37,129.86,10
-33,212.42,10
-34,39.89,10
-34,109.87,10
-34,112.34,10
-34,87.26,10
-33,121.1,10
-34,224.83,10
-33,79.91,10
-34,186.91,10
-35,134.85,10
-36,146.07,10
-33,227.37,10
-36,393.43,10
-34,14.84,10
-33,208.62,10
-35,178.65,10
-34,131.1,10
-34,113.94,10
-33,62.26,10
-33,136.05,10
-33,151.11,10
-33,87.3,10
-33,34.8,10
-33,83.46,10
-36,27.31,10
-33,113.7,10
-33,86.05,10
-35,138.36,10
-33,123.51,10
-37,124.9,10
-34,162.32,10
-33,31.09,10
-33,17.35,10
-35,79.79,10
-35,126.08,10
-35,127.35,10
-33,11.08,10
-33,113.58,10
-32,78.58,10
-34,18.55,10
-37,191.08,10
-35,201.07,10
-32,52.38,10
-36,298.58,10
-33,86.63,10
-34,194.71,10
-35,214.77,10
-33,124.75,10
-35,49.86,10
-35,149.88,10
-34,134.86,10
-35,79.81,10
-35,41.08,10
-35,144.9,10
-35,11.08,10
-37,21.13,10
-35,132.33,10
-34,316.09,10
-35,371.1,10
-35,14.79,10
-36,197.54,10
-33,101,10
-33,26.18,10
-36,231.11,10
-36,239.89,10
-38,311.01,10
-34,209.84,10
-35,81.08,10
-35,82.33,10
-37,309.87,10
-34,101.06,10
-38,242.39,10
-36,22.38,10
-35,246.15,10
-35,77.33,10
-33,18.06,10
-34,132.41,10
-34,86.1,10
-32,127.35,10
-33,52.29,10
-34,39.85,10
-35,121.07,10
-37,228.6,10
-34,113.59,10
-35,128.56,10
-36,127.34,10
-36,288.54,10
-34,128.6,10
-34,224.77,10
-32,66.1,10
-34,94.88,10
-37,142.31,10
-34,94.85,10
-33,16.13,10
-34,143.53,10
-36,147.36,10
-34,134.89,10
-33,206.13,10
-35,32.43,10
-33,77.32,10
-36,311.03,10
-34,92.39,10
-37,158.55,10
-36,204.81,10
-33,19.7,10
-33,28.55,10
-33,146.08,10
-37,198.57,10
-35,18.59,10
-34,127.37,10
-34,140.8,10
-33,44.86,10
-36,141.07,10
-35,204.87,10
-35,128.57,10
-34,134.73,10
-37,124.82,10
-37,63.71,10
-34,26.76,10
-33,121.07,10
-33,124.61,10
-35,84.85,10
-36,132.11,10
-34,139.85,10
-35,192.36,10
-35,96.1,10
-35,189.85,10
-32,138.61,10
-36,188.57,10
-35,42.41,10
-33,21.09,10
-37,269.88,10
-37,252,10
-37,147.28,10
-35,33.62,10
-34,58.69,10
-34,102.29,10
-34,313.65,10
-37,248.63,10
-34,137.42,10
-32,133.57,10
-35,213.56,10
-34,42.35,10
-35,122.35,10
-35,148.57,10
-35,25.34,10
-33,241.09,10
-35,234.03,10
-35,123.51,10
-33,192.6,10
-34,96.11,10
-34,153.84,10
-36,162.3,10
-37,169.8,10
-36,197.36,10
-35,156.05,10
-34,179.83,10
-34,206.1,10
-34,121.07,10
-34,157.34,10
-34,124.78,10
-36,241.11,10
-36,244.8,10
-34,142.38,10
-32,163.59,"09"
-34,307.39,"09"
-34,131.06,"09"
-37,149.82,"09"
-34,134.8,"09"
-35,183.62,"09"
-34,179.8,"09"
-37,248.56,"09"
-34,149.82,"09"
-35,191.1,"09"
-35,46.1,"09"
-35,47.42,"09"
-34,187.33,"09"
-34,192.37,"09"
-36,145.31,"09"
-37,133.53,"09"
-35,138.63,"09"
-34,19.74,"09"
-34,178.47,"09"
-35,183.43,"09"
-34,131.08,"09"
-36,137.29,"09"
-35,40.41,"09"
-34,242.34,"09"
-34,23.6,"09"
-33,141.05,"09"
-34,129.9,"09"
-35,139.86,"09"
-33,24.83,"09"
-33,131.09,"09"
-35,104.79,"09"
-36,181.08,"09"
-35,126.06,"09"
-36,242.34,"09"
-33,139.88,"09"
-35,249.79,"09"
-35,107.33,"09"
-36,148.58,"09"
-37,106.11,"09"
-35,111.05,"09"
-35,198.58,"09"
-34,119.86,"09"
-35,146.09,"09"
-34,176.1,"09"
-33,219.76,"09"
-33,171.04,"09"
-33,43.57,"09"
-36,181.11,"09"
-35,123.62,"09"
-36,117.36,"09"
-35,81.07,"09"
-34,209.89,"09"
-34,204.84,"09"
-36,151.15,"09"
-35,141.07,"09"
-34,24.46,"09"
-35,159.93,"09"
-36,207.38,"09"
-33,109.76,"09"
-39,131.12,"09"
