"timestamp","rssi","echo_time"
"19:16:47",-28,793.82
"19:16:49",-27,281.07
"19:16:50",-23,549.8
"19:16:51",-26,171.1
"19:16:53",-25,123.57
"19:16:54",-28,267.24
"19:16:55",-28,381.14
"19:16:57",-27,377.36
"19:16:58",-24,430.76
"19:16:59",-23,418.94
"19:17:01",-22,406.01
"19:17:02",-33,368.56
"19:17:04",-36,493.64
"19:17:05",-32,432.33
"19:17:06",-35,317.37
"19:17:08",-33,288.59
"19:17:09",-35,250.99
"19:17:10",-35,394.9
"19:17:12",-34,137.28
"19:17:13",-31,229.83
"19:17:14",-36,369.87
"19:17:15",-35,354.82
"19:17:17",-34,196.05
"19:17:18",-34,252.35
"19:17:19",-34,93.64
"19:17:20",-35,399.83
"19:17:22",-32,264.85
"19:17:23",-27,103.54
"19:17:24",-27,131.07
"19:17:25",-28,493.57
"19:17:26",-31,32.36
"19:17:28",-30,216.14
"19:17:29",-28,129.81
"19:17:30",-32,157.3
"19:17:31",-30,84.89
"19:17:32",-31,188.53
"19:17:34",-30,482.36
"19:17:35",-31,394.79
"19:17:36",-27,12.37
"19:17:37",-29,198.59
"19:17:39",-30,422.36
"19:17:40",-29,248.54
"19:17:41",-30,196.06
"19:17:42",-29,303.6
"19:17:44",-27,166.07
"19:17:45",-32,488.58
"19:17:46",-31,336.1
"19:17:48",-29,208.65
"19:17:49",-30,199.82
"19:17:50",-28,264.86
"19:17:51",-27,93.54
"19:17:52",-27,91.11
"19:17:54",-25,257.35
"19:17:55",-31,288.6
"19:17:56",-26,258.59
"19:17:57",-32,292.33
"19:17:59",-26,152.33
"19:18:00",-31,88.54
"19:18:01",-28,236.02
"19:18:02",-26,41.16
"19:18:03",-26,266.02
"19:18:04",-35,181.17
"19:18:06",-32,181.03
"19:18:07",-31,102.34
"19:18:08",-34,551.07
"19:18:09",-32,218.6
"19:18:11",-24,182.31
"19:18:12",-27,164.83
"19:18:13",-28,576.16
"19:18:15",-32,175.98
"19:18:16",-30,173.26
"19:18:17",-29,121.45
"19:18:18",-29,333.57
"19:18:19",-26,121.08
"19:18:21",-26,283.59
"19:18:22",-27,81.1
"19:18:23",-30,269.8
"19:18:24",-24,176.07
"19:18:25",-27,273.62
"19:18:27",-24,111.08
"19:18:28",-26,362.3
"19:18:29",-29,199.87
"19:18:30",-28,27.33
"19:18:31",-24,106.03
"19:18:33",-25,394.86
"19:18:34",-23,149.84
"19:18:35",-25,182.34
"19:18:36",-26,103.63
"19:18:37",-26,247.26
"19:18:38",-23,126.07
"19:18:40",-27,218.62
"19:18:41",-26,113.6
"19:18:42",-31,12.33
"19:18:43",-30,251.1
"19:18:44",-28,88.48
"19:18:46",-29,596.11
"19:18:47",-29,371.11
"19:18:48",-30,281.06
"19:18:49",-29,161.09
"19:18:51",-28,109.8
"19:18:52",-25,176.15
"19:18:53",-33,286.05
"19:18:54",-29,98.59
"19:18:55",-27,267.41
"19:18:57",-33,267.32
"19:18:58",-33,182.3
"19:18:59",-31,198.63
"19:19:00",-30,253.56
"19:19:02",-26,223.21
"19:19:03",-30,116.03
"19:19:04",-28,136.04
"19:19:05",-27,191.13
"19:19:06",-32,353.61
"19:19:08",-29,198.55
"19:19:09",-27,151.07
"19:19:10",-28,181.1
"19:19:11",-28,224.85
"19:19:12",-29,219.74
"19:19:14",-29,197.41
"19:19:15",-28,148.58
"19:19:16",-29,39.82
"19:19:17",-28,263.58
"19:19:18",-27,237.34
"19:19:19",-29,11.01
"19:19:20",-24,97.42
"19:19:22",-33,288.58
"19:19:23",-30,298.59
"19:19:24",-31,311.03
"19:19:25",-25,99.92
"19:19:26",-25,31.1
"19:19:27",-26,147.35
"19:19:29",-23,283.49
"19:19:30",-24,31.07
"19:19:31",-24,116.14
"19:19:32",-24,88.58
"19:19:33",-23,116.11
"19:19:34",-23,269.83
"19:19:36",-24,168.57
"19:19:37",-23,246.1
"19:19:38",-23,202.29
"19:19:39",-25,121.05
"19:19:40",-21,96.16
"19:19:42",-25,348.57
"19:19:43",-24,194.82
"19:19:44",-28,247.34
"19:19:45",-26,226.16
"19:19:47",-21,276.04
"19:19:48",-24,147.32
"19:19:49",-23,291.11
"19:19:50",-20,148.6
"19:19:51",-20,17.25
"19:19:52",-20,223.65
"19:19:54",-21,242.34
"19:19:55",-21,288.6
"19:19:56",-21,41
"19:19:57",-22,387.42
"19:19:59",-21,204.82
"19:20:00",-26,47.22
"19:20:01",-19,308.64
"19:20:02",-19,143.63
"19:20:03",-24,133.55
"19:20:04",-23,88.52
"19:20:05",-21,214.84
"19:20:07",-19,151.11
"19:20:08",-21,197.3
"19:20:09",-21,144.88
"19:20:10",-22,66.02
"19:20:11",-19,126.15
"19:20:12",-21,124.8
"19:20:14",-20,337.29
"19:20:15",-22,244.55
"19:20:16",-22,198.88
"19:20:17",-20,101.09
"19:20:18",-19,174.77
"19:20:20",-23,264.8
"19:20:21",-20,284.84
"19:20:22",-20,77.41
"19:20:23",-20,269.8
"19:20:24",-23,201.1
"19:20:26",-21,258.55
"19:20:27",-20,17.32
"19:20:28",-22,131.08
"19:20:29",-22,132.36
"19:20:30",-21,204.88
"19:20:31",-24,199.79
"19:20:33",-31,302.38
"19:20:34",-33,547.32
"19:20:36",-33,538.54
"19:20:37",-31,238.6
"19:20:38",-30,278.6
"19:20:39",-29,94.87
"19:20:41",-31,387.26
"19:20:42",-30,362.32
"19:20:43",-30,49.85
"19:20:44",-30,323.58
"19:20:46",-30,82.29
"19:20:47",-32,283.63
"19:20:48",-30,288.6
"19:20:49",-32,344.89
"19:20:51",-34,180.99
"19:20:52",-34,327.38
"19:20:53",-31,356.08
"19:20:55",-31,367.37
"19:20:56",-32,142.34
"19:20:57",-30,229.84
"19:20:58",-28,174.78
"19:21:00",-29,316.09
"19:21:01",-31,233.59
"19:21:02",-32,127.35
"19:21:03",-32,163.6
"19:21:04",-30,272.27
"19:21:06",-33,401.12
"19:21:07",-31,59.85
"19:21:08",-32,189.82
"19:21:09",-30,96.01
"19:21:10",-33,249.93
"19:21:12",-32,224.8
"19:21:13",-32,177.31
"19:21:14",-31,372.3
"19:21:16",-33,394.9
"19:21:17",-31,343.57
"19:21:18",-32,202.37
"19:21:19",-29,161.06
"19:21:21",-32,297.39
"19:21:22",-30,291.01
"19:21:23",-29,21.09
"19:21:24",-32,101.09
"19:21:25",-33,207.24
"19:21:26",-32,128.5
"19:21:28",-31,332.36
"19:21:29",-33,282.36
"19:21:30",-30,259.8
"19:21:31",-31,112.31
"19:21:33",-32,261.03
"19:21:34",-34,574.5
"19:21:35",-32,339.86
"19:21:37",-31,227.35
"19:21:38",-25,212.3
"19:21:39",-31,68.65
"19:21:40",-31,57.25
"19:21:41",-30,202.42
"19:21:43",-33,429.78
"19:21:44",-32,317.29
"19:21:45",-31,229.75
"19:21:46",-29,226.12
"19:21:48",-31,154.9
"19:21:49",-30,96.03
"19:21:50",-33,201.1
"19:21:51",-31,93.55
"19:21:52",-31,151.07
"19:21:53",-33,282.36
"19:21:55",-33,276.08
"19:21:56",-31,206.07
"19:21:57",-25,342.33
"19:21:58",-22,12.23
"19:22:00",-24,366.16
"19:22:01",-26,172.31
"19:22:02",-30,201.1
"19:22:03",-24,397.33
"19:22:05",-26,156.1
"19:22:06",-21,79.8
"19:22:07",-24,299.82
"19:22:08",-21,445.78
"19:22:10",-24,190.27
"19:22:11",-26,278.49
"19:22:12",-32,471.08
"19:22:13",-26,51.19
"19:22:14",-28,114.66
"19:22:16",-27,209.9
"19:22:17",-28,257.31
"19:22:18",-23,91.05
"19:22:19",-27,198.62
"19:22:20",-22,57.35
"19:22:22",-29,379.83
"19:22:23",-27,282.35
"19:22:24",-33,276.06
"19:22:26",-32,373.64
"19:22:27",-30,374.74
"19:22:28",-31,497.36
"19:22:30",-27,241.11
"19:22:31",-22,98.61
"19:22:32",-28,114.83
"19:22:33",-23,258.65
"19:22:34",-26,198.5
"19:22:36",-23,254.85
"19:22:37",-25,106.11
"19:22:38",-24,301.1
"19:22:39",-28,142.33
"19:22:40",-27,183.54
"19:22:42",-25,111.03
"19:22:43",-31,264.89
"19:22:44",-26,184.8
"19:22:45",-23,171.11
"19:22:46",-27,154.87
"19:22:47",-25,116.05
"19:22:48",-24,38.58
"19:22:50",-26,96.07
"19:22:51",-26,223.63
"19:22:52",-27,166.08
"19:22:53",-28,69.82
"19:22:54",-28,288.54
"19:22:55",-25,164.26
"19:22:57",-25,385.43
"19:22:58",-22,8.52
"19:22:59",-22,167.4
"19:23:00",-23,93.58
"19:23:01",-24,87.05
"19:23:02",-22,272.6
"19:23:04",-20,202.41
"19:23:05",-20,40.98
"19:23:06",-21,203.67
"19:23:07",-20,209.84
"19:23:08",-20,112.32
"19:23:09",-20,199.85
"19:23:11",-20,106.08
"19:23:12",-21,145.97
"19:23:13",-21,11.04
"19:23:14",-24,91.14
"19:23:15",-22,73.62
"19:23:16",-26,303.6
"19:23:17",-22,29.8
"19:23:19",-24,393.62
"19:23:20",-24,218.61
"19:23:21",-22,144.8
"19:23:22",-22,124.81
"19:23:23",-26,183.7
"19:23:24",-28,48.48
"19:23:26",-24,273.67
"19:23:27",-26,248.55
"19:23:28",-24,136.06
"19:23:29",-28,168.54
"19:23:31",-27,448.62
"19:23:32",-22,326.15
"19:23:33",-31,420.99
"19:23:35",-32,229.79
"19:23:36",-32,204.89
"19:23:37",-32,173.57
"19:23:38",-31,443.55
"19:23:40",-32,373.62
"19:23:41",-28,289.76
"19:23:42",-28,246.17
"19:23:44",-30,221.02
"19:23:45",-28,72.33
"19:23:46",-30,461.07
"19:23:47",-31,14.83
"19:23:48",-30,169.9
"19:23:50",-28,359.8
"19:23:51",-29,112.36
"19:23:52",-30,179.83
"19:23:53",-28,69.8
"19:23:54",-30,316.11
"19:23:56",-28,347.33
"19:23:57",-28,103.57
"19:23:58",-31,146.11
"19:23:59",-28,598.56
"19:24:01",-29,496.11
"19:24:02",-27,223.55
"19:24:03",-33,303.58
"19:24:05",-31,301.16
"19:24:06",-28,344.77
"19:24:07",-29,108.6
"19:24:08",-28,169.83
"19:24:10",-28,382.32
"19:24:11",-28,347.32
"19:24:12",-31,210.36
"19:24:13",-26,103.05
"19:24:15",-33,339.92
"19:24:16",-26,224.79
"19:24:17",-32,301.08
"19:24:19",-30,242.32
"19:24:20",-33,199.8
"19:24:21",-32,222.36
"19:24:22",-23,11.08
"19:24:23",-20,96.1
"19:24:24",-24,179.84
"19:24:26",-20,394.81
"19:24:27",-21,312.38
"19:24:28",-22,316.05
"19:24:30",-20,183.63
"19:24:31",-20,99.83
"19:24:32",-21,149.78
"19:24:33",-23,113.68
"19:24:34",-23,257.33
"19:24:35",-22,196.02
"19:24:37",-23,252.34
"19:24:38",-21,213.53
"19:24:39",-22,74.88
"19:24:40",-20,156.05
"19:24:41",-21,128.56
"19:24:42",-26,157.38
"19:24:43",-24,79.82
"19:24:45",-21,292.35
"19:24:46",-20,287.31
"19:24:47",-22,342.3
"19:24:49",-22,306.13
"19:24:50",-22,342.31
"19:24:51",-21,113.57
"19:24:52",-21,103.58
"19:24:53",-24,68.55
"19:24:54",-24,87.34
"19:24:55",-23,121.11
"19:24:57",-22,129.85
"19:24:58",-26,209.79
"19:24:59",-20,94.92
"19:25:00",-19,259.83
"19:25:01",-21,171.02
"19:25:02",-22,77.38
"19:25:04",-24,277.29
"19:25:05",-22,91.07
"19:25:06",-22,184.83
"19:25:07",-21,459.87
"19:25:09",-30,588.54
"19:25:10",-31,278.56
"19:25:11",-30,203.61
"19:25:13",-31,239.82
"19:25:14",-33,418.57
"19:25:16",-32,522.38
"19:25:17",-33,136.07
"19:25:18",-31,331.08
"19:25:19",-33,221.08
"19:25:21",-31,288.61
"19:25:22",-30,159.85
"19:25:23",-32,162.33
"19:25:24",-31,201.09
"19:25:26",-31,458.58
"19:25:27",-33,217.33
"19:25:28",-34,334.87
"19:25:30",-33,388.58
"19:25:31",-35,458.62
"19:25:32",-32,102.29
"19:25:33",-31,91.14
"19:25:35",-27,321.05
"19:25:36",-27,123.6
"19:25:37",-21,139.69
"19:25:38",-19,215.05
"19:25:40",-29,629.67
"19:25:41",-25,433.57
"19:25:42",-25,224.85
"19:25:44",-20,248.26
"19:25:45",-19,86.36
"19:25:46",-21,408.6
"19:25:47",-20,126.08
"19:25:48",-19,190.67
"19:25:50",-20,327.42
"19:25:51",-19,238.91
"19:25:52",-19,186.99
"19:25:53",-23,186.39
"19:25:55",-24,499.78
"19:25:56",-20,49.8
"19:25:57",-24,154.88
"19:25:58",-24,101.07
"19:25:59",-22,94.78
"19:26:00",-25,278.61
"19:26:02",-20,177.32
"19:26:03",-24,131.04
"19:26:04",-19,258.68
"19:26:05",-20,159.82
"19:26:06",-22,177.29
"19:26:07",-22,82.25
"19:26:09",-23,141.19
"19:26:10",-19,237.26
"19:26:11",-20,283.68
"19:26:12",-22,172.25
"19:26:14",-22,298.59
"19:26:15",-19,298.6
"19:26:16",-21,336.02
"19:26:17",-23,114.91
"19:26:18",-22,151
"19:26:20",-22,299.67
"19:26:21",-23,217.18
"19:26:22",-20,22.19
"19:26:23",-22,102.24
"19:26:24",-20,74.79
"19:26:25",-24,167.37
"19:26:27",-24,198.57
"19:26:28",-24,188.52
"19:26:29",-23,162.38
"19:26:30",-22,277.33
"19:26:31",-22,88.56
"19:26:33",-21,291.06
"19:26:34",-23,113.55
"19:26:35",-22,414.85
"19:26:36",-19,198.55
"19:26:37",-21,27.23
"19:26:38",-19,49.95
"19:26:39",-21,74.29
"19:26:41",-24,202.9
"19:26:42",-22,47.27
"19:26:43",-23,111.08
"19:26:44",-21,166.07
"19:26:45",-23,257.38
"19:26:46",-19,101.05
"19:26:48",-21,258.55
"19:26:49",-25,214.78
"19:26:50",-26,503.56
"19:26:51",-25,134.82
"19:26:53",-20,117.33
"19:26:54",-23,111.03
"19:26:55",-27,208.66
"19:26:56",-26,332.32
"19:26:57",-25,17.32
"19:26:58",-23,104.8
"19:27:00",-23,151.09
"19:27:01",-22,22.31
"19:27:02",-22,277.31
"19:27:03",-26,363.59
"19:27:04",-26,119.83
"19:27:05",-24,164.81
"19:27:07",-22,311.08
"19:27:08",-19,148.54
"19:27:09",-23,202.33
"19:27:10",-23,244.85
"19:27:12",-27,313.59
"19:27:13",-22,253.58
"19:27:14",-28,202.26
"19:27:15",-24,93.59
"19:27:16",-23,154.88
"19:27:17",-24,86.07
"19:27:19",-22,84.77
"19:27:20",-27,384.75
"19:27:21",-29,292.35
"19:27:22",-33,86.02
"19:27:23",-22,79.69
"19:27:25",-26,276.17
"19:27:26",-25,61.1
"19:27:27",-21,304.73
"19:27:28",-25,187.3
"19:27:29",-21,61.03
"19:27:31",-23,282.29
"19:27:32",-21,242.31
"19:27:33",-22,213.53
"19:27:34",-23,274.79
"19:27:35",-22,92.28
"19:27:37",-24,191.04
"19:27:38",-21,229.88
"19:27:39",-19,101
"19:27:40",-21,128.54
"19:27:41",-20,283.57
"19:27:42",-19,157.26
"19:27:44",-22,288.55
"19:27:45",-24,21.13
"19:27:46",-23,243.54
"19:27:47",-22,188.54
"19:27:48",-22,131.04
"19:27:49",-24,12.21
"19:27:51",-25,266.16
"19:27:52",-22,271.04
"19:27:53",-24,9.82
"19:27:54",-25,142.33
"19:27:55",-22,134.82
"19:27:56",-23,182.32
"19:27:58",-26,153.5
"19:27:59",-20,184.83
"19:28:00",-22,226.07
"19:28:01",-20,144.82
"19:28:02",-23,78.51
"19:28:03",-22,34.84
"19:28:05",-25,422.3
"19:28:06",-23,13.56
"19:28:07",-20,141.05
"19:28:08",-23,197.23
"19:28:09",-23,97.4
"19:28:10",-24,157.29
"19:28:11",-24,97.33
"19:28:12",-22,14.79
"19:28:13",-22,87.25
"19:28:15",-24,426.07
"19:28:16",-24,103.52
"19:28:17",-26,384.83
"19:28:19",-25,261.05
"19:28:20",-24,183.58
"19:28:21",-28,168.53
"19:28:22",-26,216.02
"19:28:23",-21,254.86
"19:28:25",-24,220.98
"19:28:26",-25,84.33
"19:28:27",-22,249.13
"19:28:28",-22,111.04
"19:28:29",-25,152.34
"19:28:30",-23,163.57
"19:28:32",-21,143.53
"19:28:33",-28,134.76
"19:28:34",-25,488.63
"19:28:35",-30,126.01
"19:28:37",-32,319.79
"19:28:38",-31,189.8
"19:28:39",-32,151.01
"19:28:40",-31,512.34
"19:28:42",-30,113.49
"19:28:43",-31,257.34
"19:28:44",-29,381.02
"19:28:45",-24,252.38
"19:28:47",-26,296.11
"19:28:48",-34,431.19
"19:28:49",-32,213.43
"19:28:51",-30,216.06
"19:28:52",-31,208.54
"19:28:53",-33,45.69
"19:28:54",-27,200.09
"19:28:55",-31,209.82
"19:28:57",-27,222.79
