"rssi","timestamp","scocca"
-20,"09:33:52","scocca"
-18,"09:34:48","scocca"
-20,"09:39:04","scocca"
-16,"09:42:19","scocca"
-13,"09:36:37","scocca"
-14,"09:39:45","scocca"
-18,"09:33:09","scocca"
-18,"09:40:30","scocca"
-18,"09:35:52","scocca"
-14,"09:36:05","scocca"
-13,"09:35:23","scocca"
-18,"09:33:46","scocca"
-15,"09:35:12","scocca"
-20,"09:41:37","scocca"
-19,"09:34:25","scocca"
-15,"09:36:45","scocca"
-17,"09:33:34","scocca"
-16,"09:40:29","scocca"
-14,"09:38:11","scocca"
-16,"09:36:10","scocca"
-18,"09:34:00","scocca"
-19,"09:35:01","scocca"
-18,"09:39:38","scocca"
-15,"09:34:32","scocca"
-17,"09:36:52","scocca"
-18,"09:40:11","scocca"
-14,"09:39:17","scocca"
-19,"09:40:55","scocca"
-13,"09:37:34","scocca"
-14,"09:39:55","scocca"
-15,"09:40:40","scocca"
-16,"09:34:04","scocca"
-17,"09:33:55","scocca"
-16,"09:40:03","scocca"
-19,"09:39:01","scocca"
-12,"09:38:42","scocca"
-15,"09:36:30","scocca"
-15,"09:38:51","scocca"
-18,"09:33:00","scocca"
-15,"09:40:39","scocca"
-14,"09:38:05","scocca"
-16,"09:36:00","scocca"
-16,"09:39:31","scocca"
-15,"09:41:47","scocca"
-15,"09:37:10","scocca"
-18,"09:34:51","scocca"
-14,"09:34:20","scocca"
-14,"09:42:01","scocca"
-13,"09:41:17","scocca"
-17,"09:37:46","scocca"
-16,"09:38:18","scocca"
-15,"09:39:26","scocca"
-15,"09:41:56","scocca"
-18,"09:37:00","scocca"
-20,"09:41:28","scocca"
-17,"09:38:27","scocca"
-17,"09:36:58","scocca"
-16,"09:33:27","scocca"
-16,"09:35:30","scocca"
-16,"09:36:23","scocca"
-14,"09:37:33","scocca"
-19,"09:39:50","scocca"
-17,"09:38:13","scocca"
-12,"09:38:32","scocca"
-16,"09:42:20","scocca"
-18,"09:41:33","scocca"
-14,"09:40:05","scocca"
-15,"09:34:41","scocca"
-14,"09:38:48","scocca"
-20,"09:32:56","scocca"
-15,"09:37:21","scocca"
-17,"09:39:43","scocca"
-14,"09:37:56","scocca"
-19,"09:38:00","scocca"
-15,"09:39:32","scocca"
-19,"09:34:15","scocca"
-17,"09:41:42","scocca"
-14,"09:37:18","scocca"
-13,"09:35:15","scocca"
-18,"09:38:53","scocca"
-14,"09:42:07","scocca"
-18,"09:41:11","scocca"
-20,"09:33:39","scocca"
-15,"09:40:22","scocca"
-15,"09:39:23","scocca"
-15,"09:38:30","scocca"
-18,"09:37:05","scocca"
-16,"09:41:22","scocca"
-15,"09:40:58","scocca"
-15,"09:34:34","scocca"
-14,"09:33:21","scocca"
-15,"09:35:38","scocca"
-13,"09:39:11","scocca"
-15,"09:32:45","scocca"
-12,"09:38:15","scocca"
-19,"09:33:15","scocca"
-15,"09:38:37","scocca"
-19,"09:35:17","scocca"
-16,"09:33:53","scocca"
-18,"09:35:29","scocca"
-16,"09:39:07","scocca"
-21,"09:32:53","scocca"
-15,"09:36:36","scocca"
-14,"09:39:44","scocca"
-14,"09:37:50","scocca"
-15,"09:40:31","scocca"
-22,"09:34:14","scocca"
-16,"09:36:06","scocca"
-14,"09:35:22","scocca"
-19,"09:33:45","scocca"
-14,"09:35:13","scocca"
-14,"09:39:57","scocca"
-17,"09:34:26","scocca"
-13,"09:36:46","scocca"
-20,"09:33:35","scocca"
-13,"09:40:28","scocca"
-18,"09:35:44","scocca"
-17,"09:36:17","scocca"
-18,"09:34:01","scocca"
-18,"09:35:00","scocca"
-17,"09:42:10","scocca"
-17,"09:34:31","scocca"
-16,"09:36:51","scocca"
-18,"09:40:16","scocca"
-17,"09:39:14","scocca"
-18,"09:32:49","scocca"
-13,"09:37:35","scocca"
-16,"09:33:10","scocca"
-18,"09:40:42","scocca"
-21,"09:34:05","scocca"
-22,"09:33:56","scocca"
-15,"09:40:02","scocca"
-13,"09:39:00","scocca"
-13,"09:38:43","scocca"
-16,"09:36:33","scocca"
-16,"09:39:49","scocca"
-17,"09:33:07","scocca"
-14,"09:40:34","scocca"
-18,"09:35:56","scocca"
-16,"09:36:01","scocca"
-16,"09:35:27","scocca"
-14,"09:41:45","scocca"
-16,"09:37:11","scocca"
-15,"09:34:50","scocca"
-16,"09:38:58","scocca"
-17,"09:42:00","scocca"
-17,"09:41:16","scocca"
-13,"09:37:45","scocca"
-15,"09:35:41","scocca"
-13,"09:39:24","scocca"
-15,"09:41:51","scocca"
-14,"09:42:15","scocca"
-12,"09:41:29","scocca"
-14,"09:38:20","scocca"
-13,"09:36:57","scocca"
-20,"09:33:26","scocca"
-15,"09:35:31","scocca"
-16,"09:36:20","scocca"
-13,"09:37:30","scocca"
-14,"09:39:51","scocca"
-14,"09:38:12","scocca"
-13,"09:34:08","scocca"
-16,"09:42:23","scocca"
-14,"09:41:06","scocca"
-15,"09:40:04","scocca"
-17,"09:34:46","scocca"
-16,"09:38:46","scocca"
-13,"09:32:55","scocca"
-13,"09:37:20","scocca"
-19,"09:39:42","scocca"
-12,"09:37:57","scocca"
-15,"09:38:01","scocca"
-15,"09:39:33","scocca"
-23,"09:35:53","scocca"
-13,"09:41:43","scocca"
-16,"09:37:19","scocca"
-12,"09:34:55","scocca"
-15,"09:38:52","scocca"
-14,"09:42:06","scocca"
-18,"09:41:13","scocca"
-14,"09:37:43","scocca"
-18,"09:40:21","scocca"
-15,"09:39:22","scocca"
-16,"09:41:59","scocca"
-13,"09:37:04","scocca"
-15,"09:41:23","scocca"
-15,"09:40:59","scocca"
-16,"09:42:11","scocca"
-18,"09:33:20","scocca"
-13,"09:35:34","scocca"
-16,"09:36:26","scocca"
-22,"09:32:46","scocca"
-15,"09:41:39","scocca"
-14,"09:33:17","scocca"
-16,"09:38:36","scocca"
-15,"09:38:16","scocca"
-20,"09:41:02","scocca"
-14,"09:35:28","scocca"
-19,"09:39:06","scocca"
-20,"09:32:52","scocca"
-15,"09:37:25","scocca"
-13,"09:39:47","scocca"
-13,"09:37:51","scocca"
-14,"09:40:33","scocca"
-22,"09:35:50","scocca"
-17,"09:36:08","scocca"
-14,"09:34:44","scocca"
-21,"09:33:44","scocca"
-13,"09:35:10","scocca"
-17,"09:41:34","scocca"
-14,"09:34:27","scocca"
-16,"09:36:47","scocca"
-20,"09:33:33","scocca"
-15,"09:40:27","scocca"
-21,"09:35:47","scocca"
-13,"09:36:15","scocca"
-18,"09:42:14","scocca"
-15,"09:35:03","scocca"
-13,"09:40:53","scocca"
-15,"09:34:30","scocca"
-14,"09:36:50","scocca"
-17,"09:40:17","scocca"
-14,"09:39:15","scocca"
-19,"09:32:41","scocca"
-17,"09:37:38","scocca"
-22,"09:33:11","scocca"
-14,"09:40:45","scocca"
-14,"09:34:02","scocca"
-15,"09:33:57","scocca"
-15,"09:41:31","scocca"
-14,"09:39:03","scocca"
-17,"09:38:41","scocca"
-15,"09:36:32","scocca"
-14,"09:39:48","scocca"
-13,"09:33:06","scocca"
-16,"09:40:35","scocca"
-15,"09:39:39","scocca"
-18,"09:36:02","scocca"
-15,"09:39:36","scocca"
-12,"09:33:49","scocca"
-13,"09:37:12","scocca"
-16,"09:34:53","scocca"
-18,"09:34:22","scocca"
-19,"09:35:45","scocca"
-13,"09:41:19","scocca"
-14,"09:37:44","scocca"
-24,"09:35:40","scocca"
-15,"09:36:13","scocca"
-13,"09:41:50","scocca"
-13,"09:35:05","scocca"
-14,"09:40:56","scocca"
-15,"09:38:21","scocca"
-14,"09:36:55","scocca"
-16,"09:40:12","scocca"
-17,"09:35:33","scocca"
-17,"09:36:21","scocca"
-15,"09:37:31","scocca"
-12,"09:39:56","scocca"
-17,"09:40:49","scocca"
-17,"09:34:09","scocca"
-15,"09:42:22","scocca"
-16,"09:33:58","scocca"
