"rssi","timestamp","scocca"
-12,"08:47:09","scocca"
-17,"08:47:08","scocca"
-17,"08:47:01","scocca"
-19,"08:47:00","scocca"
-18,"08:47:03","scocca"
-18,"08:47:02","scocca"
-19,"08:47:04","scocca"
-21,"08:47:07","scocca"
-17,"08:47:06","scocca"
-19,"08:42:42","scocca"
-20,"08:42:40","scocca"
-20,"08:42:41","scocca"
-18,"08:42:46","scocca"
-19,"08:42:47","scocca"
-16,"08:40:48","scocca"
-22,"08:42:44","scocca"
-18,"08:40:44","scocca"
-19,"08:40:45","scocca"
-20,"08:40:46","scocca"
-17,"08:40:47","scocca"
-18,"08:40:40","scocca"
-22,"08:40:42","scocca"
-17,"08:40:43","scocca"
-18,"08:46:46","scocca"
-15,"08:46:47","scocca"
-18,"08:46:44","scocca"
-15,"08:46:45","scocca"
-20,"08:46:43","scocca"
-16,"08:46:41","scocca"
-17,"08:46:48","scocca"
-18,"08:46:49","scocca"
-21,"08:48:08","scocca"
-18,"08:48:09","scocca"
-16,"08:48:00","scocca"
-18,"08:47:56","scocca"
-25,"08:48:02","scocca"
-14,"08:48:03","scocca"
-16,"08:48:04","scocca"
-17,"08:48:05","scocca"
-18,"08:47:57","scocca"
-17,"08:45:36","scocca"
-23,"08:45:37","scocca"
-18,"08:45:34","scocca"
-17,"08:45:35","scocca"
-16,"08:45:32","scocca"
-16,"08:45:33","scocca"
-22,"08:45:30","scocca"
-22,"08:47:55","scocca"
-19,"08:45:39","scocca"
-19,"08:39:59","scocca"
-18,"08:39:58","scocca"
-17,"08:39:57","scocca"
-20,"08:39:56","scocca"
-15,"08:41:49","scocca"
-21,"08:39:53","scocca"
-23,"08:39:52","scocca"
-18,"08:39:51","scocca"
-18,"08:39:50","scocca"
-17,"08:49:10","scocca"
-17,"08:49:11","scocca"
-15,"08:43:49","scocca"
-17,"08:43:48","scocca"
-18,"08:43:40","scocca"
-18,"08:43:43","scocca"
-16,"08:43:42","scocca"
-15,"08:43:45","scocca"
-17,"08:43:44","scocca"
-17,"08:43:46","scocca"
-16,"08:44:16","scocca"
-21,"08:40:13","scocca"
-21,"08:40:12","scocca"
-21,"08:40:11","scocca"
-18,"08:44:29","scocca"
-20,"08:40:17","scocca"
-20,"08:40:16","scocca"
-23,"08:40:14","scocca"
-22,"08:44:22","scocca"
-17,"08:44:23","scocca"
-17,"08:40:19","scocca"
-15,"08:44:21","scocca"
-14,"08:44:26","scocca"
-14,"08:44:27","scocca"
-22,"08:44:24","scocca"
-24,"08:46:02","scocca"
-16,"08:46:03","scocca"
-21,"08:46:01","scocca"
-20,"08:46:06","scocca"
-22,"08:46:04","scocca"
-16,"08:46:05","scocca"
-16,"08:46:08","scocca"
-15,"08:46:09","scocca"
-14,"08:47:30","scocca"
-22,"08:47:31","scocca"
-22,"08:47:32","scocca"
-19,"08:47:33","scocca"
-18,"08:47:34","scocca"
-22,"08:47:36","scocca"
-17,"08:47:37","scocca"
-19,"08:47:38","scocca"
-18,"08:47:39","scocca"
-14,"08:39:26","scocca"
-15,"08:39:27","scocca"
-17,"08:39:24","scocca"
-23,"08:39:22","scocca"
-22,"08:39:23","scocca"
-19,"08:39:28","scocca"
-23,"08:39:29","scocca"
-17,"08:48:44","scocca"
-23,"08:48:45","scocca"
-21,"08:48:46","scocca"
-20,"08:48:47","scocca"
-19,"08:48:41","scocca"
-21,"08:48:42","scocca"
-19,"08:48:43","scocca"
-20,"08:48:49","scocca"
-17,"08:41:09","scocca"
-18,"08:41:08","scocca"
-19,"08:41:07","scocca"
-16,"08:41:06","scocca"
-16,"08:41:05","scocca"
-22,"08:41:04","scocca"
-20,"08:41:02","scocca"
-21,"08:41:01","scocca"
-17,"08:41:00","scocca"
-24,"08:43:05","scocca"
-15,"08:43:04","scocca"
-17,"08:43:07","scocca"
-21,"08:43:06","scocca"
-25,"08:43:01","scocca"
-15,"08:43:02","scocca"
-20,"08:43:09","scocca"
-19,"08:43:08","scocca"
-26,"08:42:39","scocca"
-19,"08:42:38","scocca"
-21,"08:42:33","scocca"
-20,"08:42:32","scocca"
-23,"08:42:31","scocca"
-16,"08:42:30","scocca"
-18,"08:42:37","scocca"
-18,"08:42:36","scocca"
-23,"08:42:34","scocca"
-18,"08:40:59","scocca"
-17,"08:40:58","scocca"
-13,"08:40:57","scocca"
-14,"08:40:55","scocca"
-15,"08:40:54","scocca"
-16,"08:40:53","scocca"
-14,"08:40:52","scocca"
