"timestamp","rssi","rx","01"
"10:09:33 ",0,-59,"01"
"10:14:58 ",0,-63,"01"
"10:13:00 ",0,-62,"01"
"10:09:44 ",0,-75,"01"
"10:14:24 ",0,-63,"01"
"10:15:56 ",0,-65,"01"
"10:16:09 ",0,-62,"01"
"10:12:34 ",0,-70,"01"
"10:17:18 ",0,-60,"01"
"10:08:14 ",0,-67,"01"
"10:13:49 ",0,-59,"01"
"10:09:03 ",0,-66,"01"
"10:11:03 ",0,-62,"01"
"10:08:32 ",0,-74,"01"
"10:16:48 ",0,-59,"01"
"10:08:42 ",0,-71,"01"
"10:12:01 ",0,-67,"01"
"10:13:35 ",0,-61,"01"
"10:09:57 ",0,-59,"01"
"10:14:34 ",0,-67,"01"
"10:15:45 ",0,-69,"01"
"10:11:17 ",0,-67,"01"
"10:12:54 ",0,-67,"01"
"10:09:17 ",0,-75,"01"
"10:16:57 ",0,-67,"01"
"10:08:04 ",0,-62,"01"
"10:12:14 ",0,-71,"01"
"10:10:35 ",0,-70,"01"
"10:13:21 ",0,-61,"01"
"10:14:03 ",0,-74,"01"
"10:15:37 ",0,-65,"01"
"10:11:09 ",0,-67,"01"
"10:10:47 ",0,-59,"01"
"10:17:39 ",0,-73,"01"
"10:09:28 ",0,-72,"01"
"10:14:45 ",0,-63,"01"
"10:17:11 ",0,-71,"01"
"10:13:10 ",0,-60,"01"
"10:11:47 ",0,-59,"01"
"10:12:27 ",0,-69,"01"
"10:11:37 ",0,-71,"01"
"10:14:12 ",0,-71,"01"
"10:15:25 ",0,-61,"01"
"10:15:21 ",0,-59,"01"
"10:16:37 ",0,-75,"01"
"10:22:47 ",-4,-74,"02"
"10:24:10 ",-2,-73,"02"
"10:20:33 ",0,-83,"02"
"10:20:44 ",0,-72,"02"
"10:23:27 ",0,-79,"02"
"10:21:02 ",-8,-75,"02"
"10:28:09 ",0,-75,"02"
"10:25:32 ",0,-74,"02"
"10:24:41 ",0,-75,"02"
"10:23:42 ",0,-73,"02"
"10:27:37 ",-4,-74,"02"
"10:26:27 ",-4,-74,"02"
"10:21:55 ",0,-72,"02"
"10:29:00 ",0,-74,"02"
"10:29:27 ",-1,-75,"02"
"10:21:15 ",0,-74,"02"
"10:22:21 ",0,-75,"02"
"10:22:25 ",0,-75,"02"
"10:30:13 ",-2,-76,"02"
"10:23:08 ",0,-84,"02"
"10:24:20 ",0,-74,"02"
"10:26:46 ",-3,-76,"02"
"10:21:24 ",-1,-71,"02"
"10:29:19 ",-2,-74,"02"
"10:25:44 ",0,-75,"02"
"10:28:29 ",0,-84,"02"
"10:26:06 ",-4,-74,"02"
"10:22:57 ",-2,-78,"02"
"10:25:13 ",0,-79,"02"
"10:27:58 ",-1,-78,"02"
"10:25:53 ",-2,-75,"02"
"10:28:18 ",0,-76,"02"
"10:30:05 ",-2,-85,"02"
"10:25:23 ",-6,-74,"02"
"10:24:51 ",0,-75,"02"
"10:21:44 ",0,-75,"02"
"10:26:34 ",0,-85,"02"
"10:28:50 ",0,-73,"02"
"10:39:55 ",-24,-91,"03"
"10:37:31 ",-24,-79,"03"
"10:38:04 ",-18,-83,"03"
"10:44:07 ",-22,-100,"03"
"10:43:22 ",-25,-85,"03"
"10:35:57 ",-19,-90,"03"
"10:44:35 ",-26,-83,"03"
"10:40:37 ",-22,-98,"03"
"10:40:37 ",-22,-78,"03"
"10:39:17 ",-24,-89,"03"
"10:36:50 ",-16,-93,"03"
"10:42:12 ",-19,-79,"03"
"10:45:21 ",-25,-88,"03"
"10:39:45 ",-21,-81,"03"
"10:36:16 ",-12,-87,"03"
"10:37:21 ",-16,-93,"03"
"10:38:11 ",-24,-87,"03"
"10:43:34 ",-25,-91,"03"
"10:42:48 ",-28,-93,"03"
"10:41:32 ",-20,-79,"03"
"10:40:26 ",-23,-82,"03"
"10:35:38 ",-15,-95,"03"
"10:41:08 ",-18,-78,"03"
"10:40:17 ",-18,-78,"03"
"10:37:19 ",-14,-79,"03"
"10:38:22 ",-19,-79,"03"
"10:43:08 ",-25,-90,"03"
"10:45:08 ",-16,-88,"03"
"10:41:42 ",-20,-91,"03"
"10:39:34 ",-26,-81,"03"
"10:37:51 ",-16,-82,"03"
"10:40:48 ",-15,-94,"03"
"10:44:11 ",-22,-96,"03"
"10:44:15 ",-28,-85,"03"
"10:37:04 ",-18,-97,"03"
"10:44:50 ",-22,-82,"03"
"10:43:18 ",-28,-79,"03"
"10:42:21 ",-23,-81,"03"
"10:41:59 ",-21,-79,"03"
"10:41:55 ",-12,-81,"03"
"10:38:31 ",-23,-79,"03"
"10:49:35 ",-16,-88,"04"
"10:50:05 ",-13,-83,"04"
"10:56:07 ",-15,-94,"04"
"10:53:41 ",-19,-91,"04"
"10:54:25 ",-14,-83,"04"
"10:57:19 ",-18,-92,"04"
"10:56:59 ",-17,-96,"04"
"10:56:52 ",-16,-86,"04"
"10:49:46 ",-16,-85,"04"
"10:58:01 ",-16,-94,"04"
"10:57:51 ",-14,-94,"04"
"10:51:28 ",-15,-96,"04"
"10:58:44 ",-17,-83,"04"
"10:54:34 ",-18,-95,"04"
"10:50:57 ",-19,-92,"04"
"10:57:09 ",-9,-91,"04"
"10:51:58 ",-14,-95,"04"
"10:52:20 ",-17,-86,"04"
"10:54:45 ",-18,-88,"04"
"10:53:35 ",-13,-85,"04"
"10:55:07 ",-13,-98,"04"
"10:49:56 ",-18,-89,"04"
"10:51:18 ",-13,-85,"04"
"10:51:19 ",-13,-92,"04"
"10:49:15 ",-17,-93,"04"
"10:55:49 ",-12,-93,"04"
"10:56:24 ",-19,-88,"04"
"10:49:25 ",-13,-93,"04"
"10:58:23 ",-15,-96,"04"
"10:57:31 ",-18,-84,"04"
"10:51:49 ",-18,-93,"04"
"10:52:39 ",-14,-92,"04"
"10:52:36 ",-18,-86,"04"
"10:53:22 ",-14,-93,"04"
"10:53:54 ",-13,-95,"04"
"10:54:55 ",-19,-85,"04"
"10:51:08 ",-14,-94,"04"
"10:55:26 ",-19,-84,"04"
"10:56:40 ",-18,-93,"04"
"10:53:10 ",-14,-85,"04"
"10:54:14 ",-19,-89,"04"
"11:07:09 ",-15,-93,"05"
"11:11:22 ",-16,-91,"05"
"11:05:01 ",-14,-89,"05"
"11:03:57 ",-11,-97,"05"
"11:04:43 ",-15,-94,"05"
"11:09:48 ",-13,-92,"05"
"11:09:46 ",-18,-102,"05"
"11:10:30 ",-17,-93,"05"
"11:03:42 ",-20,-90,"05"
"11:05:43 ",-12,-87,"05"
"11:05:33 ",-15,-103,"05"
"11:05:35 ",-17,-83,"05"
"11:12:33 ",-13,-90,"05"
"11:12:05 ",-14,-85,"05"
"11:07:39 ",-12,-89,"05"
"11:07:32 ",-12,-90,"05"
"11:04:51 ",-14,-94,"05"
"11:10:51 ",-10,-86,"05"
"11:08:33 ",-14,-84,"05"
"11:11:00 ",-13,-84,"05"
"11:12:23 ",-17,-83,"05"
"11:11:12 ",-17,-97,"05"
"11:11:14 ",-12,-94,"05"
"11:10:10 ",-9,-93,"05"
"11:12:12 ",-9,-85,"05"
"11:07:21 ",-17,-85,"05"
"11:07:23 ",-13,-93,"05"
"11:08:11 ",-11,-95,"05"
"11:12:54 ",-15,-87,"05"
"11:09:28 ",-12,-98,"05"
"11:06:06 ",-11,-94,"05"
"11:10:41 ",-13,-97,"05"
"11:08:56 ",-14,-89,"05"
"11:05:18 ",-15,-91,"05"
"11:05:12 ",-11,-94,"05"
"11:06:51 ",-16,-93,"05"
"11:08:24 ",-14,-85,"05"
"11:03:27 ",-17,-87,"05"
"11:04:22 ",-15,-86,"05"
"11:09:59 ",-12,-97,"05"
"11:04:11 ",-17,-87,"05"
"11:08:44 ",-14,-91,"05"
"11:11:53 ",-10,-88,"05"
"11:05:53 ",-10,-83,"05"
"11:04:32 ",-15,-90,"05"
"11:09:19 ",-13,-83,"05"
"11:18:46 ",-16,-100,"06"
"11:18:49 ",-21,-91,"06"
"11:17:15 ",-22,-91,"06"
"11:16:20 ",-20,-89,"06"
"11:20:39 ",-18,-95,"06"
"11:15:31 ",-20,-90,"06"
"11:15:39 ",-22,-91,"06"
"11:23:24 ",-19,-99,"06"
"11:20:41 ",-21,-91,"06"
"11:18:05 ",-20,-94,"06"
"11:14:26 ",-23,-90,"06"
"11:15:03 ",-19,-91,"06"
"11:22:28 ",-18,-91,"06"
"11:22:20 ",-19,-91,"06"
"11:15:52 ",-14,-90,"06"
"11:15:50 ",-19,-91,"06"
"11:15:59 ",-16,-100,"06"
"11:20:59 ",-19,-90,"06"
"11:23:11 ",-24,-99,"06"
"11:20:52 ",-24,-99,"06"
"11:18:36 ",-21,-91,"06"
"11:14:51 ",-16,-99,"06"
"11:16:55 ",-19,-91,"06"
"11:20:14 ",-17,-90,"06"
"11:20:10 ",-24,-91,"06"
"11:15:15 ",-17,-90,"06"
"11:15:13 ",-20,-98,"06"
"11:19:25 ",-20,-97,"06"
"11:23:14 ",-22,-93,"06"
"11:21:06 ",-17,-89,"06"
"11:16:00 ",-21,-90,"06"
"11:19:33 ",-19,-93,"06"
"11:18:26 ",-23,-90,"06"
"11:14:42 ",-18,-97,"06"
"11:22:40 ",-18,-98,"06"
"11:16:43 ",-16,-90,"06"
"11:22:02 ",-23,-90,"06"
"11:22:08 ",-23,-90,"06"
"11:23:34 ",-19,-91,"06"
"11:18:15 ",-20,-90,"06"
"11:14:34 ",-19,-96,"06"
"11:21:30 ",-17,-90,"06"
"11:19:43 ",-19,-91,"06"
"11:29:14 ",-11,-85,"07"
"11:27:14 ",-14,-90,"07"
"11:27:02 ",-15,-90,"07"
"11:29:59 ",-16,-93,"07"
"11:33:05 ",-12,-87,"07"
"11:30:28 ",-14,-85,"07"
"11:30:26 ",-13,-86,"07"
"11:35:39 ",-10,-88,"07"
"11:32:24 ",-14,-87,"07"
"11:26:07 ",-12,-88,"07"
"11:31:25 ",-14,-91,"07"
"11:32:56 ",-11,-88,"07"
"11:28:11 ",-13,-88,"07"
"11:31:50 ",-11,-87,"07"
"11:29:04 ",-10,-88,"07"
"11:35:44 ",-12,-91,"07"
"11:26:40 ",-13,-89,"07"
"11:30:18 ",-13,-87,"07"
"11:35:01 ",-16,-87,"07"
"11:26:18 ",-11,-88,"07"
"11:31:39 ",-13,-85,"07"
"11:32:42 ",-13,-95,"07"
"11:30:48 ",-12,-88,"07"
"11:25:59 ",-11,-85,"07"
"11:26:51 ",-12,-87,"07"
"11:27:51 ",-14,-85,"07"
"11:30:05 ",-12,-87,"07"
"11:28:55 ",-13,-90,"07"
"11:35:11 ",-12,-85,"07"
"11:32:00 ",-11,-93,"07"
"11:30:39 ",-12,-91,"07"
"11:35:22 ",-13,-94,"07"
"11:32:33 ",-9,-95,"07"
"11:28:01 ",-14,-91,"07"
"11:27:43 ",-12,-91,"07"
"11:42:19 ",-26,-96,"08"
"11:41:52 ",-26,-95,"08"
"11:43:01 ",-26,-95,"08"
"11:40:46 ",-27,-100,"08"
"11:40:46 ",-27,-96,"08"
"11:41:07 ",-27,-99,"08"
"11:40:16 ",-28,-97,"08"
"11:41:32 ",-29,-98,"08"
"11:41:38 ",-27,-99,"08"
"11:40:02 ",-26,-101,"08"
"11:42:29 ",-26,-97,"08"
"11:39:11 ",-27,-102,"08"
"11:41:26 ",-27,-95,"08"
"11:41:24 ",-27,-102,"08"
"11:39:24 ",-25,-97,"08"
"11:39:29 ",-29,-95,"08"
"11:39:54 ",-29,-96,"08"
"11:41:15 ",-28,-101,"08"
"11:42:55 ",-28,-96,"08"
"11:54:40 ",-21,-93,"09"
"11:56:52 ",-21,-100,"09"
"11:55:20 ",-20,-93,"09"
"11:58:57 ",-22,-97,"09"
"12:02:59 ",-22,-95,"09"
"12:02:54 ",-20,-99,"09"
"12:00:51 ",-22,-99,"09"
"12:00:54 ",-20,-93,"09"
"12:03:16 ",-21,-93,"09"
"12:03:13 ",-21,-95,"09"
"11:59:19 ",-20,-93,"09"
"12:01:31 ",-22,-92,"09"
"11:58:05 ",-20,-95,"09"
"12:02:03 ",-21,-92,"09"
"11:57:37 ",-22,-93,"09"
"11:56:44 ",-21,-101,"09"
"11:55:30 ",-20,-99,"09"
"12:00:10 ",-20,-100,"09"
"12:00:11 ",-21,-96,"09"
"11:54:29 ",-23,-94,"09"
"12:01:44 ",-21,-99,"09"
"12:01:48 ",-20,-98,"09"
"12:02:45 ",-21,-94,"09"
"12:02:40 ",-20,-96,"09"
"11:56:06 ",-20,-92,"09"
"11:56:03 ",-20,-99,"09"
"12:00:40 ",-21,-98,"09"
"11:59:27 ",-22,-92,"09"
"11:54:18 ",-22,-98,"09"
"11:57:02 ",-22,-97,"09"
"11:56:32 ",-19,-92,"09"
"11:55:49 ",-20,-95,"09"
"12:01:52 ",-21,-92,"09"
"12:00:21 ",-22,-100,"09"
"12:00:29 ",-21,-95,"09"
"11:54:48 ",-21,-92,"09"
"11:57:45 ",-21,-92,"09"
"11:59:39 ",-21,-98,"09"
"12:01:12 ",-19,-94,"09"
"12:00:23 ",-22,-100,"09"
"11:55:16 ",-20,-94,"09"
"11:54:07 ",-23,-99,"09"
"11:54:01 ",-21,-99,"09"
"11:58:25 ",-21,-98,"09"
"11:57:15 ",-21,-97,"09"
"12:02:27 ",-21,-99,"09"
"11:56:23 ",-21,-94,"09"
"11:59:08 ",-21,-96,"09"
"11:59:08 ",-21,-98,"09"
"12:01:23 ",-22,-93,"09"
"11:58:16 ",-20,-93,"09"
"11:57:55 ",-21,-98,"09"
"12:11:26 ",-30,-97,10
"12:15:54 ",-27,-98,10
"12:12:13 ",-28,-96,10
"12:16:36 ",-24,-96,10
"12:10:16 ",-30,-98,10
"12:16:45 ",-27,-98,10
"12:19:21 ",-27,-100,10
"12:10:06 ",-28,-97,10
"12:13:31 ",-27,-98,10
"12:16:24 ",-30,-97,10
