"rssi","rx"
0,-41
0,-39
0,-48
0,-49
0,-40
1,-48
1,-39
1,-40
1,-41
1,-46
1,-45
1,-44
2,-41
2,-42
2,-40
0,-43
0,-44
0,-46
0,-45
0,-47
0,-42
0,-51
0,-52
0,-57
0,-61
0,-62
0,-75
0,-35
0,-38
0,-50
0,-37
0,-53
0,-54
0,-55
0,-56
0,-63
0,-64
0,-70
0,-66
-2,-53
-2,-55
-2,-54
-2,-58
-2,-59
0,-60
0,-58
0,-65
0,-67
-2,-57
-2,-64
-2,-69
-2,-71
-2,-72
-2,-56
-3,-56
-3,-57
-3,-55
-3,-68
-3,-71
-3,-72
-2,-50
-2,-48
-2,-49
-2,-47
-2,-51
-1,-50
-1,-51
-2,-52
-6,-61
-6,-60
-6,-57
-6,-62
-10,-61
-10,-60
-10,-62
-3,-66
-3,-65
-3,-69
-3,-70
-2,-62
-2,-61
-1,-61
-1,-57
0,-59
-1,-55
-1,-60
-1,-56
-1,-59
-1,-63
-1,-74
-1,-58
-1,-62
-3,-61
-3,-76
-3,-63
-3,-62
-3,-60
-3,-64
-5,-60
-5,-59
-5,-58
-5,-57
-3,-58
-3,-59
-10,-63
-10,-64
-10,-66
-10,-68
-10,-67
-5,-65
-5,-72
-9,-64
-9,-58
-9,-59
-9,-56
-5,-56
-5,-55
-2,-63
-2,-73
-2,-82
-2,-65
-7,-63
-7,-64
-7,-66
-4,-61
-4,-62
-4,-63
-4,-64
-11,-63
-11,-62
-11,-61
-11,-66
-11,-67
-11,-65
-10,-73
-10,-74
-10,-79
-10,-80
-10,-78
-9,-63
-6,-63
-10,-65
-11,-71
-11,-64
-11,-68
-11,-60
-4,-65
-4,-66
-3,-67
-5,-73
-5,-68
-5,-69
-6,-74
-6,-71
-6,-73
-6,-68
-4,-67
-4,-71
-4,-72
-4,-70
-9,-67
-9,-72
-9,-70
-9,-73
-4,-69
-12,-69
-12,-68
-12,-76
-12,-67
-11,-81
-11,-69
-11,-70
-10,-70
-7,-65
-8,-64
-8,-65
-12,-62
-12,-61
-12,-58
-12,-60
-12,-64
-10,-75
-10,-76
-9,-68
-9,-69
-9,-71
-20,-65
-20,-66
-18,-65
-18,-66
-18,-64
-18,-71
-18,-72
-15,-68
-15,-69
-15,-64
-18,-68
-18,-67
-18,-69
-18,-70
-18,-83
-15,-74
-15,-73
-15,-72
-14,-66
-14,-67
-14,-65
-7,-69
-7,-68
-14,-72
-14,-71
-11,-76
-6,-75
-6,-72
-6,-77
-6,-76
-6,-78
-6,-69
-6,-70
-7,-62
-19,-72
-19,-73
-20,-75
-20,-74
-20,-73
-20,-71
-18,-74
-26,-66
-18,-73
-26,-75
