"rssi","rx"
-27,-80
-27,-78
-27,-78
-27,-78
-27,-78
-27,-77
-27,-79
-24,-80
-24,-81
-24,-80
-24,-80
-26,-78
-26,-77
-26,-77
-26,-78
-26,-77
-26,-77
-26,-77
-26,-77
-26,-77
-26,-76
-26,-77
-26,-76
-26,-77
-26,-76
-26,-77
-26,-77
-26,-76
-26,-76
-26,-77
-26,-76
-26,-76
-26,-77
-26,-76
-26,-76
-26,-76
-26,-76
-26,-75
-26,-76
-26,-76
-26,-84
-26,-76
-26,-76
-26,-76
-26,-76
-26,-75
-26,-76
-26,-75
-26,-75
-26,-76
-26,-75
-26,-75
-26,-75
-26,-76
-26,-76
-26,-75
-26,-76
-26,-75
-26,-75
-26,-75
-26,-75
-26,-75
-26,-75
-26,-75
-26,-75
-26,-75
-26,-76
-26,-75
-26,-76
-26,-76
-25,-75
-25,-75
-25,-75
-25,-75
-25,-76
-25,-76
-25,-75
-25,-74
-25,-76
-25,-75
-25,-75
-25,-74
-25,-74
-25,-75
-25,-76
-25,-75
-25,-76
-25,-76
-25,-74
-25,-75
-25,-76
-25,-75
-25,-75
-25,-74
-25,-75
-25,-75
-25,-75
-25,-75
-25,-76
-25,-75
-25,-75
-25,-75
-25,-75
-25,-75
-25,-76
-25,-75
-25,-76
-25,-76
-25,-75
-25,-75
-25,-75
-25,-75
-25,-75
-25,-75
-25,-74
-25,-76
-25,-75
-25,-75
-25,-75
-25,-75
-25,-75
-25,-75
-25,-75
-25,-76
-25,-76
-25,-76
-25,-76
-25,-75
-25,-75
-25,-76
-25,-76
-25,-76
-25,-76
-25,-77
-25,-77
-25,-78
-25,-77
-25,-77
-25,-76
-25,-76
-25,-76
-25,-77
-25,-78
-25,-77
-25,-78
-25,-78
-25,-78
-25,-78
-25,-78
-25,-78
-25,-75
-25,-77
-25,-77
-25,-78
-25,-79
-25,-79
-25,-78
-25,-78
-25,-77
-25,-77
-25,-77
-25,-76
-25,-77
-25,-77
-25,-77
-25,-79
-25,-80
-25,-78
-25,-83
-25,-81
-25,-79
-25,-77
-25,-78
-25,-81
-25,-81
-25,-78
-25,-77
-25,-78
-25,-79
-25,-81
-25,-80
-25,-76
-25,-79
-25,-81
-25,-76
-25,-76
-25,-81
-25,-79
-25,-77
-25,-80
-25,-79
-25,-78
-25,-78
-25,-78
-25,-80
-25,-80
-23,-77
-23,-78
-23,-77
-23,-79
-23,-79
-23,-78
-23,-76
-23,-76
-23,-76
-23,-76
-23,-77
-23,-76
-23,-76
-23,-76
-23,-76
-23,-78
-23,-78
-23,-79
-23,-80
-23,-79
-23,-77
-23,-80
-23,-80
-23,-79
-23,-78
-23,-78
-23,-78
-23,-80
-23,-78
-23,-80
-23,-77
-23,-76
-23,-77
-26,-76
-26,-77
-26,-77
-26,-77
-26,-75
-26,-75
-26,-76
-26,-76
-26,-78
-26,-77
-26,-79
-26,-79
-26,-75
-26,-74
-26,-76
-26,-76
-26,-79
-26,-75
-26,-76
-26,-75
-26,-75
-26,-75
-26,-76
-26,-74
-26,-75
-26,-75
-26,-77
-26,-77
-26,-76
-26,-75
-26,-75
-26,-75
-26,-74
-26,-75
-26,-75
-26,-75
-26,-76
-26,-76
-26,-76
-26,-76
-26,-75
-26,-76
-26,-75
-26,-75
-26,-75
-27,-76
-27,-76
-27,-75
-27,-76
