"mac_address",rasp,rx,"timestamp",sn
"48:13:7E:B7:C5:90",1,-88,"10:55:14.491",1890
"84:8E:DF:BD:36:C5",1,-89,"10:54:48.702",3334
"84:8E:DF:BD:36:C5",1,-88,"10:54:48.728",3341
"C8:14:79:31:3C:2A",1,-50,"10:50:29.193",193
"C8:14:79:31:3C:2A",1,-49,"10:50:29.232",195
"C8:14:79:31:3C:2A",1,-50,"10:50:29.239",197
"C8:14:79:31:3C:2A",1,-50,"10:50:29.246",198
"C8:14:79:31:3C:2A",1,-50,"10:50:29.249",200
"C8:14:79:31:3C:2A",1,-50,"10:50:29.252",204
"C8:14:79:31:3C:2A",1,-62,"10:50:29.266",205
"C8:14:79:31:3C:2A",1,-50,"10:50:29.491",3855
"C8:14:79:31:3C:2A",1,-45,"10:50:30.369",206
"C8:14:79:31:3C:2A",1,-41,"10:50:31.089",207
"C8:14:79:31:3C:2A",1,-41,"10:50:31.094",209
"C8:14:79:31:3C:2A",1,-44,"10:50:31.780",3881
"C8:14:79:31:3C:2A",1,-45,"10:50:31.801",3882
"C8:14:79:31:3C:2A",1,-50,"10:50:32.622",210
"C8:14:79:31:3C:2A",1,-49,"10:51:02.533",3924
"C8:14:79:31:3C:2A",1,-48,"10:51:02.536",3925
"C8:14:79:31:3C:2A",1,-48,"10:51:02.550",3926
"C8:14:79:31:3C:2A",1,-49,"10:51:02.555",3927
"C8:14:79:31:3C:2A",1,-52,"10:51:12.720",211
"C8:14:79:31:3C:2A",1,-52,"10:51:12.884",212
"C8:14:79:31:3C:2A",1,-51,"10:51:35.021",217
"C8:14:79:31:3C:2A",1,-52,"10:51:35.038",219
"C8:14:79:31:3C:2A",1,-51,"10:51:35.199",220
"C8:14:79:31:3C:2A",1,-51,"10:51:44.241",3974
"C8:14:79:31:3C:2A",1,-49,"10:51:44.261",3976
"C8:14:79:31:3C:2A",1,-50,"10:51:44.285",3979
"C8:14:79:31:3C:2A",1,-52,"10:51:45.983",223
"C8:14:79:31:3C:2A",1,-51,"10:51:46.471",4025
"C8:14:79:31:3C:2A",1,-49,"10:51:46.488",4029
"C8:14:79:31:3C:2A",1,-51,"10:51:46.572",4032
"C8:14:79:31:3C:2A",1,-52,"10:51:46.595",4035
"C8:14:79:31:3C:2A",1,-52,"10:51:48.464",224
"C8:14:79:31:3C:2A",1,-52,"10:51:48.474",225
"C8:14:79:31:3C:2A",1,-51,"10:51:48.484",226
"C8:14:79:31:3C:2A",1,-51,"10:51:48.612",229
"C8:14:79:31:3C:2A",1,-51,"10:51:48.615",230
"C8:14:79:31:3C:2A",1,-50,"10:51:48.804",231
"C8:14:79:31:3C:2A",1,-51,"10:51:48.918",232
"C8:14:79:31:3C:2A",1,-51,"10:51:49.154",233
"C8:14:79:31:3C:2A",1,-50,"10:51:49.427",235
"C8:14:79:31:3C:2A",1,-48,"10:51:49.516",4079
"C8:14:79:31:3C:2A",1,-46,"10:51:49.534",4080
"C8:14:79:31:3C:2A",1,-46,"10:51:49.539",4081
"C8:14:79:31:3C:2A",1,-51,"10:51:49.786",238
"C8:14:79:31:3C:2A",1,-50,"10:51:49.801",239
"C8:14:79:31:3C:2A",1,-49,"10:51:49.826",240
"C8:14:79:31:3C:2A",1,-50,"10:51:49.831",242
"C8:14:79:31:3C:2A",1,-50,"10:51:49.836",243
"C8:14:79:31:3C:2A",1,-51,"10:51:49.953",245
"C8:14:79:31:3C:2A",1,-51,"10:51:50.096",246
"C8:14:79:31:3C:2A",1,-50,"10:51:53.101",247
"C8:14:79:31:3C:2A",1,-50,"10:51:55.602",4094
"C8:14:79:31:3C:2A",1,-50,"10:51:57.246",249
"C8:14:79:31:3C:2A",1,-50,"10:51:57.335",250
"C8:14:79:31:3C:2A",1,-51,"10:51:57.533",251
"C8:14:79:31:3C:2A",1,-50,"10:51:57.771",254
"C8:14:79:31:3C:2A",1,-51,"10:51:57.813",255
"C8:14:79:31:3C:2A",1,-50,"10:51:58.085",256
"C8:14:79:31:3C:2A",1,-51,"10:51:58.138",257
"C8:14:79:31:3C:2A",1,-52,"10:51:59.943",258
"C8:14:79:31:3C:2A",1,-51,"10:52:00.197",259
"C8:14:79:31:3C:2A",1,-50,"10:52:00.422",260
"C8:14:79:31:3C:2A",1,-51,"10:52:01.253",261
"C8:14:79:31:3C:2A",1,-51,"10:52:01.443",262
"C8:14:79:31:3C:2A",1,-50,"10:52:01.720",263
"C8:14:79:31:3C:2A",1,-46,"10:52:03.674",4095
"C8:14:79:31:3C:2A",1,-46,"10:52:03.680",0
"C8:14:79:31:3C:2A",1,-50,"10:52:08.745",264
"C8:14:79:31:3C:2A",1,-51,"10:52:09.190",265
"C8:14:79:31:3C:2A",1,-51,"10:52:09.911",266
"C8:14:79:31:3C:2A",1,-50,"10:52:10.226",268
