"mac_address",rasp,rx,"timestamp",sn
"A0:CB:FD:EF:17:78",1,-84,"09:28:41.631",483
"A0:CB:FD:EF:17:78",1,-83,"09:28:43.762",1180
"A0:CB:FD:EF:17:78",1,-83,"09:29:20.977",1215
"A0:CB:FD:EF:17:78",1,-82,"09:29:20.984",1607
"A0:CB:FD:EF:17:78",1,-84,"09:29:51.060",1608
"A0:CB:FD:EF:17:78",1,-83,"09:30:22.367",1609
"A0:CB:FD:EF:17:78",1,-82,"09:30:55.596",1216
"A0:CB:FD:EF:17:78",1,-84,"09:31:21.993",1613
"A0:CB:FD:EF:17:78",1,-70,"09:31:52.108",1614
"A0:CB:FD:EF:17:78",1,-82,"09:32:22.456",1615
"A0:CB:FD:EF:17:78",1,-81,"09:32:40.697",1217
"A0:CB:FD:EF:17:78",1,-86,"09:32:41.183",1235
"A0:CB:FD:EF:17:78",1,-84,"09:32:41.362",1241
"A0:CB:FD:EF:17:78",1,-83,"09:32:41.384",1242
"A0:CB:FD:EF:17:78",1,-84,"09:32:41.421",1243
"A0:CB:FD:EF:17:78",1,-83,"09:32:41.444",1244
"A0:CB:FD:EF:17:78",1,-83,"09:32:41.507",1246
"A0:CB:FD:EF:17:78",1,-83,"09:32:41.542",1247
"A0:CB:FD:EF:17:78",1,-83,"09:32:41.567",1248
"A0:CB:FD:EF:17:78",1,-83,"09:32:41.579",1249
"A0:CB:FD:EF:17:78",1,-83,"09:32:41.622",1250
"A0:CB:FD:EF:17:78",1,-86,"09:32:42.551",1251
"A0:CB:FD:EF:17:78",1,-82,"09:32:44.356",560
"C8:14:79:31:3C:2A",1,-62,"09:28:09.603",2918
"C8:14:79:31:3C:2A",1,-66,"09:28:10.114",2919
"C8:14:79:31:3C:2A",1,-66,"09:28:10.884",2921
"C8:14:79:31:3C:2A",1,-62,"09:28:49.936",3770
"C8:14:79:31:3C:2A",1,-74,"09:28:50.555",3774
"C8:14:79:31:3C:2A",1,-61,"09:28:50.837",2923
"C8:14:79:31:3C:2A",1,-61,"09:29:07.528",2924
"C8:14:79:31:3C:2A",1,-60,"09:29:07.748",2925
"C8:14:79:31:3C:2A",1,-60,"09:29:08.060",2926
"C8:14:79:31:3C:2A",1,-75,"09:29:08.622",2927
"C8:14:79:31:3C:2A",1,-62,"09:29:08.981",2928
"C8:14:79:31:3C:2A",1,-77,"09:29:16.197",3822
"C8:14:79:31:3C:2A",1,-54,"09:29:17.510",3859
"C8:14:79:31:3C:2A",1,-53,"09:29:17.513",3860
"C8:14:79:31:3C:2A",1,-55,"09:29:17.535",3862
"C8:14:79:31:3C:2A",1,-53,"09:29:17.558",3863
"C8:14:79:31:3C:2A",1,-54,"09:29:17.578",3866
"C8:14:79:31:3C:2A",1,-58,"09:29:17.647",3867
