"mac_address",rasp,rx,"timestamp",sn
"A0:CB:FD:EF:17:78",1,-80,"09:15:51.166",1578
"A0:CB:FD:EF:17:78",1,-83,"09:17:21.156",1138
"A0:CB:FD:EF:17:78",1,-77,"09:18:21.062",1139
"A0:CB:FD:EF:17:78",1,-80,"09:18:25.655",434
"A0:CB:FD:EF:17:78",1,-81,"09:18:28.526",1140
"A0:CB:FD:EF:17:78",1,-81,"09:18:34.989",1141
"A0:CB:FD:EF:17:78",1,-81,"09:18:37.270",458
"A0:CB:FD:EF:17:78",1,-82,"09:18:51.188",1584
"A0:CB:FD:EF:17:78",1,-80,"09:19:20.991",1585
"EC:10:7B:A4:0B:A5",1,-86,"09:15:30.415",3319
"EC:10:7B:A4:0B:A5",1,-83,"09:15:30.468",3321
"EC:10:7B:A4:0B:A5",1,-83,"09:15:30.481",3322
"EC:10:7B:A4:0B:A5",1,-79,"09:15:40.496",3343
"EC:10:7B:A4:0B:A5",1,-86,"09:15:43.514",3361
"EC:10:7B:A4:0B:A5",1,-82,"09:15:43.705",3366
"C8:14:79:31:3C:2A",1,-67,"09:14:52.503",2607
"C8:14:79:31:3C:2A",1,-66,"09:14:52.524",2608
"C8:14:79:31:3C:2A",1,-65,"09:14:52.810",2609
"C8:14:79:31:3C:2A",1,-66,"09:14:54.713",2610
"C8:14:79:31:3C:2A",1,-65,"09:15:01.083",2611
"C8:14:79:31:3C:2A",1,-77,"09:15:01.103",2612
"C8:14:79:31:3C:2A",1,-64,"09:15:01.438",2613
"C8:14:79:31:3C:2A",1,-65,"09:15:26.871",2614
"C8:14:79:31:3C:2A",1,-64,"09:15:27.225",2615
"C8:14:79:31:3C:2A",1,-63,"09:15:51.150",2616
"C8:14:79:31:3C:2A",1,-62,"09:15:52.092",2617
"C8:14:79:31:3C:2A",1,-62,"09:15:52.174",2618
"C8:14:79:31:3C:2A",1,-62,"09:15:52.409",2619
"C8:14:79:31:3C:2A",1,-62,"09:15:54.397",3644
"C8:14:79:31:3C:2A",1,-63,"09:16:20.968",2621
"C8:14:79:31:3C:2A",1,-63,"09:16:49.797",3645
"C8:14:79:31:3C:2A",1,-67,"09:17:19.648",2622
"C8:14:79:31:3C:2A",1,-66,"09:17:19.667",2623
"C8:14:79:31:3C:2A",1,-66,"09:17:19.957",2624
"C8:14:79:31:3C:2A",1,-68,"09:17:20.267",2625
