"rssi","rx","distance"
0,-54,"01"
0,-55,"01"
0,-50,"01"
0,-52,"01"
0,-51,"01"
0,-53,"01"
0,-56,"01"
-2,-51,"01"
-2,-50,"01"
-2,-52,"01"
-2,-53,"01"
-2,-55,"01"
0,-64,"01"
0,-57,"01"
0,-72,"01"
0,-62,"01"
0,-73,"01"
0,-59,"01"
0,-58,"01"
0,-60,"01"
0,-49,"01"
0,-71,"01"
0,-77,"01"
0,-58,"02"
0,-57,"02"
0,-59,"02"
0,-54,"02"
0,-55,"02"
0,-68,"02"
0,-60,"02"
0,-53,"02"
0,-70,"02"
0,-56,"02"
0,-75,"02"
0,-65,"02"
0,-66,"02"
0,-63,"02"
0,-73,"02"
0,-61,"02"
0,-62,"02"
0,-69,"02"
0,-79,"02"
-1,-60,"02"
-1,-59,"02"
-1,-58,"02"
-1,-53,"02"
-1,-54,"02"
-1,-55,"02"
-1,-56,"02"
0,-52,"02"
0,-51,"02"
0,-64,"02"
0,-65,"03"
0,-66,"03"
0,-64,"03"
0,-67,"03"
0,-83,"03"
0,-72,"03"
-2,-64,"03"
-2,-66,"03"
-2,-63,"03"
-2,-65,"03"
-2,-79,"03"
-5,-63,"03"
-5,-66,"03"
-5,-65,"03"
-1,-67,"03"
-1,-64,"03"
-1,-65,"03"
0,-81,"03"
0,-63,"03"
-5,-64,"03"
0,-58,"03"
0,-76,"03"
-3,-64,"03"
-3,-65,"03"
0,-71,"03"
0,-61,"03"
0,-62,"03"
-1,-63,"03"
-1,-66,"03"
-1,-68,"03"
-3,-67,"03"
-3,-66,"03"
0,-59,"03"
0,-60,"03"
0,-56,"03"
0,-68,"03"
-2,-69,"04"
-2,-67,"04"
-2,-70,"04"
-3,-68,"04"
-3,-69,"04"
-3,-67,"04"
-3,-70,"04"
-3,-76,"04"
-3,-66,"04"
-3,-64,"04"
-3,-62,"04"
-6,-67,"04"
-6,-68,"04"
0,-69,"04"
0,-67,"04"
0,-68,"04"
-1,-68,"04"
-1,-67,"04"
-1,-63,"04"
-1,-70,"04"
-1,-71,"04"
-1,-69,"04"
-1,-64,"04"
0,-66,"04"
0,-71,"04"
0,-70,"04"
-2,-63,"04"
-2,-68,"04"
0,-62,"04"
0,-63,"04"
-1,-62,"04"
-6,-65,"04"
-6,-71,"04"
-6,-69,"04"
-6,-70,"04"
-6,-72,"04"
-7,-70,"04"
-7,-68,"04"
-7,-64,"04"
-7,-63,"04"
-7,-65,"04"
-7,-71,"04"
-4,-68,"04"
-4,-69,"04"
-4,-64,"04"
-4,-63,"04"
-4,-62,"04"
-4,-70,"04"
-3,-63,"04"
-3,-65,"04"
-3,-72,"04"
-2,-71,"04"
-1,-77,"04"
-1,-72,"04"
-4,-72,"04"
-4,-65,"04"
