"rssi","rx","distance"
0,-50,"01"
0,-51,"01"
0,-52,"01"
0,-53,"01"
0,-54,"01"
0,-60,"01"
0,-65,"01"
0,-61,"01"
0,-49,"01"
0,-68,"01"
0,-56,"01"
0,-77,"01"
0,-59,"01"
0,-58,"01"
0,-62,"01"
0,-70,"01"
0,-55,"01"
0,-66,"01"
0,-48,"01"
-2,-56,"02"
-2,-57,"02"
-2,-58,"02"
-5,-57,"02"
-5,-59,"02"
-5,-58,"02"
-3,-58,"02"
0,-58,"02"
0,-57,"02"
0,-59,"02"
0,-56,"02"
-1,-56,"02"
-1,-57,"02"
-10,-56,"02"
-10,-57,"02"
-10,-55,"02"
-10,-54,"02"
-11,-57,"02"
-11,-56,"02"
0,-61,"02"
-1,-58,"02"
-1,-60,"02"
-3,-57,"02"
-4,-56,"02"
-4,-60,"02"
-4,-59,"02"
-4,-61,"02"
-4,-66,"02"
-4,-57,"02"
-4,-58,"02"
0,-55,"02"
-7,-57,"02"
-7,-56,"02"
0,-54,"02"
-6,-56,"02"
-6,-57,"02"
-6,-60,"02"
-3,-56,"02"
-13,-64,"03"
-13,-63,"03"
-13,-62,"03"
-14,-63,"03"
-14,-62,"03"
-14,-64,"03"
-13,-70,"03"
-13,-61,"03"
-16,-63,"03"
-16,-59,"03"
-16,-64,"03"
-16,-65,"03"
-16,-62,"03"
-16,-80,"03"
-15,-63,"03"
-15,-64,"03"
-15,-62,"03"
-14,-61,"03"
-14,-60,"03"
-17,-61,"03"
-17,-65,"03"
-17,-63,"03"
-17,-60,"03"
-17,-62,"03"
-17,-64,"03"
-13,-60,"03"
-13,-66,"03"
-13,-65,"03"
-15,-61,"03"
-15,-65,"03"
-15,-66,"03"
-15,-60,"03"
-15,-59,"03"
-15,-80,"03"
-14,-59,"03"
-14,-66,"03"
-14,-77,"03"
-14,-65,"03"
-15,-67,"03"
-12,-62,"03"
-12,-63,"03"
-13,-69,"03"
-14,-74,"03"
-17,-59,"03"
-17,-77,"03"
-17,-58,"03"
-14,-68,"03"
-10,-62,"03"
-16,-60,"03"
-16,-66,"03"
-13,-59,"03"
-12,-59,"03"
-12,-61,"03"
-12,-60,"03"
-14,-67,"03"
-16,-61,"03"
-15,-69,"03"
-16,-72,"03"
-16,-58,"03"
-14,-78,"03"
-14,-58,"03"
-13,-67,"03"
-13,-68,"03"
-13,-58,"03"
-15,-58,"03"
-11,-61,"03"
-11,-62,"03"
-11,-59,"03"
-11,-60,"03"
-11,-63,"03"
-11,-66,"03"
-11,-65,"03"
-12,-66,"03"
-12,-65,"03"
-12,-68,"03"
-17,-67,"03"
-12,-64,"03"
-15,-68,"03"
-16,-67,"03"
-15,-73,"03"
-16,-73,"03"
-16,-68,"03"
-12,-67,"03"
-15,-78,"03"
-12,-75,"03"
-12,-70,"03"
-15,-84,"03"
-9,-65,"04"
-9,-64,"04"
-10,-64,"04"
-10,-65,"04"
-13,-64,"04"
-13,-65,"04"
-12,-64,"04"
-12,-77,"04"
-12,-65,"04"
-12,-61,"04"
-12,-60,"04"
-11,-65,"04"
-18,-65,"04"
-18,-63,"04"
-18,-64,"04"
-13,-66,"04"
-13,-73,"04"
-13,-67,"04"
-11,-64,"04"
-12,-84,"04"
-12,-75,"04"
-13,-63,"04"
-15,-65,"04"
-15,-62,"04"
-15,-64,"04"
-15,-63,"04"
-14,-65,"04"
-14,-64,"04"
-12,-66,"04"
-8,-65,"04"
-8,-64,"04"
-8,-66,"04"
-14,-66,"04"
-13,-60,"04"
-13,-61,"04"
-14,-73,"04"
-11,-73,"04"
-11,-61,"04"
-11,-60,"04"
-11,-63,"04"
-12,-63,"04"
-13,-69,"04"
-11,-62,"04"
-16,-65,"04"
-11,-66,"04"
-13,-77,"04"
-9,-66,"04"
-8,-78,"04"
-8,-74,"04"
-15,-61,"04"
-9,-67,"05"
-9,-68,"05"
-13,-68,"05"
-7,-68,"05"
-7,-67,"05"
-11,-67,"05"
-8,-68,"05"
-8,-69,"05"
-8,-67,"05"
-10,-68,"05"
-8,-71,"05"
-10,-70,"05"
-10,-71,"05"
-10,-64,"05"
-10,-67,"05"
-7,-64,"05"
-7,-65,"05"
-7,-66,"05"
-12,-67,"05"
-7,-71,"05"
-7,-70,"05"
-7,-69,"05"
-12,-68,"05"
-12,-69,"05"
-10,-65,"05"
-12,-66,"05"
-11,-68,"05"
-11,-71,"05"
-11,-69,"05"
-9,-66,"05"
-12,-63,"05"
-12,-74,"05"
-10,-66,"05"
-10,-69,"05"
-14,-71,"05"
-14,-69,"05"
-14,-74,"05"
-14,-67,"05"
-9,-70,"05"
-9,-64,"05"
-12,-71,"05"
-8,-66,"05"
-11,-65,"05"
-9,-69,"05"
-6,-67,"05"
-6,-68,"05"
-7,-63,"05"
-7,-62,"05"
-11,-66,"05"
-9,-65,"05"
-8,-65,"05"
-28,-73,"08"
-25,-80,"08"
-25,-81,"08"
-22,-88,"09"
