"rasp1","rasp2","rasp3","rasp4","rasp5","rasp6","location"
-62.537037037037,-64.1388888888889,-82.1759259259259,-92.1574074074074,-77.25,-73.8824,1.1
-66.1860465116279,-66.3488372093023,-75.8604651162791,-86.4186046511628,-77.9655,-78.8796,1.2
-65.0666666666667,-61.3333333333333,-80.4,-86.5333333333333,-70.5494,-79.5063,1.3
-71.02,-50.5,-74.46,-78.56,-72.6087,-72.5161,1.4
-74.1875,-48.65625,-84.765625,-83.359375,-70.1,-75.5263,1.5
-64.458041958042,-68.2832167832168,-81.4335664335664,-90.6783216783217,-70.375,-66.8889,2.1
-58.1279069767442,-70.7325581395349,-83.9127906976744,-86.2558139534884,-70.9565,-61.5608,2.2
-59.5,-62.3333333333333,-72.3333333333333,-90,-77.7143,-62,2.3
-67.1181818181818,-52.1272727272727,-67.2090909090909,-74.4090909090909,-70.6154,-55.9074,2.4
-67.7647058823529,-50.3725490196078,-92.4705882352941,-85.7058823529412,-70.8,-64.4,2.5
-69.8974358974359,-72.4017094017094,-83.042735042735,-88.3076923076923,-80.2667,-73.375,3.1
-56.8629032258064,-64.3064516129032,-75.1209677419355,-78.4596774193548,-58.8874,-64.3077,3.2
-68.4472049689441,-56.3105590062112,-79.6273291925466,-77.9254658385093,-56.0145,-64.9701,3.3
-77.0123456790123,-61.4012345679012,-65.7407407407407,-78.7654320987654,-70.3889,-61.4138,3.4
-80.7530864197531,-70.3827160493827,-78.9876543209877,-88.9876543209877,-67.7228,-70.9458,3.5
-77.0123966942149,-72.1136363636364,-87.5392561983471,-89.1735537190083,-67.5442,-80.0456,4.1
-66.9795918367347,-73.3265306122449,-75.2040816326531,-76.6938775510204,-48.6733,-67.6952,4.2
-70,-71.3809523809524,-67.4761904761905,-79.1904761904762,-55.6619,-63.3842,4.3
-71.87,-63.14,-73.79,-85.71,-65.4518,-67.1214,4.4
-77.2962962962963,-72.1666666666667,-77.6481481481482,-86.1481481481482,-62.1143,-69.4385,4.5
-82.4561403508772,-67.4912280701754,-85.719298245614,-82.5614035087719,-63.9764,-74.3037,5.1
-69.2790697674419,-66.5813953488372,-67.2325581395349,-73.6279069767442,-58.9348,-68.6842,5.2
-70.3896713615024,-67.093896713615,-73.2769953051643,-86.5845070422535,-30,-67.3774,5.3
-67.4,-70.1545454545455,-74.5727272727273,-74.6636363636364,-52.1053,-70.8889,5.4
-70.5142857142857,-68.1142857142857,-75.2714285714286,-77.6857142857143,-64.3871,-74.5455,5.5
-70,-72,-80,-77.5,-72.1429,-74.4444,6.1
-74.8149606299213,-69.4645669291339,-79.8818897637795,-86.9724409448819,-68.8769,-62.6883,6.2
-74.1884057971015,-75.5,-77.0434782608696,-84.8478260869565,-48.0556,-59.9254,6.3
-79.4761904761905,-74.9761904761905,-76.1904761904762,-79.1666666666667,-64.1,-64.25,6.4
-71.42,-72.0466666666667,-77.5666666666667,-77.82,-67.9889,-72.6968,6.5
-75.1428571428571,-79.7857142857143,-81.5,-73.3571428571429,-74.03,-62.9121,7.1
-78.6415094339623,-68.9937106918239,-78.4276729559748,-74.6163522012579,-65.6364,-67.7273,7.2
-80.6969696969697,-78.030303030303,-63.969696969697,-77.3636363636364,-63.4848,-58.3333,7.3
-74.4782608695652,-76.195652173913,-66.3913043478261,-76.5434782608696,-62.7215,-67.8824,7.4
-78,-72.5,-72,-81.5,-68.5833,-60.8,7.5
-83.983606557377,-77.327868852459,-74.5081967213115,-74.3196721311475,-83.0667,-59.5833,8.1
-73.5643564356436,-71.7821782178218,-72.9372937293729,-72.6468646864686,-63.316,-64.6426,8.2
-86.3333333333333,-73.625,-71.1666666666667,-78.0208333333333,-74.0833,-38.4167,8.3
-67.8796992481203,-79.0852130325814,-61.8421052631579,-71.280701754386,-75.7527,-51.4555,8.4
-74.0110253583241,-82.5920617420066,-74.5457552370452,-82.9393605292172,-65.125,-63,8.5
-88.7536231884058,-81.768115942029,-75.695652173913,-68.7536231884058,-75.8607,-70.6512,9.1
-80.9323076923077,-78.3569230769231,-69.1123076923077,-69.0876923076923,-65.4545,-54.1667,9.2
-77.8575129533679,-75.9041450777202,-71.2124352331606,-69.1761658031088,-71.8194,-46.1304,9.3
-76.9620853080569,-79.3744075829384,-77.7109004739336,-75.2085308056872,-68.7417,-50.2255,9.4
-77.3684210526316,-79.6842105263158,-68.9473684210526,-77.2631578947368,-65.5,-58.8182,9.5
-84,-86.0322580645161,-75.4516129032258,-54.0967741935484,-75.5385,-67.2269,10.1
-81.25,-74.825,-64.5,-68.65,-77.125,-54.8,10.2
-72.6666666666667,-86,-63.3333333333333,-69.6666666666667,-64.9773,-50.7,10.3
-72.4931506849315,-84.986301369863,-63.3013698630137,-74.2054794520548,-67.994,-63.1585,10.4
-80.9748427672956,-80.9433962264151,-53.1572327044025,-75.2389937106918,-77.6071,-57.4444,10.5
