"rasp1","rasp2","rasp3","rasp4","rasp5","rasp6","location"
0.0814,-11.9459,-4.3409,-17.6418,-16.8125,-1.5165,1.1
-1.1184,-10.6988,-15.7179,-20,-15.1134,-2.45,1.2
-1.8293,-3.069,-10.7241,-12.6456,-17.8452,-6.2121,1.3
-1.0357,-0.0588,-6.7561,-9.5161,-23.7206,-9.0899,1.4
-5.05,8.0732,-11.3563,-7.0833,-16,-7.9655,1.5
-19.3125,-17.6588,-0.0615,4.561,-15.4227,-2.9175,10.1
-11.1493,-15.3857,-9.8737,-0.0548,-14.2188,-0.6316,10.2
-11.5217,-12.4416,-1.9643,-8.0854,-21.0435,-0.6667,10.3
-1.2025,-12.8806,0,-4.5227,-17.5758,-0.0851,10.4
-10.6277,-13.8333,0,-7.8267,-13.5644,-1.5283,10.5
-1.8442,-10.3721,-4.1923,-20.375,-20.1196,-5.2688,2.1
-4.5556,-6.5405,-7.2174,-13.3553,-8.6613,-6.2525,2.2
-8.7234,-8.8295,-9.7931,-15.175,-6.9886,-6.0108,2.3
-7.8395,0,-8.1412,-17.0313,-14.3918,-4.6526,2.4
-9.5854,0,-20.5417,-10.4156,-13.1563,-4.6087,2.5
-0.0988,-4.6667,-11.9688,-19.0909,-6.9694,-1.3776,3.1
-1.1354,-4.8068,-7.5432,-18.3226,-2.1979,-1.7204,3.2
-7.0341,-1.5476,-12.7011,-15.9697,-3.0928,-8.5181,3.3
-7.6633,-1.3951,-0.5172,-11.3448,-5.3085,-5.25,3.4
-20.4639,-0.5644,-11.6279,-17.3061,-4.7234,-5.1685,3.5
-5.4337,-16.7586,-7.3143,-12.4898,-17.3895,-8.9608,4.1
-0.7976,-5.8202,-17.4239,-12.9425,-0.9192,-1.7253,4.2
-12.9451,-17.8659,-7.9634,-15.4474,0.17,-4.4688,4.3
-1.4884,-3.8276,-6.2065,-12.5926,-0.163,-1.3039,4.4
-5.0972,-3.1538,-10.1558,-10.6196,-12.6264,-1.8021,4.5
-12.9873,-8.7273,-6.4384,-7.0179,-8.4891,-3.1978,5.1
-6.1824,-7.6935,-9.381,-11.4033,-4.1714,-8.1277,5.2
-13.8438,-3.1786,-4.6506,-8.5301,0,-1.0891,5.3
-5.12,-1.6286,-10.971,-12.4079,-2.9111,-2.0421,5.4
-15.9231,-1.3977,-1.881,-12.0106,-7.2475,-1.6915,5.5
-17.7895,-16.1667,-13.4868,-6.7183,-17.7041,-5.2211,6.1
-0.0471,-7.2917,-9.7619,-16.8152,-10.1758,-1.0417,6.2
-1.5682,-6.0632,-5.025,-12.2692,-8.7475,-0.9891,6.3
-2.7625,-10.7191,-6.4815,-9.6145,-15.4063,-0.4848,6.4
-13.1216,-3.9059,-5.0435,-8.9839,-11.79,-5.3152,6.5
-12.3605,-17.0918,-14.6023,-11.6786,-21.0625,-4.234,7.1
-17.3812,-19.8229,-3.9681,-0.3533,-19.78,-4.5591,7.2
-13.8169,-16.3563,-2.0674,-0.2614,-16.1935,3.0583,7.3
-18.4778,-8.7467,-6.7821,-15.1163,-9.7209,-0.046,7.4
-14.1212,-5.5301,-2.3222,-7.8333,-23.6548,0,7.5
-18.2371,-7.6429,-7.8642,-1.0225,-15.8061,-0.1505,8.1
-5.5333,-17.086,-3.7432,-0.0213,-14.4848,-6.1915,8.2
-6.4103,-14.837,-3.6897,-6.2759,-16.2464,-1.1613,8.3
-0.7976,-7.2706,-0.6711,-12.0426,-10.5208,-0.766,8.4
-8.1075,-11.0435,-0.1149,-2.4468,-20.8281,-1.8434,8.5
-19.7083,-6,-11.0115,-2.4271,-21.567,-8.732,9.1
-14.3788,-17.4941,-2.8861,-2.8056,-15.4167,-6.7778,9.2
-7.0625,-17.0106,-6.8523,-0.314,-19.0794,0,9.3
-7.414,-17.0839,-0.0241,-8.1939,-14.575,-0.0106,9.4
-3.9063,-9.7391,-1.9701,-8.9326,-22.5567,0,9.5
