"rasp6","location"
-73.8824,1.1
-78.8796,1.2
-79.5063,1.3
-72.5161,1.4
-75.5263,1.5
-66.8889,10.1
-61.5608,10.2
-62.0000,10.3
-55.9074,10.4
-64.4000,10.5
-73.3750,2.1
-64.3077,2.2
-64.9701,2.3
-61.4138,2.4
-70.9458,2.5
-80.0456,3.1
-67.6952,3.2
-63.3842,3.3
-67.1214,3.4
-69.4385,3.5
-74.3037,4.1
-68.6842,4.2
-67.3774,4.3
-70.8889,4.4
-74.5455,4.5
-74.4444,5.1
-62.6883,5.2
-59.9254,5.3
-64.2500,5.4
-72.6968,5.5
-62.9121,6.1
-67.7273,6.2
-58.3333,6.3
-67.8824,6.4
-60.8000,6.5
-59.5833,7.1
-64.6426,7.2
-38.4167,7.3
-51.4555,7.4
-63.0000,7.5
-70.6512,8.1
-54.1667,8.2
-46.1304,8.3
-50.2255,8.4
-58.8182,8.5
-67.2269,9.1
-54.8000,9.2
-50.7000,9.3
-63.1585,9.4
-57.4444,9.5
