"rasp5","location"
-64.0205,1.1
-72.3161,1.2
-70.1093,1.3
-65.9663,1.4
-66.6478,1.5
-80.3602,10.1
-64.4859,10.2
-72.1860,10.3
-71.4988,10.4
-67.3915,10.5
-64.6326,2.1
-70.9544,2.2
-61.3634,2.3
-60.8571,2.4
-59.4557,2.5
-68.9160,3.1
-68.6448,3.2
-55.7286,3.3
-56.8321,3.4
-62.0478,3.5
-56.8683,4.1
-56.0635,4.2
-24.5806,4.3
-50.0706,4.4
-71.8945,4.5
-63.1524,5.1
-65.6167,5.2
-48.3062,5.3
-56.4954,5.4
-58.8093,5.5
-74.0116,6.1
-64.2246,6.2
-57.3172,6.3
-60.0065,6.4
-58.4034,6.5
-68.8004,7.1
-71.6591,7.2
-73.7143,7.3
-64.9628,7.4
-66.4183,7.5
-66.7064,8.1
-76.8178,8.2
-71.8244,8.3
-69.0959,8.4
-64.2850,8.5
-65.5594,9.1
-71.8600,9.2
-68.5088,9.3
-74.8046,9.4
-66.5281,9.5
