"rasp6","location"
-10.1310,1.1
-4.6882,1.2
-7.4231,1.3
-5.6882,1.4
-12.9394,1.5
-7.2824,10.1
-4.0396,10.2
-8.2447,10.3
-6.8427,10.4
-5.0294,10.5
-8.5789,2.1
-8.8571,2.2
-13.4091,2.3
-3.8725,2.4
-9.7200,2.5
-11.1319,3.1
-9.8300,3.2
-12.8090,3.3
-2.6429,3.4
-16.7766,3.5
-8.1772,4.1
-10.3269,4.2
-13.1290,4.3
-10.7831,4.4
-9.5647,4.5
-10.5889,5.1
-10.2667,5.2
-1.7527,5.3
-6.3878,5.4
-10.8980,5.5
-5.8557,6.1
-5.9877,6.2
-0.0505,6.3
-0.5000,6.4
-4.3069,6.5
-1.8506,7.1
-0.0814,7.2
0.0000,7.3
-0.3294,7.4
-0.0200,7.5
-2.1354,8.1
-0.3295,8.2
4.2927,8.3
-0.0108,8.4
-1.3711,8.5
-8.9579,9.1
-5.3077,9.2
0.0000,9.3
-3.0698,9.4
-2.7961,9.5
