"rasp2","location"
-63.3000,1.1
-57.3140,1.2
-63.3881,1.3
-47.3214,1.4
-42.2903,1.5
-76.4000,10.1
-66.4000,10.2
-71.7143,10.3
-78.5249,10.4
-77.1267,10.5
-63.8150,2.1
-67.0175,2.2
-63.1834,2.3
-55.3846,2.4
-48.9415,2.5
-70.6462,3.1
-63.4231,3.2
-59.0000,3.3
-63.1747,3.4
-64.2814,3.5
-67.9171,4.1
-70.9646,4.2
-71.8000,4.3
-74.6516,4.4
-68.7305,4.5
-68.3913,5.1
-65.5111,5.2
-70.5909,5.3
-65.3536,5.4
-65.3271,5.5
-70.3297,6.1
-65.5000,6.2
-71.7913,6.3
-68.4458,6.4
-69.2778,6.5
-63.8889,7.1
-70.6238,7.2
-77.0000,7.3
-75.8154,7.4
-71.9510,7.5
-74.7691,8.1
-66.4132,8.2
-71.9782,8.3
-73.6087,8.4
-73.5833,8.5
-75.6167,9.1
-73.1745,9.2
-72.1267,9.3
-68.8285,9.4
-76.3532,9.5
