rasp1,rasp2,rasp3,rasp4,"location"
-84,-77,-74,-74,"8.1"
-83,-79,-73,-74,"8.1"
-84,-76,-74,-75,"8.1"
-84,-76,-74,-74,"8.1"
-84,-77,-75,-74,"8.1"
-83,-83,-74,-73,"8.1"
-84,-78,-75,-76,"8.1"
-85,-77,-74,-75,"8.1"
-83,-77,-75,-74,"8.1"
-85,-77,-75,-76,"8.1"
-84,-78,-75,-78,"8.1"
-86,-76,-75,-74,"8.1"
-85,-78,-76,-72,"8.1"
-85,-78,-75,-73,"8.1"
-86,-77,-75,-73,"8.1"
-85,-77,-76,-74,"8.1"
-82,-76,-75,-73,"8.1"
-83,-77,-76,-73,"8.1"
-83,-77,-76,-73,"8.1"
-84,-75,-74,-74,"8.1"
-83,-77,-75,-76,"8.1"
-83,-77,-74,-74,"8.1"
-85,-78,-75,-76,"8.1"
-86,-76,-74,-73,"8.1"
-84,-77,-74,-73,"8.1"
-85,-77,-74,-77,"8.1"
-84,-76,-74,-82,"8.1"
-86,-76,-74,-74,"8.1"
-86,-79,-76,-76,"8.1"
-84,-78,-73,-73,"8.1"
-85,-77,-76,-74,"8.1"
-85,-78,-74,-75,"8.1"
-83,-78,-75,-73,"8.1"
-84,-78,-76,-77,"8.1"
-85,-76,-74,-74,"8.1"
-84,-77,-62,-74,"8.1"
-83,-77,-75,-73,"8.1"
-84,-79,-75,-75,"8.1"
-83,-78,-75,-75,"8.1"
-83,-77,-76,-74,"8.1"
-85,-76,-74,-73,"8.1"
-86,-78,-74,-75,"8.1"
-86,-76,-75,-75,"8.1"
-85,-78,-74,-74,"8.1"
-83,-77,-74,-74,"8.1"
-85,-77,-73,-75,"8.1"
-83,-77,-74,-73,"8.1"
-84,-78,-74,-74,"8.1"
-84,-77,-74,-74,"8.1"
-84,-78,-74,-76,"8.1"
-84,-77,-73,-72,"8.1"
-84,-76,-75,-73,"8.1"
-85,-76,-75,-74,"8.1"
-84,-79,-74,-76,"8.1"
-82,-78,-75,-73,"8.1"
-85,-77,-74,-74,"8.1"
-83,-77,-75,-74,"8.1"
-82,-79,-74,-75,"8.1"
-82,-78,-74,-74,"8.1"
-85,-77,-75,-77,"8.1"
-82,-77,-76,-73,"8.1"
-83,-78,-73,-74,"8.1"
-82,-76,-74,-72,"8.1"
-82,-77,-74,-73,"8.1"
-83,-78,-75,-74,"8.1"
-83,-78,-73,-73,"8.1"
-83,-78,-73,-74,"8.1"
-83,-76,-74,-73,"8.1"
-84,-78,-74,-74,"8.1"
-84,-76,-74,-76,"8.1"
-85,-79,-74,-75,"8.1"
-83,-77,-76,-76,"8.1"
-84,-79,-74,-75,"8.1"
-83,-77,-73,-73,"8.1"
-84,-78,-74,-74,"8.1"
-84,-76,-74,-80,"8.1"
-85,-79,-75,-74,"8.1"
-84,-76,-74,-74,"8.1"
-85,-77,-76,-73,"8.1"
-83,-77,-76,-74,"8.1"
-83,-75,-74,-73,"8.1"
-86,-78,-74,-74,"8.1"
-85,-91,-74,-73,"8.1"
-84,-77,-75,-82,"8.1"
-85,-78,-75,-83,"8.1"
-84,-77,-75,-73,"8.1"
-85,-76,-75,-74,"8.1"
-84,-77,-74,-74,"8.1"
-84,-76,-74,-74,"8.1"
-85,-76,-75,-75,"8.1"
-83,-77,-74,-73,"8.1"
-85,-77,-75,-74,"8.1"
-84,-76,-74,-74,"8.1"
-84,-78,-75,-74,"8.1"
-83,-76,-79,-74,"8.1"
-85,-76,-74,-73,"8.1"
-85,-78,-74,-73,"8.1"
-86,-78,-75,-73,"8.1"
-84,-76,-74,-76,"8.1"
-83,-79,-75,-73,"8.1"
-84,-78,-74,-74,"8.1"
-82,-76,-82,-73,"8.1"
-82,-79,-77,-74,"8.1"
-87,-79,-76,-74,"8.1"
-83,-77,-74,-73,"8.1"
-85,-78,-74,-75,"8.1"
-82,-79,-74,-73,"8.1"
-84,-76,-74,-76,"8.1"
-84,-76,-74,-73,"8.1"
-86,-76,-74,-74,"8.1"
-82,-77,-74,-74,"8.1"
-83,-76,-75,-74,"8.1"
-86,-75,-76,-74,"8.1"
-82,-77,-74,-73,"8.1"
-83,-77,-63,-73,"8.1"
-84,-79,-75,-73,"8.1"
-83,-76,-88,-76,"8.1"
-83,-77,-74,-74,"8.1"
-85,-78,-75,-74,"8.1"
-84,-76,-74,-76,"8.1"
-85,-79,-74,-73,"8.1"
-83,-76,-74,-73,"8.1"
-70,-69,-70,-70,"8.2"
-70,-68,-68,-70,"8.2"
-69,-69,-69,-68,"8.2"
-70,-67,-69,-70,"8.2"
-70,-70,-69,-69,"8.2"
-70,-69,-68,-69,"8.2"
-70,-68,-71,-68,"8.2"
-71,-69,-70,-68,"8.2"
-70,-69,-70,-69,"8.2"
-72,-69,-69,-68,"8.2"
-71,-68,-68,-68,"8.2"
-70,-69,-69,-69,"8.2"
-70,-71,-70,-68,"8.2"
-70,-69,-69,-70,"8.2"
-69,-68,-69,-68,"8.2"
-71,-67,-69,-69,"8.2"
-70,-68,-71,-70,"8.2"
-71,-70,-70,-84,"8.2"
-70,-68,-73,-68,"8.2"
-70,-82,-71,-69,"8.2"
-70,-68,-71,-69,"8.2"
-70,-70,-72,-68,"8.2"
-70,-69,-72,-68,"8.2"
-70,-69,-71,-68,"8.2"
