rasp1,rasp2,rasp3,rasp4,"location"
0,-11,0,-21,"1.1"
0,-8,-5,-20,"1.1"
0,-10,-1,-17,"1.1"
0,-10,0,-14,"1.1"
0,-15,-6,-23,"1.1"
0,-11,-1,-15,"1.1"
0,-14,0,-15,"1.1"
0,-11,0,-17,"1.1"
0,-13,-5,-16,"1.1"
0,-10,-1,-17,"1.1"
0,-14,-12,-12,"1.1"
0,-20,-1,-16,"1.1"
0,-14,0,-19,"1.1"
0,-14,-7,-26,"1.1"
0,-10,-6,-23,"1.1"
0,-12,-2,-14,"1.1"
0,-10,-5,-18,"1.1"
0,-9,-3,-20,"1.1"
0,-8,0,-16,"1.1"
0,-15,-8,-16,"1.1"
0,-12,-4,-13,"1.1"
0,-15,0,-17,"1.1"
0,-10,0,-14,"1.1"
0,-14,-5,-15,"1.1"
0,-9,0,-17,"1.1"
0,-10,-3,-17,"1.1"
0,-16,0,-14,"1.1"
0,-15,-5,-21,"1.1"
0,-14,0,-17,"1.1"
-3,-9,-13,-15,"1.2"
0,-13,-11,-15,"1.2"
0,-9,-17,-18,"1.2"
-3,-11,-10,-19,"1.2"
-3,-8,-10,-22,"1.2"
-4,-10,-16,-16,"1.2"
0,-14,-13,-14,"1.2"
0,-8,-13,-24,"1.2"
-1,-13,-10,-23,"1.2"
0,-11,-17,-22,"1.2"
-1,-7,-23,-11,"1.2"
-1,-17,-13,-20,"1.2"
-1,-8,-8,-14,"1.2"
0,-10,-14,-14,"1.2"
0,-11,-11,-22,"1.2"
-1,-15,-19,-17,"1.2"
0,-10,-15,-23,"1.2"
0,-11,-11,-14,"1.2"
-4,-10,-16,-24,"1.2"
-2,-15,-16,-17,"1.2"
0,-8,-13,-19,"1.2"
-5,-7,-15,-23,"1.2"
0,-12,-16,-17,"1.2"
0,-9,-18,-21,"1.2"
0,-13,-15,-19,"1.2"
-1,-7,-22,-22,"1.2"
0,-10,-18,-23,"1.2"
0,-7,-12,-23,"1.2"
0,-8,-18,-25,"1.2"
0,-17,-10,-21,"1.2"
0,-7,-15,-20,"1.2"
0,-14,-15,-22,"1.2"
0,-9,-14,-12,"1.2"
0,-2,-6,-12,"1.3"
-4,-6,-11,-14,"1.3"
0,-3,-11,-7,"1.3"
0,-4,-12,-8,"1.3"
-3,-7,-14,-8,"1.3"
0,-5,-18,-13,"1.3"
-1,0,-12,-9,"1.3"
-5,-1,-14,-20,"1.3"
-7,-2,-12,-12,"1.3"
-6,-7,-8,-9,"1.3"
0,-2,-12,-8,"1.3"
-3,0,-6,-8,"1.3"
-2,-1,-13,-13,"1.3"
-3,-7,-9,-8,"1.3"
-2,-2,-6,-14,"1.3"
0,-1,-11,-10,"1.3"
-2,-3,-12,-13,"1.3"
-7,-1,-14,-11,"1.3"
-1,-2,-7,-13,"1.3"
-4,-4,-15,-9,"1.3"
-2,0,-13,-14,"1.3"
-3,0,-15,-14,"1.3"
-3,-6,-6,-11,"1.3"
0,-2,-10,-7,"1.3"
0,-2,-12,-13,"1.3"
0,-2,-12,-11,"1.3"
-2,-1,-11,-9,"1.3"
0,-4,-14,-10,"1.3"
0,-4,-12,-8,"1.3"
0,-5,-11,-15,"1.3"
-1,-6,-13,-20,"1.3"
-4,-1,-7,-22,"1.3"
-1,-5,-11,-7,"1.3"
