"rasp4","location"
-17.6418,1.1
-20.0000,1.2
-12.6456,1.3
-9.5161,1.4
-7.0833,1.5
4.5610,10.1
-0.0548,10.2
-8.0854,10.3
-4.5227,10.4
-7.8267,10.5
-20.3750,2.1
-13.3553,2.2
-15.1750,2.3
-17.0313,2.4
-10.4156,2.5
-19.0909,3.1
-18.3226,3.2
-15.9697,3.3
-11.3448,3.4
-17.3061,3.5
-12.4898,4.1
-12.9425,4.2
-15.4474,4.3
-12.5926,4.4
-10.6196,4.5
-7.0179,5.1
-11.4033,5.2
-8.5301,5.3
-12.4079,5.4
-12.0106,5.5
-6.7183,6.1
-16.8152,6.2
-12.2692,6.3
-9.6145,6.4
-8.9839,6.5
-11.6786,7.1
-0.3533,7.2
-0.2614,7.3
-15.1163,7.4
-7.8333,7.5
-1.0225,8.1
-0.0213,8.2
-6.2759,8.3
-12.0426,8.4
-2.4468,8.5
-2.4271,9.1
-2.8056,9.2
-0.3140,9.3
-8.1939,9.4
-8.9326,9.5
