"rasp3","location"
-77.1801,1.1
-79.1649,1.2
-85.1595,1.3
-72.3426,1.4
-86.1876,1.5
-65.5141,10.1
-73.6538,10.2
-68.6046,10.3
-62.8709,10.4
-48.3385,10.5
-76.4620,2.1
-75.0412,2.2
-76.5321,2.3
-82.9202,2.4
-81.1562,2.5
-78.0239,3.1
-76.1981,3.2
-78.3259,3.3
-72.9855,3.4
-78.8000,3.5
-73.6005,4.1
-73.6440,4.2
-85.0248,4.3
-81.9171,4.4
-79.8871,4.5
-77.0833,5.1
-72.8194,5.2
-73.8984,5.3
-73.7940,5.4
-84.5767,5.5
-76.8753,6.1
-78.8124,6.2
-82.2103,6.3
-75.5200,6.4
-70.1475,6.5
-78.1034,7.1
-77.1839,7.2
-69.0210,7.3
-74.3262,7.4
-69.9892,7.5
-74.8957,8.1
-72.5928,8.2
-72.8567,8.3
-71.8125,8.4
-72.8016,8.5
-71.4562,9.1
-71.1017,9.2
-65.1756,9.3
-56.8183,9.4
-56.8402,9.5
