rasp1,rasp2,rasp3,rasp4,"location"
-48,-76,-79,-87,"1.1"
-45,-78,-77,-84,"1.1"
-44,-72,-74,-81,"1.1"
-45,-73,-63,-82,"1.1"
-45,-74,-76,-82,"1.1"
-46,-74,-76,-84,"1.1"
-45,-73,-77,-86,"1.1"
-45,-73,-76,-86,"1.1"
-45,-73,-76,-86,"1.1"
-45,-73,-77,-85,"1.1"
-45,-73,-76,-85,"1.1"
-45,-73,-76,-85,"1.1"
-46,-74,-76,-82,"1.1"
-46,-73,-77,-86,"1.1"
-46,-73,-76,-86,"1.1"
-46,-73,-76,-86,"1.1"
-46,-73,-77,-85,"1.1"
-46,-73,-76,-85,"1.1"
-46,-73,-76,-85,"1.1"
-48,-75,-79,-85,"1.1"
-48,-75,-79,-90,"1.1"
-48,-75,-77,-90,"1.1"
-48,-75,-79,-85,"1.1"
-48,-75,-77,-85,"1.1"
-48,-74,-79,-90,"1.1"
-48,-74,-77,-90,"1.1"
-48,-74,-79,-85,"1.1"
-48,-74,-77,-85,"1.1"
-48,-72,-79,-90,"1.1"
-48,-72,-77,-90,"1.1"
-48,-72,-79,-85,"1.1"
-48,-72,-77,-85,"1.1"
-46,-75,-79,-90,"1.1"
-46,-75,-77,-90,"1.1"
-46,-75,-79,-85,"1.1"
-46,-75,-77,-85,"1.1"
-46,-74,-79,-90,"1.1"
-46,-74,-77,-90,"1.1"
-46,-74,-79,-85,"1.1"
-46,-74,-77,-85,"1.1"
-46,-72,-79,-90,"1.1"
-46,-72,-77,-90,"1.1"
-46,-72,-79,-85,"1.1"
-46,-72,-77,-85,"1.1"
-47,-75,-75,-85,"1.1"
-45,-75,-79,-90,"1.1"
-45,-75,-77,-90,"1.1"
-45,-75,-79,-85,"1.1"
-45,-75,-77,-85,"1.1"
-45,-74,-79,-90,"1.1"
-45,-74,-77,-90,"1.1"
-45,-74,-79,-85,"1.1"
-45,-74,-77,-85,"1.1"
-45,-72,-79,-90,"1.1"
-45,-72,-77,-90,"1.1"
-45,-72,-79,-85,"1.1"
-45,-72,-77,-85,"1.1"
-45,-75,-79,-90,"1.1"
-45,-75,-77,-90,"1.1"
-45,-75,-79,-85,"1.1"
-45,-75,-77,-85,"1.1"
-45,-74,-79,-90,"1.1"
-45,-74,-77,-90,"1.1"
-45,-74,-79,-85,"1.1"
-45,-74,-77,-85,"1.1"
-45,-72,-79,-90,"1.1"
-45,-72,-77,-90,"1.1"
-45,-72,-79,-85,"1.1"
-45,-72,-77,-85,"1.1"
-48,-75,-79,-86,"1.1"
-48,-75,-78,-86,"1.1"
-48,-75,-79,-85,"1.1"
-45,-74,-78,-80,"1.1"
-48,-75,-79,-88,"1.1"
-49,-76,-79,-86,"1.1"
-49,-76,-79,-86,"1.1"
-49,-76,-79,-86,"1.1"
-49,-76,-79,-86,"1.1"
-49,-75,-79,-86,"1.1"
-49,-75,-79,-86,"1.1"
