rasp1,rasp2,rasp3,rasp4,"location"
0,0,-20,-10,"1.2"
0,0,-14,-17,"1.2"
0,0,-18,-9,"1.2"
0,0,-16,-13,"1.2"
0,0,-13,-14,"1.2"
0,0,-17,-10,"1.2"
0,0,-11,-11,"1.2"
-1,0,-7,-17,"1.2"
-6,0,-14,-17,"1.2"
-1,0,-7,-18,"1.2"
0,0,-16,-10,"1.2"
0,0,-17,-18,"1.2"
0,0,-19,-15,"1.2"
0,0,-12,-17,"1.2"
0,0,-13,-14,"1.2"
0,0,-18,-14,"1.2"
0,0,-18,-11,"1.2"
-1,0,-6,-13,"1.2"
0,0,-14,-19,"1.2"
0,0,-11,-14,"1.2"
0,0,-8,-15,"1.2"
0,0,-19,-11,"1.2"
0,0,-13,-10,"1.2"
-4,0,-10,-12,"1.2"
0,0,-21,-14,"1.2"
0,0,-17,-11,"1.2"
0,0,-9,-14,"1.2"
0,0,-16,-12,"1.2"
0,0,-9,-10,"1.2"
-4,0,-12,-15,"1.2"
-13,0,-29,-16,"1.3"
-7,0,-22,-20,"1.3"
-10,0,-28,-13,"1.3"
-3,0,-23,-21,"1.3"
-10,0,-27,-17,"1.3"
-5,0,-20,-15,"1.3"
-15,0,-23,-17,"1.3"
-14,0,-29,-12,"1.3"
-4,0,-22,-19,"1.3"
-2,0,-31,-22,"1.3"
-8,0,-29,-12,"1.3"
-18,0,-31,-23,"1.3"
-8,0,-26,-22,"1.3"
-25,0,-20,-19,"1.3"
-4,0,-19,-15,"1.3"
-4,0,-19,-18,"1.3"
-5,0,-28,-21,"1.3"
-2,0,-30,-23,"1.3"
-15,0,-29,-23,"1.3"
-8,0,-25,-17,"1.3"
-13,0,-24,-19,"1.3"
-10,0,-15,-16,"1.3"
-11,0,-32,-19,"1.3"
-7,0,-26,-22,"1.3"
-14,0,-29,-21,"1.3"
-13,0,-27,-19,"1.3"
-8,0,-32,-14,"1.3"
-14,0,-25,-19,"1.3"
-22,0,-23,-21,"1.3"
-17,0,-30,-21,"1.3"
-1,0,-18,-17,"1.3"
-7,0,-30,-14,"1.3"
-3,0,-27,-16,"1.3"
-8,0,-28,-16,"1.3"
-21,0,-23,-15,"1.3"
-2,0,-25,-16,"1.3"
-13,0,-20,-18,"1.3"
-11,0,-25,-14,"1.3"
-13,0,-27,-15,"1.3"
-6,0,-17,-17,"1.3"
-17,0,-30,-18,"1.3"
-13,0,-33,-12,"1.3"
