rasp1,rasp2,rasp3,rasp4,"location"
-86,-78,-83,-89,"8.1"
-79,-76,-81,-90,"8.1"
-82,-75,-80,-92,"8.1"
-83,-75,-80,-92,"8.1"
-83,-74,-80,-89,"8.1"
-85,-73,-81,-89,"8.1"
-87,-77,-80,-90,"8.1"
-86,-77,-81,-91,"8.1"
-86,-74,-81,-91,"8.1"
-83,-75,-76,-83,"8.1"
-81,-73,-77,-83,"8.1"
-82,-74,-79,-84,"8.1"
-82,-72,-78,-82,"8.1"
-82,-74,-78,-84,"8.1"
-80,-72,-78,-83,"8.1"
-82,-77,-77,-84,"8.1"
-83,-76,-78,-82,"8.1"
-84,-74,-79,-79,"8.1"
-85,-75,-80,-81,"8.1"
-85,-74,-78,-83,"8.1"
-84,-74,-78,-81,"8.1"
-84,-74,-77,-83,"8.1"
-84,-73,-79,-81,"8.1"
-78,-72,-83,-83,"8.2"
-85,-71,-80,-81,"8.2"
-76,-68,-84,-76,"8.2"
-78,-71,-84,-84,"8.2"
-78,-72,-84,-82,"8.2"
-74,-65,-80,-80,"8.2"
-75,-66,-82,-80,"8.2"
-75,-65,-83,-80,"8.2"
-74,-66,-84,-78,"8.2"
-74,-66,-87,-80,"8.2"
-77,-68,-83,-79,"8.2"
-78,-66,-81,-78,"8.2"
-75,-66,-84,-81,"8.2"
-79,-73,-84,-83,"8.2"
-79,-72,-85,-84,"8.2"
-79,-71,-84,-83,"8.2"
-74,-65,-82,-77,"8.2"
-56,-66,-82,-77,"8.2"
-79,-67,-81,-81,"8.2"
-79,-73,-84,-82,"8.2"
-78,-72,-84,-83,"8.2"
-79,-72,-85,-82,"8.2"
-78,-71,-85,-82,"8.2"
-81,-74,-86,-84,"8.2"
-80,-73,-84,-82,"8.2"
-78,-73,-84,-82,"8.2"
-79,-73,-85,-83,"8.2"
-80,-72,-84,-82,"8.2"
-73,-74,-81,-80,"8.2"
-75,-66,-82,-78,"8.2"
-75,-66,-82,-78,"8.2"
-76,-66,-82,-79,"8.2"
-75,-66,-82,-78,"8.2"
-75,-66,-81,-78,"8.2"
-74,-66,-81,-79,"8.2"
-75,-67,-82,-92,"8.2"
-79,-72,-84,-82,"8.2"
-75,-66,-82,-77,"8.2"
-75,-66,-81,-82,"8.2"
-75,-66,-83,-78,"8.2"
-75,-66,-82,-81,"8.2"
-75,-67,-82,-79,"8.2"
-76,-66,-82,-80,"8.2"
-76,-66,-82,-80,"8.2"
-75,-67,-81,-79,"8.2"
-74,-67,-83,-79,"8.2"
-75,-66,-82,-80,"8.2"
-76,-66,-82,-79,"8.2"
-80,-73,-85,-84,"8.2"
-79,-73,-84,-84,"8.2"
-80,-73,-85,-84,"8.2"
-79,-72,-84,-82,"8.2"
-79,-66,-85,-83,"8.2"
-74,-67,-84,-78,"8.2"
-80,-74,-86,-84,"8.2"
-78,-71,-84,-82,"8.2"
-79,-73,-84,-84,"8.2"
-78,-72,-83,-82,"8.2"
-78,-72,-85,-83,"8.2"
-74,-78,-84,-82,"8.2"
-79,-73,-85,-82,"8.2"
-78,-71,-82,-81,"8.2"
-77,-71,-82,-81,"8.2"
-80,-73,-86,-82,"8.2"
-78,-71,-82,-82,"8.2"
-79,-74,-85,-82,"8.2"
-74,-67,-83,-79,"8.2"
-76,-66,-82,-78,"8.2"
-75,-67,-81,-79,"8.2"
-76,-67,-83,-79,"8.2"
-77,-71,-83,-81,"8.2"
-76,-71,-83,-80,"8.2"
-74,-67,-82,-80,"8.2"
-79,-72,-83,-81,"8.2"
-78,-72,-83,-82,"8.2"
-77,-70,-83,-81,"8.2"
-78,-71,-83,-81,"8.2"
-73,-65,-81,-77,"8.2"
-78,-72,-84,-82,"8.2"
-77,-70,-83,-81,"8.2"
-77,-70,-83,-80,"8.2"
-78,-71,-84,-82,"8.2"
-77,-70,-81,-76,"8.2"
-75,-67,-82,-78,"8.2"
-81,-73,-86,-84,"8.2"
-77,-70,-84,-81,"8.2"
-78,-72,-83,-82,"8.2"
-78,-72,-83,-82,"8.2"
-79,-73,-84,-83,"8.2"
-77,-71,-84,-81,"8.2"
-75,-66,-82,-81,"8.2"
-79,-73,-84,-82,"8.2"
-78,-71,-84,-81,"8.2"
-77,-71,-82,-80,"8.2"
-76,-75,-84,-78,"8.3"
-76,-74,-86,-76,"8.3"
-75,-72,-84,-77,"8.3"
-76,-75,-85,-79,"8.3"
-78,-76,-87,-79,"8.3"
-84,-77,-84,-80,"8.3"
-77,-74,-81,-78,"8.3"
-76,-75,-83,-77,"8.3"
-78,-74,-83,-76,"8.3"
-77,-76,-86,-77,"8.3"
-77,-74,-86,-76,"8.3"
-77,-75,-85,-77,"8.3"
-74,-70,-84,-76,"8.3"
-77,-75,-85,-78,"8.3"
-78,-74,-84,-78,"8.3"
