"rasp3","location"
-20.3462,1.1
-14.0632,1.2
-26.4607,1.3
-12.5116,1.4
-20.7324,1.5
-16.7143,10.1
-5.9896,10.2
-6.0430,10.3
-2.2527,10.4
0.0000,10.5
-10.0000,2.1
-6.7558,2.2
-18.1463,2.3
-11.7841,2.4
-18.1412,2.5
-15.6049,3.1
-16.2714,3.2
-15.7821,3.3
-7.1071,3.4
-23.5636,3.5
-15.6022,4.1
-17.8571,4.2
-15.3056,4.3
-8.2027,4.4
-16.6404,4.5
-15.4382,5.1
-14.7895,5.2
-8.2400,5.3
-10.1538,5.4
-14.0706,5.5
-18.0164,6.1
-13.3763,6.2
-8.1319,6.3
-13.5270,6.4
-13.8684,6.5
-11.5698,7.1
-21.1579,7.2
-13.2258,7.3
-8.8293,7.4
-6.6027,7.5
-13.5658,8.1
-14.9184,8.2
-9.7579,8.3
-6.4286,8.4
-12.2347,8.5
-15.2476,9.1
-16.0449,9.2
-13.3594,9.3
-2.6966,9.4
-5.0980,9.5
