"rasp3","location"
-85.2666,1.1
-80.2516,1.2
-86.5242,1.3
-75.3599,1.4
-82.6684,1.5
-69.5652,10.1
-72.0388,10.2
-68.7500,10.3
-56.5408,10.4
-46.7833,10.5
-79.3446,2.1
-75.2952,2.2
-81.4360,2.3
-71.6067,2.4
-78.9545,2.5
-77.4390,3.1
-77.2333,3.2
-71.4910,3.3
-66.0837,3.4
-83.9772,3.5
-84.9953,4.1
-70.2721,4.2
-75.5128,4.3
-77.5711,4.4
-72.0401,4.5
-77.2893,5.1
-69.3793,5.2
-69.0264,5.3
-80.9952,5.4
-74.4960,5.5
-71.0000,6.1
-69.5622,6.2
-77.0000,6.3
-64.0556,6.4
-71.2609,6.5
-81.3571,7.1
-67.8966,7.2
-74.4949,7.3
-73.3683,7.4
-72.0451,7.5
-79.2903,8.1
-82.5381,8.2
-84.9455,8.3
-73.6235,8.4
-76.3858,8.5
-72.6178,9.1
-75.2901,9.2
-73.1535,9.3
-59.7971,9.4
-70.4495,9.5
