"rasp1","rasp2","rasp3","rasp4","rasp5","rasp6"
-67.5986,-71.1032,-83.5181,-91.7776,-66.7681,-76.5616
-44.5576,-58.2103,-75.6285,-84.0279,-63.2184,-75.1668
-65.5698,-57.9744,-73.1944,-84.8966,-70.4597,-72.4556
-78.5541,-73.0395,-71.9329,-84.7242,-55.1928,-62.7454
-65.1968,-61.4055,-64.756,-69.9794,-57.7635,-60.3099
-76.2429,-70.2078,-71.2172,-75.6484,-53.5578,-71.6215
-66.8362,-47.0979,-68.2879,-80.7233,-57.0942,-72.8824
-84.4715,-66.1298,-82.1815,-70.6931,-71.8246,-56.2406
-73.25,-65.2751,-71.8301,-77.4973,-50.4398,-60.9496
-67.0307,-67.2745,-73.1325,-66.1086,-62.1579,-50.7
-70.846,-73.9808,-71.7366,-79.3676,-65.9088,-64.5409
-77.7797,-73.8426,-48.2191,-61.9675,-77.3179,-56.031
-80.0694,-73.3917,-56.8605,-69.2857,-73.3206,-54.7474
-72.4162,-71.4208,-64.4226,-64.3447,-57.7647,-44.5
-72.8848,-70.7097,-63.5971,-51.9083,-67.3333,-55.9221
