"rasp1","rasp2","rasp3","rasp4","location"
-52.613512345679,-65.2291962962963,-81.540875308642,-87.0932691358025,1.1
-60.0470488372093,-61.1015124031008,-78.4256550387597,-87.3256015503876,1.2
-66.5288555555556,-56.5050777777778,-84.0279,-83.8834444444444,1.3
-66.1706333333333,-47.8934333333333,-74.0541666666667,-77.8581333333333,1.4
-66.1535666666667,-51.45385,-84.5405416666667,-78.8367583333333,1.5
-76.079013986014,-72.0292055944056,-72.1709554778555,-65.6864738927739,10.1
-66.9116689922481,-72.992119379845,-76.5351302325581,-74.1446379844961,10.2
-68.5936666666667,-69.4507777777778,-69.8959777777778,-75.1608,10.3
-71.9163606060606,-69.9449909090909,-62.2069303030303,-72.531696969697,10.4
-71.057368627451,-68.7494163398693,-62.5307960784314,-80.1731607843137,10.5
-63.0143786324786,-69.3185698005698,-79.616445014245,-85.3014974358974,2.1
-59.4117677419355,-66.5184172043011,-75.1524559139785,-83.1369258064516,2.2
-63.2794016563147,-60.1501530020704,-79.1984763975155,-86.0639552795031,2.3
-71.0672818930041,-59.9432781893004,-73.4225469135802,-78.7877773662552,2.4
-74.6216288065844,-57.3786386831276,-79.6994514403292,-82.1050847736626,2.5
-73.5268988980716,-71.7699121212121,-81.0007187327824,-87.0888512396694,3.1
-61.6663639455782,-68.6630102040816,-76.2118272108844,-79.6928925170068,3.2
-70.6162666666667,-66.7509507936508,-72.4310301587302,-84.0668920634921,3.3
-73.7288666666667,-63.1045333333333,-70.9530666666667,-82.6106333333333,3.4
-74.0248987654321,-68.6650888888889,-80.1417827160494,-81.4493160493827,3.5
-76.8320467836257,-72.1831426900585,-81.4383660818713,-80.7873011695906,4.1
-70.5321232558139,-66.3152651162791,-70.3828860465116,-77.4181023255814,4.2
-73.2311904538341,-70.5152989045383,-77.9381984350548,-84.0523356807512,4.3
-68.4075666666667,-67.4492818181818,-78.0203090909091,-77.5306121212121,4.4
-71.7109619047619,-66.3868619047619,-75.7328761904762,-84.5221714285714,4.5
-69.0326666666667,-66.1356,-78.1242,-79.7869666666667,5.1
-69.0887868766404,-71.9340223097113,-74.0268632545932,-82.546513648294,5.2
-70.6762685990338,-71.3856666666667,-73.3227594202898,-81.7325420289855,5.3
-73.8086634920635,-72.2658634920635,-76.9932253968254,-80.0457222222222,5.4
-68.4111,-70.1473222222222,-78.8797888888889,-81.4905,5.5
-75.2214857142857,-72.9794380952381,-76.4584333333333,-80.6706142857143,6.1
-67.2022698113208,-66.0687368972746,-75.6007576519916,-76.1633507337526,6.2
-68.3922232323232,-70.9927343434343,-74.3933323232323,-81.7557454545454,6.3
-68.6182869565217,-70.383384057971,-68.6556347826087,-81.1649927536232,6.4
-69.4040333333333,-71.9318333333333,-71.1361333333333,-79.2417666666667,6.5
-79.486468852459,-75.4813896174863,-77.9895655737705,-75.5283907103825,7.1
-77.5330188118812,-69.8351594059406,-72.672597909791,-75.3168548954895,7.2
-79.4305111111111,-74.4816333333333,-71.5608555555556,-77.0718777777778,7.3
-74.3837997493734,-77.3240376775271,-69.8455350877193,-74.9273339181287,7.4
-72.024041786108,-71.4161539140022,-72.1933517456817,-78.9678868430724,7.5
-84.3802743961353,-75.3865053140097,-76.6272173913043,-75.1853410628019,8.1
-75.3628025641026,-73.386541025641,-74.7477358974359,-78.3694974358974,8.2
-73.8648709844559,-72.5052150259067,-76.3382117443869,-76.2673552677029,8.3
-70.6710951026856,-75.3935025276461,-74.3823001579779,-76.6772769352291,8.4
-70.4306070175439,-73.5422701754386,-72.7115894736842,-82.000252631579,8.5
-79.4702,-80.0588193548387,-73.1752043010753,-68.2154913978495,9.1
-75.9402,-76.1025,-70.2972666666667,-69.5083,9.2
-76.9238555555556,-78.7451666666667,-67.2208111111111,-68.3761555555556,9.3
-67.4544502283105,-77.9502337899543,-59.9722566210046,-73.9942264840183,9.4
-75.5168142557652,-78.8213320754717,-60.1489775681342,-73.6730979035639,9.5
