"rasp1","rasp2","rasp3","rasp4","location"
-46.343,-73.9589,-77.1801,-83.6798,1.1
-53.2701,-54.1609,-79.1649,-89.1916,1.2
-62.8833,-62.2578,-85.1595,-84.4849,1.3
-63.9379,-45.8302,-72.3426,-76.9206,1.4
-62.3229,-54.8771,-86.1876,-79.5194,1.5
-78.8641,-74.6044,-65.5141,-48.1906,10.1
-66.678,-74.2261,-73.6538,-70.342,10.2
-73.389,-71.5385,-68.6046,-71.5528,10.3
-70.0614,-74.7187,-62.8709,-75.3916,10.4
-67.1171,-73.9858,-48.3385,-76.8923,10.5
-56.9708,-68.2137,-76.462,-84.5525,2.1
-59.0436,-73.7392,-75.0412,-85.1949,2.2
-59.0366,-58.812,-76.5321,-91.5302,2.3
-68.7325,-66.8044,-82.9202,-79.7574,2.4
-70.7438,-53.7036,-81.1562,-79.217,2.5
-67.6068,-67.7583,-78.0239,-87.2752,3.1
-55.5235,-66.6302,-76.1981,-81.6311,3.2
-70.515,-62.1542,-78.3259,-90.1719,3.3
-68.3894,-62.4317,-72.9855,-80.3398,3.4
-71.52,-69.7922,-78.8,-81.9574,3.5
-77.8887,-71.4237,-73.6005,-82.0202,4.1
-68.9983,-64.5006,-73.644,-77.3942,4.2
-78.9158,-72.0898,-85.0248,-85.9328,4.3
-65.8134,-62.4704,-81.9171,-79.6082,4.4
-68.4025,-64.8421,-79.8871,-92.0376,4.5
-67.5538,-64.1811,-77.0833,-80.6006,5.1
-67.9735,-76.3365,-72.8194,-80.8416,5.2
-66.755,-69.8489,-73.8984,-81.3289,5.3
-72.5743,-67.2269,-73.794,-85.3426,5.4
-64.3072,-66.4424,-84.5767,-89.1887,5.5
-73.5127,-69.8033,-76.8753,-82.9607,6.1
-58.4264,-62.5337,-78.8124,-80.8623,6.2
-56.5658,-63.3046,-82.2103,-83.4294,6.3
-62.5345,-64.4545,-75.52,-90.7515,6.4
-62.9044,-72.8955,-70.1475,-82.7586,6.5
-79.5645,-72.3385,-78.1034,-77.5785,7.1
-81.4529,-70.4017,-77.1839,-75.9101,7.2
-76.6522,-72.9512,-69.021,-77.9259,7.3
-72.6599,-74.8659,-74.3262,-79.3843,7.4
-73.3215,-67.9094,-69.9892,-85.3822,7.5
-81.0327,-67.5848,-74.8957,-71.75,8.1
-68.0559,-72.1418,-72.5928,-85.2571,8.2
-67.4719,-68.9172,-72.8567,-84.3908,8.3
-64.7115,-75.6241,-71.8125,-71.2037,8.4
-64.3427,-69.2052,-72.8016,-79.4784,8.5
-75.0753,-72.843,-71.4562,-79.9222,9.1
-65.9212,-77.0249,-71.1017,-66.9277,9.2
-74.2822,-77.0668,-65.1756,-67.4769,9.3
-62.3314,-72.8451,-56.8183,-78.7536,9.4
-71.5143,-71.5626,-56.8402,-70.6254,9.5
