"rasp1","rasp2","rasp3","rasp4","location"
-48.9605,-57.5898,-85.2666,-85.4426,1.1
-60.685,-62.7948,-80.2516,-86.3666,1.2
-71.6366,-45.9241,-86.5242,-80.6321,1.3
-63.554,-47.3501,-75.3599,-78.0938,1.4
-61.9503,-50.8282,-82.6684,-73.6315,1.5
-84.9149,-73.2,-69.5652,-58.1905,10.1
-75.9291,-74.0177,-72.0388,-65.8361,10.2
-72.892,-74.4805,-68.75,-63.9296,10.3
-78.5695,-82.989,-56.5408,-67.7944,10.4
-78.2903,-81.8899,-46.7833,-77.9213,10.5
-62.1749,-67.3403,-79.3446,-83.0443,2.1
-62.3288,-61.5096,-75.2952,-85.7562,2.2
-62.3544,-65.3279,-81.436,-88.7362,2.3
-67.457,-51.6242,-71.6067,-77.8405,2.4
-72.368,-48.0496,-78.9545,-78.1106,2.5
-75.9615,-75.4378,-77.439,-84.8178,3.1
-62.496,-66.0323,-77.2333,-80.7537,3.2
-71.3338,-66.7177,-71.491,-82.8383,3.3
-80.9272,-63.7419,-66.0837,-81.7821,3.4
-73.2584,-64.0364,-83.9772,-76.2424,3.5
-70.1513,-77.6345,-84.9953,-77.7803,4.1
-73.319,-67.8638,-70.2721,-81.2322,4.2
-70.3881,-72.3622,-75.5128,-79.6397,4.3
-72.0093,-69.7229,-77.5711,-78.32,4.4
-76.2161,-66.2042,-72.0401,-83.8432,4.5
-69.5442,-62.2257,-77.2893,-81.2603,5.1
-64.4779,-70.001,-69.3793,-79.8255,5.2
-71.0854,-68.8081,-69.0264,-79.0209,5.3
-69.3755,-74.5945,-80.9952,-75.6279,5.4
-69.5061,-71.9529,-74.496,-77.4628,5.5
-77.0089,-69.3493,-71,-85.694,6.1
-64.5389,-66.6788,-69.5622,-73.0114,6.2
-67.9139,-71.6433,-77,-84.4742,6.3
-68.8421,-70.5,-64.0556,-76.2,6.4
-67.3077,-70.4,-71.2609,-73.4667,6.5
-74.9113,-76.7778,-81.3571,-74.687,7.1
-77.5818,-67.3216,-67.8966,-77.3936,7.2
-75.306,-76.8687,-74.4949,-75.2689,7.3
-82.6118,-78.021,-73.3683,-74.117,7.4
-68.7396,-63.747,-72.0451,-68.5821,7.5
-83.3545,-76.8066,-79.2903,-85.0524,8.1
-77.1002,-69.6609,-82.5381,-80.7637,8.2
-76.2652,-72.6943,-84.9455,-75.2351,8.3
-70.3397,-71.182,-73.6235,-83.6196,8.4
-69.5807,-71.7374,-76.3858,-89.2592,8.5
-79.3353,-81.3012,-72.6178,-70.6275,9.1
-80.6494,-76.4576,-75.2901,-72.9472,9.2
-83.8227,-73.1687,-73.1535,-67.9849,9.3
-67.5388,-76.0193,-59.7971,-69.0236,9.4
-74.0613,-83.958,-70.4495,-75.1549,9.5
