rasp1,rasp2,rasp3,rasp4,rasp5,rasp6,mac_address
-61.4015007019043,-59.881526947021484,-46.01377487182617,-65.08897399902344,-47.88627624511719,-52.42882537841797,"14:2D:27:E9:D7:67"
-70.50274658203125,-65.4189453125,-74.49604797363281,-76.24644470214844,-75.63890075683594,-82.57780456542969,"28:56:5A:A0:47:E9"
-53.827598571777344,-53.96149826049805,-53,-45.704898834228516,-59.79999923706055,-58.5,"30:10:B3:3F:E3:7D"
-53.13602066040039,-45.33802032470703,-47.7955207824707,-55.10639953613281,-58.491600036621094,-56.168758392333984,"34:23:87:03:78:B9"
-62.326900482177734,-41.81270217895508,-61.60019302368164,-59.25764465332031,-66.1545639038086,-63.14861297607422,"40:40:A7:AE:DE:17"
-63.48908233642578,-59.80871391296387,-58.232460021972656,-65.63518142700195,-49.965322494506836,-57.690216064453125,"4C:8D:79:E3:51:6C"
-67.31704711914062,-56.24507522583008,-59.66272735595703,-53.80772399902344,-56.8948974609375,-48.32437515258789,"54:26:96:DB:9C:25"
-65.1144027709961,-51.05280685424805,-55.99630355834961,-55.08277893066406,-49.9309196472168,-55.79402160644531,"60:67:20:C9:93:28"
-52.64695167541504,-54.725229263305664,-51.158470153808594,-58.5495662689209,-59.71373748779297,-55.28746032714844,"68:76:4F:FC:28:68"
-58.95745849609375,-58.186119079589844,-65.7593994140625,-69.98788452148438,-71.87689971923828,-67.91364288330078,"6E:8C:01:39:FD:3F"
-41.52924156188965,-54.41244888305664,-53.82051086425781,-65.10301208496094,-67.00652313232422,-64.48873329162598,"98:01:A7:B6:B2:BD"
-55.75,-40.539798736572266,-60.980201721191406,-62.190101623535156,-62.44029998779297,-69.19670104980469,"9C:B6:D0:D6:7F:81"
-65.48379135131836,-60.448659896850586,-64.5754451751709,-61.21966552734375,-61.275007247924805,-53.43050765991211,"A0:8D:16:33:54:DE"
-60.382225036621094,-57.15555000305176,-57.70662498474121,-66.6396255493164,-52.000173568725586,-58.52987480163574,"A4:02:B9:24:34:C5"
-57.39163398742676,-59.47251510620117,-56.86376762390137,-58.27188491821289,-51.47541618347168,-53.52120018005371,"A8:BB:CF:01:C6:0C"
-61.24357795715332,-58.34816360473633,-49.928571701049805,-55.07296943664551,-45.15592575073242,-61.97307586669922,"A8:C8:3A:07:88:9F"
