"rasp1" "rasp2" "rasp3" "rasp4" "rasp5" "rasp6" "mac_address"
-81.44444274902344 -65.97618865966797 -75.23809814453125 -78.54545593261719 -73.59259033203125 -76.69047546386719 "00:25:00:4A:D9:5C"
-75.19330596923828 -76.46188354492188 -76.20895385742188 -76.08558654785156 -83.5762710571289 -76.5 "14:A5:1A:E8:4B:1B"
-67.3457202911377 -64.3000717163086 -76.4375 -70.93452453613281 -72.58158874511719 -82.63684463500977 "28:56:5A:A0:47:E9"
-67.4916820526123 -61.939244747161865 -68.52187983194987 -58.463833400181365 -64.96208635965984 -63.02117029825846 "30:07:4D:80:2A:85"
-54.52931213378906 -42.60005569458008 -56.96324793497721 -43.2529042561849 -60.95783233642578 -53.289475758870445 "34:23:87:03:78:B9"
-64.58887608846028 -42.79844093322754 -66.03030395507812 -56.11458778381348 -71.41929117838542 -66.64196014404297 "40:40:A7:AE:DE:17"
-65.16487216949463 -58.26128101348877 -63.877498626708984 -63.084058125813804 -57.81637191772461 -65.07347869873047 "54:26:96:DB:9C:25"
-61.894981384277344 -55.4918098449707 -69.85111236572266 -61.313249588012695 -75.7918701171875 -66.70967864990234 "56:F7:CD:26:E3:15"
-62.22143003675673 -45.7853515625 -62.64343452453613 -54.436044216156006 -69.52647113800049 -63.40526008605957 "58:00:E3:D9:15:D5"
-65.48775545756023 -68.89376449584961 -66.25277862548828 -62.89975204467773 -58.24613647460937 -64.28074645996094 "60:F8:1D:C8:FC:96"
-65.67220624287923 -62.658590952555336 -56.876572926839195 -60.72089958190918 -62.46566467285156 -66.43610763549805 "68:C4:4D:EA:7E:79"
-60.290931701660156 -49.07692337036133 -62.98718070983887 -46.63339487711588 -62.322086334228516 -61.63259315490723 "6C:71:D9:AF:F4:5D"
-67.10761260986328 -64.00290171305339 -65.3027572631836 -49.707359313964844 -62.355917612711586 -68.75622304280598 "70:F1:A1:69:E9:BC"
-56.55918884277344 -54.29600448608399 -60.61156997680664 -56.802099609375 -58.13681125640869 -70.86666870117188 "74:E5:0B:3E:E8:64"
-63.16306686401367 -45.086883544921875 -62.62749099731445 -41.99113082885742 -62.018089294433594 -61.73285420735677 "8C:85:90:1B:EA:53"
-46.07326542247426 -54.977476293390446 -63.749290466308594 -59.247993850708006 -64.65142737494574 -63.510597229003906 "98:01:A7:B6:B2:BD"
-60.94776153564453 -43.39793586730957 -63.90047836303711 -57.022884368896484 -68.61412811279297 -61.57777786254883 "9C:B6:D0:D6:7F:81"
-70.47459411621094 -59.348533630371094 -66.71282386779785 -67.6724853515625 -70.73241729736328 -62.94304402669271 "A0:8D:16:33:54:DE"
-63.63526407877604 -56.62312444051107 -64.63582229614258 -57.828006744384766 -58.8518180847168 -60.2064266204834 "A4:02:B9:24:34:C5"
-63.057236989339195 -60.0024299621582 -56.751343318394255 -57.543836321149556 -53.43223517281668 -56.64284896850586 "A8:BB:CF:01:C6:0C"
-56.357749938964844 -50.871711186000276 -59.650152587890624 -53.71284484863281 -56.666497802734376 -58.083342742919925 "AC:72:89:1C:16:F0"
-69.36474227905273 -58.30553722381592 -66.09342765808105 -58.116667938232425 -59.15223821004232 -59.559556007385254 "AC:BC:32:B9:0C:D5"
-63.894853591918945 -61.34983444213867 -60.97602081298828 -63.04393997192383 -63.87245254516601 -67.16515350341797 "AC:C1:EE:3C:5E:E8"
-60.04352951049805 -55.81265354156494 -68.00710932413737 -59.2624626159668 -67.30212783813477 -67.24624824523926 "B0:E2:35:C5:C9:1F"
-70.78909410749164 -66.83293999565973 -70.40436744689941 -63.53772449493408 -68.713134765625 -63.187477111816406 "BC:44:34:DD:77:97"
-50.86073981391059 -63.74801805284288 -67.35011618477958 -65.03137860979352 -71.10475858052571 -61.34782791137695 "C8:14:79:31:3C:2A"
-64.68364715576172 -50.7353630065918 -76.46234893798828 -45.98064422607422 -71.85316467285156 -49.93821334838867 "C8:14:79:31:3C:2A_s3_n_p2"
-66.50963592529297 -58.52637481689453 -43.76020050048828 -54.70758056640625 -64.94953918457031 -61.90034484863281 "C8:14:79:31:3C:2A_s3_n_p3"
-68.64809672037761 -62.43560600280762 -60.58124923706055 -65.28947448730469 -62.448978424072266 -63 "D0:87:E2:97:20:ED"
-51.04948043823242 -46.83407211303711 -55.70863723754883 -52.608245849609375 -62.564517974853516 -65.03500366210938 "DC:A9:04:4F:D9:35_ipad_n_p2"
-45.17029571533203 -52.931819915771484 -61.4476203918457 -54.46886444091797 -65.24681091308594 -63.51713562011719 "DC:A9:04:4F:D9:35_ipad_n_p3"
-57.57440058390299 -47.112237294514976 -66.45209248860677 -50.10434087117513 -69.85892868041992 -65.6852798461914 "F0:25:B7:D0:2E:97"
-55.64583206176758 -46.1843147277832 -58.658355712890625 -32.68258285522461 -52.47489547729492 -52.12621307373047 "F4:E3:FB:85:66:D8_hua_n_p3"
-62.6 -52.875 -73 -49.5 -69.6 -59 ”30:5A:3A:1B:F0:B7”
