mac address, timestamp, rasp, echo_time, rssi, lq, tpl
88:C9:D0:1F:3E:48,11:09:18.022,1,89.29,-16,12,62
88:C9:D0:1F:3E:48,11:10:19.341,1,197.32,-21,12,255
88:C9:D0:1F:3E:48,11:08:30.161,1,131.12,-25,12,255
88:C9:D0:1F:3E:48,11:08:52.382,1,133.58,-23,12,49
88:C9:D0:1F:3E:48,11:13:10.057,1,55.98,-16,12,84
88:C9:D0:1F:3E:48,11:09:59.201,1,123.58,-17,12,82
88:C9:D0:1F:3E:48,11:10:13.452,1,56.12,-14,12,255
88:C9:D0:1F:3E:48,11:11:04.094,1,277.38,-14,12,255
88:C9:D0:1F:3E:48,11:09:35.735,1,67.21,-20,12,255
88:C9:D0:1F:3E:48,11:11:08.528,1,58.63,-16,12,255
88:C9:D0:1F:3E:48,11:12:49.073,1,114.85,-25,12,45
88:C9:D0:1F:3E:48,11:13:56.169,1,94.78,-21,12,94
88:C9:D0:1F:3E:48,11:11:01.709,1,13.61,-16,12,255
88:C9:D0:1F:3E:48,11:13:28.346,1,141.13,-17,12,87
88:C9:D0:1F:3E:48,11:11:44.914,1,79.82,-16,12,255
88:C9:D0:1F:3E:48,11:11:32.320,1,12.34,-21,12,255
88:C9:D0:1F:3E:48,11:10:51.258,1,128.54,-14,12,255
88:C9:D0:1F:3E:48,11:09:37.059,1,319.89,-26,12,255
88:C9:D0:1F:3E:48,11:09:23.522,1,203.42,-16,12,72
88:C9:D0:1F:3E:48,11:12:57.796,1,133.61,-16,12,49
88:C9:D0:1F:3E:48,11:09:51.510,1,12.34,-15,12,49
88:C9:D0:1F:3E:48,11:13:48.211,1,83.57,-18,12,84
88:C9:D0:1F:3E:48,11:12:10.882,1,101.09,-24,12,84
88:C9:D0:1F:3E:48,11:11:44.011,1,256.15,-17,12,255
88:C9:D0:1F:3E:48,11:09:25.823,1,26.25,-18,12,72
88:C9:D0:1F:3E:48,11:13:44.850,1,14.43,-14,12,94
88:C9:D0:1F:3E:48,11:11:11.761,1,82.35,-22,12,255
88:C9:D0:1F:3E:48,11:12:02.855,1,213.58,-19,12,95
88:C9:D0:1F:3E:48,11:12:05.097,1,76.18,-14,12,95
88:C9:D0:1F:3E:48,11:12:36.754,1,140.00,-17,12,95
88:C9:D0:1F:3E:48,11:13:05.614,1,163.59,-18,12,59
88:C9:D0:1F:3E:48,11:11:17.088,1,33.60,-15,12,95
88:C9:D0:1F:3E:48,11:12:46.944,1,203.55,-18,12,70
88:C9:D0:1F:3E:48,11:09:34.883,1,84.83,-14,12,255
88:C9:D0:1F:3E:48,11:12:11.915,1,32.40,-21,12,84
88:C9:D0:1F:3E:48,11:12:34.450,1,156.03,-22,12,95
88:C9:D0:1F:3E:48,11:09:08.306,1,179.51,-19,12,255
88:C9:D0:1F:3E:48,11:10:18.144,1,163.65,-17,12,255
88:C9:D0:1F:3E:48,11:08:26.721,1,215.97,-18,12,255
88:C9:D0:1F:3E:48,11:12:14.118,1,14.80,-16,12,70
88:C9:D0:1F:3E:48,11:11:36.985,1,214.90,-19,12,255
88:C9:D0:1F:3E:48,11:12:56.663,1,138.27,-22,12,57
88:C9:D0:1F:3E:48,11:08:55.904,1,165.99,-17,12,49
88:C9:D0:1F:3E:48,11:08:35.596,1,9.87,-20,12,255
88:C9:D0:1F:3E:48,11:10:05.759,1,42.34,-15,12,92
88:C9:D0:1F:3E:48,11:08:33.564,1,17.74,-17,12,255
88:C9:D0:1F:3E:48,11:09:47.121,1,82.26,-16,12,69
88:C9:D0:1F:3E:48,11:11:06.252,1,119.86,-13,12,255
88:C9:D0:1F:3E:48,11:13:35.198,1,274.79,-15,12,95
88:C9:D0:1F:3E:48,11:12:42.488,1,132.35,-22,12,70
88:C9:D0:1F:3E:48,11:10:08.946,1,8.62,-16,12,255
88:C9:D0:1F:3E:48,11:09:00.370,1,203.59,-17,12,54
88:C9:D0:1F:3E:48,11:11:13.824,1,111.07,-19,12,95
88:C9:D0:1F:3E:48,11:13:43.835,1,21.17,-13,12,94
88:C9:D0:1F:3E:48,11:10:04.716,1,16.12,-17,12,92
88:C9:D0:1F:3E:48,11:12:19.534,1,137.28,-15,12,87
88:C9:D0:1F:3E:48,11:13:25.038,1,14.84,-19,12,95
88:C9:D0:1F:3E:48,11:09:38.179,1,74.67,-19,12,84
88:C9:D0:1F:3E:48,11:13:53.962,1,24.90,-14,12,94
88:C9:D0:1F:3E:48,11:10:52.301,1,43.58,-26,12,255
88:C9:D0:1F:3E:48,11:09:01.520,1,149.83,-17,12,54
88:C9:D0:1F:3E:48,11:08:21.181,1,77.36,-20,12,255
88:C9:D0:1F:3E:48,11:09:45.029,1,146.07,-18,12,69
88:C9:D0:1F:3E:48,11:10:37.900,1,51.10,-17,12,255
88:C9:D0:1F:3E:48,11:08:53.577,1,194.92,-21,12,49
88:C9:D0:1F:3E:48,11:10:41.084,1,82.41,-17,12,255
88:C9:D0:1F:3E:48,11:10:57.482,1,58.55,-15,12,255
88:C9:D0:1F:3E:48,11:09:30.384,1,131.04,-17,12,255
88:C9:D0:1F:3E:48,11:08:31.158,1,164.81,-16,12,255
88:C9:D0:1F:3E:48,11:12:29.124,1,82.33,-22,12,84
88:C9:D0:1F:3E:48,11:14:03.407,1,14.85,-16,12,255
88:C9:D0:1F:3E:48,11:10:55.380,1,18.63,-18,12,255
88:C9:D0:1F:3E:48,11:09:31.345,1,154.81,-16,12,255
88:C9:D0:1F:3E:48,11:10:21.480,1,124.86,-19,12,255
88:C9:D0:1F:3E:48,11:10:33.634,1,193.57,-19,12,255
88:C9:D0:1F:3E:48,11:08:39.113,1,207.29,-22,12,82
88:C9:D0:1F:3E:48,11:10:26.921,1,19.81,-19,12,255
88:C9:D0:1F:3E:48,11:12:28.042,1,12.39,-17,12,84
88:C9:D0:1F:3E:48,11:10:58.550,1,13.61,-16,12,255
88:C9:D0:1F:3E:48,11:11:48.304,1,173.62,-17,12,255
88:C9:D0:1F:3E:48,11:09:15.892,1,11.04,-16,12,69
88:C9:D0:1F:3E:48,11:10:38.910,1,9.82,-17,12,255
88:C9:D0:1F:3E:48,11:12:06.294,1,198.53,-19,12,95
88:C9:D0:1F:3E:48,11:08:28.861,1,12.42,-23,12,255
88:C9:D0:1F:3E:48,11:13:02.153,1,142.28,-21,12,49
88:C9:D0:1F:3E:48,11:09:07.004,1,14.85,-20,12,64
88:C9:D0:1F:3E:48,11:11:47.130,1,198.53,-21,12,255
88:C9:D0:1F:3E:48,11:09:56.949,1,81.13,-19,12,55
88:C9:D0:1F:3E:48,11:08:56.918,1,14.87,-14,12,49
88:C9:D0:1F:3E:48,11:13:36.333,1,134.83,-15,12,95
88:C9:D0:1F:3E:48,11:10:07.937,1,88.65,-16,12,255
88:C9:D0:1F:3E:48,11:13:30.625,1,197.42,-16,12,87
88:C9:D0:1F:3E:48,11:09:19.200,1,104.92,-16,12,62
88:C9:D0:1F:3E:48,11:08:45.988,1,186.04,-17,12,92
88:C9:D0:1F:3E:48,11:13:49.497,1,356.03,-18,12,84
88:C9:D0:1F:3E:48,11:08:19.000,1,42.26,-18,12,255
88:C9:D0:1F:3E:48,11:13:15.481,1,193.59,-18,12,95
88:C9:D0:1F:3E:48,11:11:35.770,1,247.30,-18,12,255
88:C9:D0:1F:3E:48,11:12:27.029,1,22.31,-17,12,94
