mac address, rasp, RX, timestamp, SN
A0:CB:FD:EF:17:78,1,-1,11:33:04.975,0
DA:A1:19:2E:C8:9A,1,-91,11:32:32.560,1462
F4:E3:FB:85:66:D8,1,-1,11:32:05.474,0
F4:E3:FB:85:66:D8,1,-44,11:32:09.105,358
F4:E3:FB:85:66:D8,1,-51,11:32:39.225,359
F4:E3:FB:85:66:D8,1,-49,11:37:20.518,445
20:6E:9C:F4:FF:DD,1,-60,11:31:29.790,2876
20:6E:9C:F4:FF:DD,1,-61,11:31:29.895,2879
20:6E:9C:F4:FF:DD,1,-56,11:31:40.916,2919
20:6E:9C:F4:FF:DD,1,-53,11:31:41.045,2922
20:6E:9C:F4:FF:DD,1,-56,11:31:41.159,2924
20:6E:9C:F4:FF:DD,1,-63,11:31:59.909,2954
20:6E:9C:F4:FF:DD,1,-66,11:32:00.014,2957
20:6E:9C:F4:FF:DD,1,-63,11:32:00.127,2961
20:6E:9C:F4:FF:DD,1,-71,11:32:00.258,2964
20:6E:9C:F4:FF:DD,1,-58,11:32:35.070,2994
20:6E:9C:F4:FF:DD,1,-56,11:32:35.175,2998
20:6E:9C:F4:FF:DD,1,-58,11:32:35.281,3001
20:6E:9C:F4:FF:DD,1,-56,11:33:29.862,3039
20:6E:9C:F4:FF:DD,1,-54,11:33:29.964,3041
20:6E:9C:F4:FF:DD,1,-55,11:33:30.067,3044
20:6E:9C:F4:FF:DD,1,-52,11:33:41.068,3082
20:6E:9C:F4:FF:DD,1,-51,11:33:41.179,3086
20:6E:9C:F4:FF:DD,1,-55,11:33:41.290,3087
20:6E:9C:F4:FF:DD,1,-67,11:34:00.085,3117
20:6E:9C:F4:FF:DD,1,-60,11:34:00.192,3121
20:6E:9C:F4:FF:DD,1,-58,11:34:00.305,3124
20:6E:9C:F4:FF:DD,1,-61,11:34:00.412,3127
20:6E:9C:F4:FF:DD,1,-65,11:34:35.441,3164
20:6E:9C:F4:FF:DD,1,-65,11:34:35.548,3167
20:6E:9C:F4:FF:DD,1,-64,11:34:35.650,3168
20:6E:9C:F4:FF:DD,1,-60,11:35:29.856,3206
20:6E:9C:F4:FF:DD,1,-58,11:35:29.966,3210
20:6E:9C:F4:FF:DD,1,-59,11:35:30.081,3211
20:6E:9C:F4:FF:DD,1,-63,11:35:41.138,3251
20:6E:9C:F4:FF:DD,1,-60,11:35:41.245,3254
20:6E:9C:F4:FF:DD,1,-61,11:35:41.349,3256
20:6E:9C:F4:FF:DD,1,-53,11:36:00.339,3292
20:6E:9C:F4:FF:DD,1,-55,11:36:00.452,3296
20:6E:9C:F4:FF:DD,1,-57,11:36:35.355,3330
20:6E:9C:F4:FF:DD,1,-54,11:36:35.460,3334
20:6E:9C:F4:FF:DD,1,-56,11:36:35.562,3336
DC:A9:04:4F:D9:35,1,-66,11:31:33.152,2846
DC:A9:04:4F:D9:35,1,-65,11:31:33.258,2856
DC:A9:04:4F:D9:35,1,-65,11:31:34.772,2899
DC:A9:04:4F:D9:35,1,-68,11:31:40.350,3043
DC:A9:04:4F:D9:35,1,-67,11:31:40.495,3100
DC:A9:04:4F:D9:35,1,-67,11:31:50.493,3155
DC:A9:04:4F:D9:35,1,-66,11:31:50.595,3160
DC:A9:04:4F:D9:35,1,-67,11:31:50.707,3162
DC:A9:04:4F:D9:35,1,-66,11:31:58.972,3214
DC:A9:04:4F:D9:35,1,-67,11:32:00.479,3224
DC:A9:04:4F:D9:35,1,-65,11:32:00.587,3250
DC:A9:04:4F:D9:35,1,-65,11:32:00.713,3265
DC:A9:04:4F:D9:35,1,-67,11:32:05.788,3308
DC:A9:04:4F:D9:35,1,-68,11:32:05.894,3311
DC:A9:04:4F:D9:35,1,-65,11:32:12.106,3321
DC:A9:04:4F:D9:35,1,-65,11:32:12.208,3332
DC:A9:04:4F:D9:35,1,-66,11:32:12.309,3333
DC:A9:04:4F:D9:35,1,-67,11:32:23.549,3413
DC:A9:04:4F:D9:35,1,-67,11:32:23.650,3416
DC:A9:04:4F:D9:35,1,-66,11:32:28.506,3423
DC:A9:04:4F:D9:35,1,-66,11:32:28.618,3432
DC:A9:04:4F:D9:35,1,-66,11:32:28.728,3450
DC:A9:04:4F:D9:35,1,-65,11:32:28.842,3451
DC:A9:04:4F:D9:35,1,-66,11:32:39.225,3516
DC:A9:04:4F:D9:35,1,-66,11:32:39.334,3522
DC:A9:04:4F:D9:35,1,-66,11:32:45.829,3547
DC:A9:04:4F:D9:35,1,-67,11:32:56.669,3552
DC:A9:04:4F:D9:35,1,-67,11:32:56.770,3558
DC:A9:04:4F:D9:35,1,-66,11:32:56.875,3561
DC:A9:04:4F:D9:35,1,-65,11:32:57.317,3577
DC:A9:04:4F:D9:35,1,-66,11:32:57.421,3581
DC:A9:04:4F:D9:35,1,-66,11:33:01.975,3619
DC:A9:04:4F:D9:35,1,-65,11:33:02.095,3641
DC:A9:04:4F:D9:35,1,-66,11:33:08.252,3651
DC:A9:04:4F:D9:35,1,-66,11:33:08.355,3654
DC:A9:04:4F:D9:35,1,-66,11:33:08.457,3677
DC:A9:04:4F:D9:35,1,-67,11:33:08.610,3679
DC:A9:04:4F:D9:35,1,-67,11:33:09.385,3692
DC:A9:04:4F:D9:35,1,-66,11:33:09.526,3693
DC:A9:04:4F:D9:35,1,-66,11:33:13.885,3756
DC:A9:04:4F:D9:35,1,-66,11:33:20.595,3849
DC:A9:04:4F:D9:35,1,-66,11:33:36.566,3908
DC:A9:04:4F:D9:35,1,-66,11:33:36.671,3918
DC:A9:04:4F:D9:35,1,-66,11:33:42.173,3951
DC:A9:04:4F:D9:35,1,-66,11:33:42.281,3978
DC:A9:04:4F:D9:35,1,-66,11:33:52.198,3992
DC:A9:04:4F:D9:35,1,-66,11:33:52.313,3994
DC:A9:04:4F:D9:35,1,-66,11:33:52.417,4010
DC:A9:04:4F:D9:35,1,-67,11:33:52.524,4014
DC:A9:04:4F:D9:35,1,-67,11:34:08.569,4083
DC:A9:04:4F:D9:35,1,-66,11:34:08.684,4087
DC:A9:04:4F:D9:35,1,-65,11:34:14.296,6
DC:A9:04:4F:D9:35,1,-65,11:34:16.018,29
DC:A9:04:4F:D9:35,1,-67,11:34:16.129,55
DC:A9:04:4F:D9:35,1,-66,11:34:26.794,78
DC:A9:04:4F:D9:35,1,-66,11:34:26.896,80
DC:A9:04:4F:D9:35,1,-67,11:34:29.482,87
DC:A9:04:4F:D9:35,1,-66,11:34:29.585,88
DC:A9:04:4F:D9:35,1,-64,11:34:29.691,92
DC:A9:04:4F:D9:35,1,-64,11:34:30.275,96
DC:A9:04:4F:D9:35,1,-62,11:34:30.377,98
DC:A9:04:4F:D9:35,1,-63,11:34:30.927,109
DC:A9:04:4F:D9:35,1,-62,11:34:37.648,120
DC:A9:04:4F:D9:35,1,-64,11:34:37.751,123
DC:A9:04:4F:D9:35,1,-64,11:34:38.004,151
DC:A9:04:4F:D9:35,1,-63,11:34:48.821,211
DC:A9:04:4F:D9:35,1,-63,11:34:49.051,235
DC:A9:04:4F:D9:35,1,-62,11:34:53.948,263
DC:A9:04:4F:D9:35,1,-64,11:34:54.519,287
DC:A9:04:4F:D9:35,1,-64,11:34:54.631,297
DC:A9:04:4F:D9:35,1,-64,11:35:05.539,373
DC:A9:04:4F:D9:35,1,-63,11:35:10.065,383
DC:A9:04:4F:D9:35,1,-63,11:35:10.168,396
DC:A9:04:4F:D9:35,1,-64,11:35:21.833,481
DC:A9:04:4F:D9:35,1,-63,11:35:39.342,608
DC:A9:04:4F:D9:35,1,-63,11:35:45.336,689
DC:A9:04:4F:D9:35,1,-63,11:35:46.742,831
DC:A9:04:4F:D9:35,1,-63,11:35:48.117,949
DC:A9:04:4F:D9:35,1,-63,11:35:48.229,954
DC:A9:04:4F:D9:35,1,-64,11:35:48.342,969
DC:A9:04:4F:D9:35,1,-63,11:35:48.567,1029
DC:A9:04:4F:D9:35,1,-63,11:35:48.701,1040
DC:A9:04:4F:D9:35,1,-63,11:35:48.817,1054
DC:A9:04:4F:D9:35,1,-63,11:35:48.921,1058
DC:A9:04:4F:D9:35,1,-63,11:35:49.470,1101
DC:A9:04:4F:D9:35,1,-64,11:35:49.577,1104
DC:A9:04:4F:D9:35,1,-64,11:35:49.692,1107
DC:A9:04:4F:D9:35,1,-63,11:35:50.027,1134
DC:A9:04:4F:D9:35,1,-63,11:35:50.912,1175
DC:A9:04:4F:D9:35,1,-63,11:35:51.339,1190
DC:A9:04:4F:D9:35,1,-68,11:35:51.541,1196
DC:A9:04:4F:D9:35,1,-67,11:35:51.650,1199
DC:A9:04:4F:D9:35,1,-67,11:35:51.875,1206
DC:A9:04:4F:D9:35,1,-66,11:35:52.096,1233
DC:A9:04:4F:D9:35,1,-66,11:35:52.858,1243
DC:A9:04:4F:D9:35,1,-66,11:35:52.959,1277
DC:A9:04:4F:D9:35,1,-66,11:35:53.168,1281
DC:A9:04:4F:D9:35,1,-66,11:35:53.289,1309
DC:A9:04:4F:D9:35,1,-66,11:35:53.642,1342
DC:A9:04:4F:D9:35,1,-65,11:35:53.745,1344
DC:A9:04:4F:D9:35,1,-66,11:35:53.970,1352
DC:A9:04:4F:D9:35,1,-66,11:35:54.197,1363
DC:A9:04:4F:D9:35,1,-66,11:35:55.187,1421
DC:A9:04:4F:D9:35,1,-66,11:35:55.301,1425
DC:A9:04:4F:D9:35,1,-66,11:35:55.639,1431
DC:A9:04:4F:D9:35,1,-67,11:35:56.176,1471
DC:A9:04:4F:D9:35,1,-66,11:35:56.392,1477
DC:A9:04:4F:D9:35,1,-65,11:35:56.852,1489
DC:A9:04:4F:D9:35,1,-66,11:35:57.891,1516
DC:A9:04:4F:D9:35,1,-67,11:35:59.773,1648
DC:A9:04:4F:D9:35,1,-66,11:36:01.717,1774
DC:A9:04:4F:D9:35,1,-67,11:36:01.821,1784
