mac address, rasp, RX, timestamp
88:C9:D0:1F:3E:48,1,-95,12:05:22
88:C9:D0:1F:3E:48,1,-96,12:07:22
88:C9:D0:1F:3E:48,1,-98,12:09:13
88:C9:D0:1F:3E:48,1,-97,12:09:53
88:C9:D0:1F:3E:48,1,-100,12:10:32
DC:A9:04:4F:D9:36,1,-81,12:04:58
DC:A9:04:4F:D9:36,1,-85,12:05:16
DC:A9:04:4F:D9:36,1,-83,12:05:41
DC:A9:04:4F:D9:36,1,-86,12:06:01
DC:A9:04:4F:D9:36,1,-90,12:06:03
DC:A9:04:4F:D9:36,1,-85,12:06:18
DC:A9:04:4F:D9:36,1,-93,12:06:36
DC:A9:04:4F:D9:36,1,-83,12:06:59
DC:A9:04:4F:D9:36,1,-91,12:07:22
DC:A9:04:4F:D9:36,1,-86,12:07:35
DC:A9:04:4F:D9:36,1,-86,12:07:49
DC:A9:04:4F:D9:36,1,-87,12:08:11
DC:A9:04:4F:D9:36,1,-88,12:08:34
DC:A9:04:4F:D9:36,1,-80,12:08:55
DC:A9:04:4F:D9:36,1,-80,12:09:09
DC:A9:04:4F:D9:36,1,-82,12:09:30
DC:A9:04:4F:D9:36,1,-85,12:09:52
DC:A9:04:4F:D9:36,1,-84,12:10:15
DC:A9:04:4F:D9:36,1,-87,12:10:28
DC:A9:04:4F:D9:36,1,-82,12:10:50
