"rssi","rx","mac_address","distance"
0,-9,"DC:A9:04:4F:D9:36",0
0,-14,"DC:A9:04:4F:D9:36",0
0,-62,"DC:A9:04:4F:D9:36",0
0,-66,"DC:A9:04:4F:D9:36",0
0,-53,"DC:A9:04:4F:D9:36",0
0,-12,"DC:A9:04:4F:D9:36",0
0,-27,"DC:A9:04:4F:D9:36",0
0,-13,"DC:A9:04:4F:D9:36",0
0,-56,"DC:A9:04:4F:D9:36",0
0,-67,"DC:A9:04:4F:D9:36",0
0,-54,"DC:A9:04:4F:D9:36",0
1,-13,"DC:A9:04:4F:D9:36",0
1,-12,"DC:A9:04:4F:D9:36",0
1,-59,"DC:A9:04:4F:D9:36",0
1,-9,"DC:A9:04:4F:D9:36",0
1,-52,"DC:A9:04:4F:D9:36",0
0,-8,"DC:A9:04:4F:D9:36",0
0,-48,"DC:A9:04:4F:D9:36",1
0,-46,"DC:A9:04:4F:D9:36",1
0,-49,"DC:A9:04:4F:D9:36",1
0,-44,"DC:A9:04:4F:D9:36",1
0,-40,"DC:A9:04:4F:D9:36",1
0,-47,"DC:A9:04:4F:D9:36",1
0,-43,"DC:A9:04:4F:D9:36",1
0,-42,"DC:A9:04:4F:D9:36",1
0,-51,"DC:A9:04:4F:D9:36",1
0,-50,"DC:A9:04:4F:D9:36",1
-1,-59,"DC:A9:04:4F:D9:36",2
0,-62,"DC:A9:04:4F:D9:36",2
0,-61,"DC:A9:04:4F:D9:36",2
-2,-61,"DC:A9:04:4F:D9:36",2
-2,-60,"DC:A9:04:4F:D9:36",2
-1,-60,"DC:A9:04:4F:D9:36",2
0,-59,"DC:A9:04:4F:D9:36",2
0,-58,"DC:A9:04:4F:D9:36",2
-2,-58,"DC:A9:04:4F:D9:36",2
0,-60,"DC:A9:04:4F:D9:36",2
0,-68,"DC:A9:04:4F:D9:36",2
-1,-61,"DC:A9:04:4F:D9:36",2
-2,-59,"DC:A9:04:4F:D9:36",2
-5,-61,"DC:A9:04:4F:D9:36",2
-6,-59,"DC:A9:04:4F:D9:36",2
-6,-60,"DC:A9:04:4F:D9:36",2
-4,-61,"DC:A9:04:4F:D9:36",2
-4,-60,"DC:A9:04:4F:D9:36",2
-4,-59,"DC:A9:04:4F:D9:36",2
-7,-62,"DC:A9:04:4F:D9:36",2
0,-57,"DC:A9:04:4F:D9:36",2
-3,-62,"DC:A9:04:4F:D9:36",2
-3,-60,"DC:A9:04:4F:D9:36",2
-3,-61,"DC:A9:04:4F:D9:36",2
-9,-61,"DC:A9:04:4F:D9:36",2
-9,-56,"DC:A9:04:4F:D9:36",2
-1,-62,"DC:A9:04:4F:D9:36",2
-2,-52,"DC:A9:04:4F:D9:36",2
-2,-64,"DC:A9:04:4F:D9:36",2
-4,-63,"DC:A9:04:4F:D9:36",3
-5,-63,"DC:A9:04:4F:D9:36",3
-6,-64,"DC:A9:04:4F:D9:36",3
-3,-62,"DC:A9:04:4F:D9:36",3
-1,-63,"DC:A9:04:4F:D9:36",3
-1,-62,"DC:A9:04:4F:D9:36",3
-2,-63,"DC:A9:04:4F:D9:36",3
-2,-64,"DC:A9:04:4F:D9:36",3
-3,-63,"DC:A9:04:4F:D9:36",3
-2,-59,"DC:A9:04:4F:D9:36",3
-8,-63,"DC:A9:04:4F:D9:36",3
-1,-65,"DC:A9:04:4F:D9:36",3
-4,-61,"DC:A9:04:4F:D9:36",3
-2,-60,"DC:A9:04:4F:D9:36",3
-2,-61,"DC:A9:04:4F:D9:36",3
-3,-64,"DC:A9:04:4F:D9:36",3
-7,-65,"DC:A9:04:4F:D9:36",3
-7,-64,"DC:A9:04:4F:D9:36",3
-6,-63,"DC:A9:04:4F:D9:36",3
-1,-64,"DC:A9:04:4F:D9:36",3
-10,-65,"DC:A9:04:4F:D9:36",3
-3,-58,"DC:A9:04:4F:D9:36",3
0,-63,"DC:A9:04:4F:D9:36",3
0,-64,"DC:A9:04:4F:D9:36",3
-10,-61,"DC:A9:04:4F:D9:36",3
-10,-63,"DC:A9:04:4F:D9:36",3
-10,-75,"DC:A9:04:4F:D9:36",3
-5,-64,"DC:A9:04:4F:D9:36",3
-5,-59,"DC:A9:04:4F:D9:36",3
-5,-61,"DC:A9:04:4F:D9:36",3
-6,-65,"DC:A9:04:4F:D9:36",3
-11,-65,"DC:A9:04:4F:D9:36",3
-7,-63,"DC:A9:04:4F:D9:36",3
-9,-59,"DC:A9:04:4F:D9:36",3
-8,-66,"DC:A9:04:4F:D9:36",4
-8,-72,"DC:A9:04:4F:D9:36",4
-5,-68,"DC:A9:04:4F:D9:36",4
-5,-67,"DC:A9:04:4F:D9:36",4
-7,-66,"DC:A9:04:4F:D9:36",4
-7,-67,"DC:A9:04:4F:D9:36",4
-11,-66,"DC:A9:04:4F:D9:36",4
-14,-68,"DC:A9:04:4F:D9:36",4
-9,-67,"DC:A9:04:4F:D9:36",4
-9,-66,"DC:A9:04:4F:D9:36",4
-5,-62,"DC:A9:04:4F:D9:36",4
-9,-63,"DC:A9:04:4F:D9:36",4
-8,-65,"DC:A9:04:4F:D9:36",4
-6,-66,"DC:A9:04:4F:D9:36",4
-7,-65,"DC:A9:04:4F:D9:36",4
-8,-63,"DC:A9:04:4F:D9:36",4
-8,-64,"DC:A9:04:4F:D9:36",4
-10,-68,"DC:A9:04:4F:D9:36",4
-11,-67,"DC:A9:04:4F:D9:36",4
