"rssi","tpl","lq","echo_time","bt_rx","wifi_rx","distance"
0.0000,12.0000,255.0000,117.28956780820279,-55.857142857142854,-38.2529,0
-17.9042,12.0000,152.8147,107.0657186371069,-87,-66.2133,1
-13.3061,12.0000,251.4762,104.14017014438603,-76.6,-58.9545,2
-19.2147,12.0000,137.2115,104.1229167427772,-81.5,-75.3333,3
-20.7373,12.0000,209.0475,99.18781650669968,-84.61111111111111,-82.8000,4
-18.5820,12.0000,247.4920,109.03250771396796,-79,-77.8136,5
-24.6656,12.0000,165.4116,110.06604500982155,-90.33333333333333,-81.7143,6
-30.0133,12.0000,27.5183,147.06421931479065,-92.33333333333333,-87.5000,7
-35.8244,12.0000,4.7122,212.07297568902737,-95,-90.7500,8
-35.763,12.0000,7.1238,153.29030912312093,-97.2,-79.0909,9
-33.5039,12.0000,48.8217,137.17926325724108,-96.83333333333333,-82.5556,10
