"rssi","rx","mac_address","distance"
0,-37,"88:C9:D0:1F:3E:48",0
0,-35,"88:C9:D0:1F:3E:48",0
0,-38,"88:C9:D0:1F:3E:48",0
0,-39,"88:C9:D0:1F:3E:48",0
0,-40,"88:C9:D0:1F:3E:48",0
-18,-65,"88:C9:D0:1F:3E:48",1
-18,-63,"88:C9:D0:1F:3E:48",1
-18,-67,"88:C9:D0:1F:3E:48",1
-18,-68,"88:C9:D0:1F:3E:48",1
-18,-66,"88:C9:D0:1F:3E:48",1
-17,-64,"88:C9:D0:1F:3E:48",1
-17,-65,"88:C9:D0:1F:3E:48",1
-17,-68,"88:C9:D0:1F:3E:48",1
-17,-60,"88:C9:D0:1F:3E:48",1
-20,-65,"88:C9:D0:1F:3E:48",1
-20,-61,"88:C9:D0:1F:3E:48",1
-20,-57,"88:C9:D0:1F:3E:48",1
-20,-59,"88:C9:D0:1F:3E:48",1
-20,-63,"88:C9:D0:1F:3E:48",1
-20,-58,"88:C9:D0:1F:3E:48",1
-20,-60,"88:C9:D0:1F:3E:48",1
-20,-72,"88:C9:D0:1F:3E:48",1
-20,-56,"88:C9:D0:1F:3E:48",1
-20,-62,"88:C9:D0:1F:3E:48",1
-20,-64,"88:C9:D0:1F:3E:48",1
-20,-71,"88:C9:D0:1F:3E:48",1
-20,-66,"88:C9:D0:1F:3E:48",1
-17,-61,"88:C9:D0:1F:3E:48",1
-17,-69,"88:C9:D0:1F:3E:48",1
-17,-66,"88:C9:D0:1F:3E:48",1
-18,-69,"88:C9:D0:1F:3E:48",1
-18,-64,"88:C9:D0:1F:3E:48",1
-23,-66,"88:C9:D0:1F:3E:48",1
-23,-65,"88:C9:D0:1F:3E:48",1
-25,-65,"88:C9:D0:1F:3E:48",1
-25,-63,"88:C9:D0:1F:3E:48",1
-25,-66,"88:C9:D0:1F:3E:48",1
-25,-64,"88:C9:D0:1F:3E:48",1
-16,-65,"88:C9:D0:1F:3E:48",1
-16,-67,"88:C9:D0:1F:3E:48",1
-16,-68,"88:C9:D0:1F:3E:48",1
-23,-68,"88:C9:D0:1F:3E:48",1
-23,-64,"88:C9:D0:1F:3E:48",1
-23,-67,"88:C9:D0:1F:3E:48",1
-17,-67,"88:C9:D0:1F:3E:48",1
-20,-67,"88:C9:D0:1F:3E:48",1
-14,-64,"88:C9:D0:1F:3E:48",1
-14,-66,"88:C9:D0:1F:3E:48",1
-14,-65,"88:C9:D0:1F:3E:48",1
-14,-67,"88:C9:D0:1F:3E:48",1
-21,-65,"88:C9:D0:1F:3E:48",1
-21,-68,"88:C9:D0:1F:3E:48",1
-21,-69,"88:C9:D0:1F:3E:48",1
-21,-67,"88:C9:D0:1F:3E:48",1
-21,-66,"88:C9:D0:1F:3E:48",1
-22,-66,"88:C9:D0:1F:3E:48",1
-22,-68,"88:C9:D0:1F:3E:48",1
-22,-67,"88:C9:D0:1F:3E:48",1
-21,-64,"88:C9:D0:1F:3E:48",1
-16,-66,"88:C9:D0:1F:3E:48",1
-20,-68,"88:C9:D0:1F:3E:48",1
-14,-68,"88:C9:D0:1F:3E:48",1
-14,-63,"88:C9:D0:1F:3E:48",1
-15,-66,"88:C9:D0:1F:3E:48",1
-15,-67,"88:C9:D0:1F:3E:48",1
