"rssi","rx","mac_address","distance"
0,-55,"88:C9:D0:1F:3E:48",0
0,-56,"88:C9:D0:1F:3E:48",0
0,-57,"88:C9:D0:1F:3E:48",0
0,-52,"DC:A9:04:4F:D9:36",0
0,-51,"DC:A9:04:4F:D9:36",0
0,-44,"DC:A9:04:4F:D9:36",0
0,-49,"DC:A9:04:4F:D9:36",0
0,-43,"DC:A9:04:4F:D9:36",0
0,-47,"DC:A9:04:4F:D9:36",0
0,-45,"DC:A9:04:4F:D9:36",0
0,-50,"DC:A9:04:4F:D9:36",0
0,-46,"DC:A9:04:4F:D9:36",0
-15,-87,"88:C9:D0:1F:3E:48",1
-20,-86,"88:C9:D0:1F:3E:48",1
-19,-87,"88:C9:D0:1F:3E:48",1
-15,-75,"88:C9:D0:1F:3E:48",1
-15,-89,"88:C9:D0:1F:3E:48",1
0,-59,"DC:A9:04:4F:D9:36",1
0,-63,"DC:A9:04:4F:D9:36",1
0,-65,"DC:A9:04:4F:D9:36",1
0,-66,"DC:A9:04:4F:D9:36",1
0,-70,"DC:A9:04:4F:D9:36",1
0,-56,"DC:A9:04:4F:D9:36",1
0,-58,"DC:A9:04:4F:D9:36",1
0,-67,"DC:A9:04:4F:D9:36",1
0,-57,"DC:A9:04:4F:D9:36",1
-1,-57,"DC:A9:04:4F:D9:36",1
0,-68,"DC:A9:04:4F:D9:36",1
0,-60,"DC:A9:04:4F:D9:36",1
0,-61,"DC:A9:04:4F:D9:36",1
-16,-80,"88:C9:D0:1F:3E:48",2
-11,-78,"88:C9:D0:1F:3E:48",2
-13,-74,"88:C9:D0:1F:3E:48",2
-12,-79,"88:C9:D0:1F:3E:48",2
-14,-86,"88:C9:D0:1F:3E:48",2
-16,-75,"88:C9:D0:1F:3E:48",2
-14,-73,"88:C9:D0:1F:3E:48",2
0,-59,"DC:A9:04:4F:D9:36",2
0,-60,"DC:A9:04:4F:D9:36",2
-4,-61,"DC:A9:04:4F:D9:36",2
-2,-60,"DC:A9:04:4F:D9:36",2
-3,-59,"DC:A9:04:4F:D9:36",2
-6,-64,"DC:A9:04:4F:D9:36",2
0,-62,"DC:A9:04:4F:D9:36",2
-4,-60,"DC:A9:04:4F:D9:36",2
-1,-62,"DC:A9:04:4F:D9:36",2
-2,-62,"DC:A9:04:4F:D9:36",2
-3,-65,"DC:A9:04:4F:D9:36",2
-2,-59,"DC:A9:04:4F:D9:36",2
-3,-62,"DC:A9:04:4F:D9:36",2
0,-61,"DC:A9:04:4F:D9:36",2
-7,-59,"DC:A9:04:4F:D9:36",2
