"rasp1","rasp2","rasp3",-32,"location","device"
-15.8034,-22.2419,-33.4667,-35.0000,"(1,16)","LG"
-0.8027,-3.2450,-15.1118,-21.0058,"(3,18)","S"
-6.6547,0.0000,-19.0269,-25.2993,"(7,17)","S3"
-13.4481,-13.6143,-12.2133,-20.4219,"(1,11)","TAB"
-18.9854,-4.5641,-13.6639,-4.6611,"(4,9)","IPAD"
-21.7051,-13.8472,-24.8857,-12.2727,"(3,14)","LG"
-9.8815,-0.0183,-12.8022,-18.2921,"(7,14)","S"
-12.0369,-13.5915,-5.0952,-4.3913,"(2,5)","S3"
-7.7800,-3.6216,-12.8947,-7.4483,"(6,11)","TAB"
-5.3478,-10.2714,-1.8582,-9.2500,"(2,5)","IPAD"
-13.3814,-20.8356,-13.0303,-18.9808,"(8,7)","LG"
-17.4065,-24.0876,0.0000,-13.1605,"(8,2)","S"
-8.0227,-20.4017,-1.0753,-2.9418,"(5,0)","S3"
-10.1356,-12.9082,-6.6216,-3.4681,"(3,7)","TAB"
-24.4265,-14.3408,-12.2055,0.1200,"(1,1)","IPAD"
