"rasp5","location"
-16.8125,1.1
-15.1134,1.2
-17.8452,1.3
-23.7206,1.4
-16.0000,1.5
-15.4227,10.1
-14.2188,10.2
-21.0435,10.3
-17.5758,10.4
-13.5644,10.5
-20.1196,2.1
-8.6613,2.2
-6.9886,2.3
-14.3918,2.4
-13.1563,2.5
-6.9694,3.1
-2.1979,3.2
-3.0928,3.3
-5.3085,3.4
-4.7234,3.5
-17.3895,4.1
-0.9192,4.2
0.1700,4.3
-0.1630,4.4
-12.6264,4.5
-8.4891,5.1
-4.1714,5.2
0.0000,5.3
-2.9111,5.4
-7.2475,5.5
-17.7041,6.1
-10.1758,6.2
-8.7475,6.3
-15.4063,6.4
-11.7900,6.5
-21.0625,7.1
-19.7800,7.2
-16.1935,7.3
-9.7209,7.4
-23.6548,7.5
-15.8061,8.1
-14.4848,8.2
-16.2464,8.3
-10.5208,8.4
-20.8281,8.5
-21.5670,9.1
-15.4167,9.2
-19.0794,9.3
-14.5750,9.4
-22.5567,9.5
