"rasp5","location"
-68.1421,1.1
-56.0853,1.2
-69.2480,1.3
-65.8011,1.4
-78.4218,1.5
-59.5917,10.1
-70.0673,10.2
-71.4036,10.3
-74.2019,10.4
-73.7552,10.5
-64.7185,2.1
-64.3811,2.2
-63.4690,2.3
-63.3412,2.4
-66.3620,2.5
-73.9927,3.1
-60.1036,3.2
-50.3212,3.3
-55.9672,3.4
-68.4685,3.5
-57.7202,4.1
-58.6139,4.2
-29.1903,4.3
-52.0170,4.4
-65.1822,4.5
-62.7905,5.1
-56.4919,5.2
-51.4116,5.3
-52.8457,5.4
-57.4088,5.5
-65.8308,6.1
-58.3210,6.2
-65.3370,6.3
-66.2088,6.4
-60.2482,6.5
-67.4356,7.1
-73.7265,7.2
-78.2997,7.3
-63.2368,7.4
-65.4309,7.5
-70.3633,8.1
-63.1424,8.2
-62.2761,8.3
-65.9545,8.4
-65.3006,8.5
-62.9143,9.1
-64.6966,9.2
-86.7126,9.3
-72.7081,9.4
-67.3679,9.5
