"rasp6","location"
-1.5165,1.1
-2.4500,1.2
-6.2121,1.3
-9.0899,1.4
-7.9655,1.5
-2.9175,10.1
-0.6316,10.2
-0.6667,10.3
-0.0851,10.4
-1.5283,10.5
-5.2688,2.1
-6.2525,2.2
-6.0108,2.3
-4.6526,2.4
-4.6087,2.5
-1.3776,3.1
-1.7204,3.2
-8.5181,3.3
-5.2500,3.4
-5.1685,3.5
-8.9608,4.1
-1.7253,4.2
-4.4688,4.3
-1.3039,4.4
-1.8021,4.5
-3.1978,5.1
-8.1277,5.2
-1.0891,5.3
-2.0421,5.4
-1.6915,5.5
-5.2211,6.1
-1.0417,6.2
-0.9891,6.3
-0.4848,6.4
-5.3152,6.5
-4.2340,7.1
-4.5591,7.2
3.0583,7.3
-0.0460,7.4
0.0000,7.5
-0.1505,8.1
-6.1915,8.2
-1.1613,8.3
-0.7660,8.4
-1.8434,8.5
-8.7320,9.1
-6.7778,9.2
0.0000,9.3
-0.0106,9.4
0.0000,9.5
