"rasp5","location"
-5.6860,1.1
-2.6582,1.2
-11.0235,1.3
-4.5938,1.4
-3.8713,1.5
-18.1176,10.1
-4.6000,10.2
-7.0211,10.3
-3.8990,10.4
-4.1753,10.5
-5.1827,2.1
-5.4000,2.2
-1.1134,2.3
-2.3981,2.4
-3.9341,2.5
-3.5876,3.1
-0.1042,3.2
-0.5686,3.3
-1.2151,3.4
-3.1957,3.5
-1.5495,4.1
-0.0377,4.2
15.3333,4.3
0.0000,4.4
-4.4211,4.5
-4.3235,5.1
-4.3333,5.2
0.0526,5.3
0.0000,5.4
-0.1058,5.5
-4.2871,6.1
-5.5119,6.2
-0.0571,6.3
-5.1667,6.4
-1.2115,6.5
-12.0253,7.1
-14.8571,7.2
-6.5778,7.3
-4.1176,7.4
-4.7579,7.5
-6.5263,8.1
-9.0549,8.2
-7.9067,8.3
-3.2637,8.4
-0.9579,8.5
-3.5644,9.1
-5.6790,9.2
-10.4747,9.3
-10.3333,9.4
-9.1414,9.5
