"rasp6","location"
-68.3036,1.1
-63.4273,1.2
-79.6348,1.3
-71.7946,1.4
-71.8415,1.5
-62.8731,10.1
-55.2665,10.2
-67.3948,10.3
-60.2681,10.4
-59.8918,10.5
-68.0408,2.1
-66.7304,2.2
-69.3830,2.3
-60.9619,2.4
-69.1429,2.5
-73.5122,3.1
-71.9223,3.2
-63.5142,3.3
-66.6358,3.4
-70.5926,3.5
-61.7158,4.1
-66.3043,4.2
-64.9847,4.3
-67.9013,4.4
-69.1429,4.5
-71.8857,5.1
-68.8837,5.2
-69.8839,5.3
-65.6369,5.4
-63.4355,5.5
-61.4693,6.1
-62.9661,6.2
-61.1755,6.3
-64.9615,6.4
-69.2174,6.5
-61.9866,7.1
-60.2280,7.2
-46.4303,7.3
-54.7471,7.4
-56.9266,7.5
-63.6671,8.1
-48.7508,8.2
-43.0389,8.3
-53.9953,8.4
-52.6286,8.5
-54.5786,9.1
-52.4252,9.2
-47.6512,9.3
-67.2369,9.4
-63.7448,9.5
