"rasp5","rasp6","location","device"
-66.7681,-76.5616,"(1,16)","LG"
-63.2184,-75.1668,"(3,18)","SAMS"
-70.4597,-72.4556,"(7,17)","S3"
-55.1928,-62.7454,"(1,11)","TAB"
-57.7635,-60.3099,"(4,9)","IPAD"
-53.5578,-71.6215,"(3,14)","LG"
-57.0942,-72.8824,"(7,14)","SAMS"
-71.8246,-56.2406,"(2,5)","S3"
-50.4398,-60.9496,"(6,11)","TAB"
-62.1579,-50.7000,"(2,5)","IPAD"
-65.9088,-64.5409,"(8,7)","LG"
-77.3179,-56.0310,"(8,2)","SAMS"
-73.3206,-54.7474,"(5,0)","S3"
-57.7647,-44.5000,"(3,7)","TAB"
NULL,NULL,"(1,1)","IPAD"
